年度,総数(人),国府資料展示室(人),公文書史料室(人)
2011,44152,37902,6250
2012,53725,45147,8578
2013,55158,45631,9527
2014,57306,47021,10285
2015,92360,76968,15392
2016,88962,74135,14827
2017,87340,72783,14557
2018,79642,66368,13274
2019,86284,71903,14381
2020,45738,38115,7623
2021,68395,56996,11399
2022,82529,68774,13755
2023,101050,84208,16842
