地点,路線名,今回計画乗用車(台/日),今回計画小型貨物(台/日),今回計画普通貨物(台/日),今回計画全車(台/日),既定計画乗用車(台/日),既定計画小型貨物(台/日),既定計画普通貨物(台/日),既定計画全車(台/日)
1,都道環状三号線,16507,5689,15204,37400,16328,5486,14364,36178
1,首都高速9号線,21732,4351,23901,49984,21669,4310,23366,49345
2,臨港道路新木場・若洲線,11160,4766,30676,46602,8343,3844,23246,35433
3,東京港臨港道路,8359,4166,33013,45538,7872,3942,27547,39361
4,臨港道路城南島・大井1号線,6519,2481,21070,30070,6210,2366,18440,27016
5,臨港道路大井ふ頭その1線,9702,5035,17048,31785,8680,4529,15153,28362
6,臨港道路大井2号線,7154,1466,8300,16920,6852,1421,7759,16032
7,都道環状六号線,15493,2531,5026,23050,15489,2522,4965,22976
8,都道品川埠頭線,23083,1788,2894,27765,23099,1771,2950,27820
9,臨港道路青海縦貫線,5031,1669,15226,21926,4529,1580,13087,19196
10,臨港道路有明ふ頭連絡線,7603,2580,24572,34755,6437,2280,19476,28193
11,臨港道路有明南縦貫線,2969,262,1106,4337,2960,248,1019,4227
