品名,八丈島／移出(t) ,八丈島／移入(t),青ヶ島／移出(t) ,青ヶ島／移入(t),合計／移出(t) ,合計／移入(t)
米・雑穀・豆,0,260,0,0,0,260
野菜・果物,15,2308,1,15,16,2323
その他農産物,3581,48,31,1,3612,49
畜産品,67,3143,0,5,67,3148
水産品,2017,3155,46,19,2063,3174
林産品,2012,3639,6,470,2018,4109
砂利･砂,0,57229,0,10000,0,67229
石灰石,0,0,0,0,0,0
石材,1,4004,0,1,1,4005
鉄鋼,0,0,0,0,0,0
鋼材,0,0,0,0,0,0
金属製品,865,6201,124,287,989,6488
自動車,918,4563,43,152,961,4715
産業機械,39,24,0,0,39,24
電気機械,22,3,40,79,62,82
その他機械･部品,0,0,0,0,0,0
セメント,0,6394,0,2000,0,8394
ガラス類,0,0,0,0,0,0
その他窯業品,7,1616,2,51,9,1667
重油,826,7380,0,825,826,8205
石油製品,10,5669,0,273,10,5942
LPG（液化石油ガス）,0,3276,34,63,34,3339
化学薬品,0,0,0,0,0,0
化学肥料,2,0,0,2,2,2
塗料・その他化学工業品,2,2,0,2,2,4
紙・パルプ,0,0,0,0,0,0
製造食品,147,166,6,154,153,320
飲料,173,2105,7,163,180,2268
たばこ,3,0,0,3,3,3
その他食料工業品,3,0,2,0,5,0
衣類・はきもの等,3,2,2,2,5,4
文具・運動娯楽用品等,4,0,0,3,4,3
家具装備品,0,0,0,1,0,1
その他日用品,940,2906,18,92,958,2998
ゴム製品,0,0,0,0,0,0
他に分類されない木製品,1,0,0,1,1,1
金属くず,0,422,422,0,422,422
再利用資材,768,31,155,0,923,31
動植物性製造飼肥料,0,877,0,62,0,939
廃棄物,1864,330,0,0,1864,330
輸送用容器,7006,5537,1251,156,8257,5693
取合せ品,2544,13068,22,560,2566,13628
分類不能のもの,45,971,0,1,45,972
合計,23885,135329,2212,15443,26097,150772
