年次(平成),月次,八丈島／乗客(人),八丈島／降客(人),八丈島／計(人),青ヶ島／乗客(人),青ヶ島／降客(人),青ヶ島／計(人),合計／乗客(人),合計／降客(人),合計／計(人)
23,計,9752,15182,24934,544,504,1048,10296,15686,25982
24,計,9453,15144,24597,572,544,1116,10025,15688,25713
25,計,9481,15766,25247,778,771,1549,10259,16537,26796
26,計,8936,15565,24501,869,871,1740,9805,16436,26241
27,計,9644,17151,26795,985,1035,2020,10629,18186,28815
27,1,356,573,929,9,31,40,365,604,969
27,2,188,441,629,10,7,17,198,448,646
27,3,569,954,1523,71,61,132,640,1015,1655
27,4,588,1092,1680,100,104,204,688,1196,1884
27,5,1590,1823,3413,156,177,333,1746,2000,3746
27,6,608,1039,1647,136,124,260,744,1163,1907
27,7,628,1699,2327,27,51,78,655,1750,2405
27,8,2570,4287,6857,111,154,265,2681,4441,7122
27,9,1292,2210,3502,116,98,214,1408,2308,3716
27,10,532,1274,1806,82,88,170,614,1362,1976
27,11,457,1019,1476,78,116,194,535,1135,1670
27,12,266,740,1006,89,24,113,355,764,1119
