年次(平成),月次,乗降客数／乗客(人),乗降客数／降客(人),乗降客数／合計(人),貨物／積(kg),貨物／卸(kg),貨物／合計(kg),郵便物／積(kg),郵便物／積(kg),郵便物／積(kg)
23,計,95458,89572,185030,861619,423673,1285292,15750,48498,64248
24,計,100834,95774,196608,866573,395790,1262363,15847,45788,61635
25,計,104056,97214,201270,905463,342483,1247946,15994,46558,62552
26,計,95088,88262,183350,867106,316887,1183993,15966,44955,60921
27,計,93956,86301,180257,768222,303939,1072161,15771,38710,54481
27,1,7346,6182,13528,54620,22722,77342,1354,3486,4840
27,2,5711,5505,11216,51502,20728,72230,1100,3116,4216
27,3,8578,7904,16482,72317,32580,104897,1342,3989,5331
27,4,5935,5865,11800,53528,22370,75898,1126,3238,4364
27,5,7566,7024,14590,61494,28988,90482,1194,3007,4201
27,6,5347,4877,10224,58118,19742,77860,1221,3318,4539
27,7,8424,8108,16532,62821,26475,89296,1378,3032,4410
27,8,14706,12749,27455,81224,24793,106017,1392,3329,4721
27,9,9018,7745,16763,61273,22172,83445,1255,2451,3706
27,10,7575,7321,14896,58048,33716,91764,1430,3335,4765
27,11,7632,6548,14180,55692,20976,76668,1254,2601,3855
27,12,6118,6473,12591,97585,28677,126262,1725,3808,5533
