投票区,29.3.2登録者数,内訳男,内訳女,28.3.2登録者数,増減
大島町／元町第１,2148,1089,1059,2144,4
大島町／元町第２（北の山）,1181,563,618,1189,-8
大島町／岡田,698,331,367,702,-4
大島町／泉津,325,160,165,332,-7
大島町／野増第１,319,164,155,321,-2
大島町／野増第２（間伏）,126,59,67,129,-3
大島町／差木地第１,937,509,428,941,-4
大島町／差木地第２（クダッチ）,566,288,278,557,9
大島町／波浮港,460,246,214,412,48
大島町／小計,6760,3409,3351,6727,33
利島村,260,138,122,260,0
新島村／第１（本村）,1655,793,862,1675,-20
新島村／第２（式根島）,467,224,243,468,-1
新島村／第３（若郷）,258,129,129,267,-9
新島村／小計,2380,1146,1234,2410,-30
神津島村,1563,791,772,1564,-1
合計,10963,5484,5479,10961,2
