月,着陸回数／新中央航空,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(6ｔ以上)（円）,使用料／着陸料／小型(6ｔ未満)（円）,使用料／着陸料／計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,使用料／合計（円）
4,109,6,6,121,17549,4000,21549,2,1620,23169
5,115,3,1,119,18515,3000,21515,0,0,21515
6,99,3,8,110,15939,3000,18939,0,0,18939
7,112,13,9,134,19161,13000,32161,1,1650,33811
8,115,9,7,131,18515,9000,27515,1,810,28325
9,112,4,4,120,18032,4000,22032,0,0,22032
10,118,8,8,134,20127,8000,28127,0,0,28127
11,112,4,8,124,20290,4000,24290,2,1620,25910
12,116,15,3,134,20934,15000,35934,2,1620,37554
1,116,6,5,127,18676,6000,24676,0,0,24676
2,102,11,8,121,18841,11000,29841,3,4860,34701
3,120,12,3,135,22707,12000,34707,0,0,34707
計,1346,94,70,1510,229286,92000,321286,11,12180,333466
