投票区,30.3.1登録者数,内訳男,内訳女,29.3.1登録者数,増減
大島町／元町第１,2119,1060,1059,2148,-29
大島町／元町第２（北の山）,1166,557,609,1181,-15
大島町／岡田,684,329,355,698,-14
大島町／泉津,320,156,164,325,-5
大島町／野増第１,307,158,149,319,-12
大島町／野増第２（間伏）,130,62,68,126,4
大島町／差木地第１,924,510,414,937,-13
大島町／差木地第２（クダッチ）,563,286,277,566,-3
大島町／波浮港,451,235,216,460,-9
大島町／小計,6664,3353,3311,6760,-96
利島村,259,142,117,260,-1
新島村／第１（本村）,1649,803,846,1655,-6
新島村／第２（式根島）,460,227,233,467,-7
新島村／第３（若郷）,261,126,135,258,3
新島村／小計,2370,1156,1214,2380,-10
神津島村,1561,790,771,1563,-2
合計,10854,5441,5413,10963,-109
