月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量（ｋg）／卸,航空貨物取扱数量（ｋg）／積
4,1136,1227,2363,25,25,50,2413,1343,421
5,1158,1403,2561,31,32,63,2624,1315,319
6,1276,1438,2714,14,14,28,2742,1514,349
7,1413,1596,3009,59,60,119,3128,1619,294
8,1582,1887,3469,10,14,24,3493,1652,365
9,1190,1441,2631,28,26,54,2685,1445,217
10,1122,1293,2415,13,15,28,2443,1364,249
11,1472,1783,3255,20,15,35,3290,1532,294
12,1336,1621,2957,21,26,47,3004,1774,520
1,1243,1415,2658,12,12,24,2682,1364,132
2,1251,1481,2732,10,10,20,2752,1299,210
3,1199,1603,2802,26,28,54,2856,1603,348
計,15378,18188,33566,269,277,546,34112,17824,3718
