月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量／卸（ｋｇ）,航空貨物取扱数量／積（ｋｇ）
4,787,798,1585,9,7,16,1601,34,72
5,885,1059,1944,9,7,16,1960,23,202
6,796,844,1640,8,8,16,1656,8,116
7,1028,1107,2135,36,36,72,2207,53,334
8,1316,1486,2802,30,30,60,2862,154,134
9,895,1059,1954,20,20,40,1994,24,127
10,765,877,1642,0,0,0,1642,8,155
11,972,1165,2137,15,15,30,2167,73,277
12,948,1092,2040,3,3,6,2046,70,205
1,797,1005,1802,7,7,14,1816,14,158
2,714,901,1615,14,14,28,1643,25,67
3,831,1099,1930,5,7,12,1942,17,245
計,10734,12492,23226,156,154,310,23536,503,2092
