月,航空旅客機／新中央航空（株）／降客（人）,航空旅客機／新中央航空（株）／乗客（人）,航空旅客機／新中央航空（株）／計（人）,航空旅客機／その他／降客（人）,航空旅客機／その他／乗客（人）,航空旅客機／その他／計（人）,航空旅客機／合計（人）,航空貨物取扱数量／卸（ｋｇ）,航空貨物取扱数量／積（ｋｇ）
4,903,924,1827,2,2,4,1831,20,236
5,874,1086,1960,0,0,0,1960,22,469
6,629,700,1329,0,0,0,1329,42,225
7,958,1036,1994,12,12,24,2018,53,174
8,1042,1024,2066,28,28,56,2122,55,147
9,786,839,1625,14,15,29,1654,42,108
10,921,1005,1926,4,4,8,1934,42,220
11,872,987,1859,6,5,11,1870,13,270
12,866,977,1843,2,2,4,1847,51,160
1,849,981,1830,1,1,2,1832,60,177
2,735,882,1617,7,7,14,1631,61,150
3,1022,1235,2257,0,0,0,2257,21,142
計,10457,11676,22133,76,76,152,22285,482,2478
