"集計開始日","集計終了日","集計期間の感染者数[人]","累計[人]"
"2020/2/3","2020/2/9","0","0"
"2020/2/10","2020/2/16","2","2"
"2020/2/17","2020/2/23","0","2"
"2020/2/24","2020/3/1","0","2"
"2020/3/2","2020/3/8","0","2"
"2020/3/9","2020/3/15","2","4"
"2020/3/16","2020/3/22","6","10"
"2020/3/23","2020/3/29","18","28"
"2020/3/30","2020/4/5","76","104"
"2020/4/6","2020/4/12","81","185"
"2020/4/13","2020/4/19","76","261"
"2020/4/20","2020/4/26","47","308"
"2020/4/27","2020/5/3","14","322"
"2020/5/4","2020/5/10","6","328"
"2020/5/11","2020/5/17","1","329"
"2020/5/18","2020/5/24","2","331"
"2020/5/25","2020/5/31","17","348"
"2020/6/1","2020/6/7","14","362"
"2020/6/8","2020/6/14","9","371"
"2020/6/15","2020/6/21","8","379"
"2020/6/22","2020/6/28","16","395"
"2020/6/29","2020/7/5","37","432"
"2020/7/6","2020/7/12","61","493"
"2020/7/13","2020/7/19","83","576"
"2020/7/20","2020/7/26","143","719"
"2020/7/27","2020/8/2","183","902"
"2020/8/3","2020/8/9","177","1079"
"2020/8/10","2020/8/16","167","1246"
"2020/8/17","2020/8/23","127","1373"
"2020/8/24","2020/8/30","92","1465"
"2020/8/31","2020/9/6","76","1541"
"2020/9/7","2020/9/13","52","1593"
"2020/9/14","2020/9/20","76","1669"
"2020/9/21","2020/9/27","79","1748"
"2020/9/28","2020/10/4","65","1813"
"2020/10/5","2020/10/11","78","1891"
"2020/10/12","2020/10/18","71","1962"
"2020/10/19","2020/10/25","55","2017"
"2020/10/26","2020/11/1","77","2094"
"2020/11/2","2020/11/8","82","2176"
"2020/11/9","2020/11/15","147","2323"
"2020/11/16","2020/11/22","231","2554"
"2020/11/23","2020/11/29","194","2748"
"2020/11/30","2020/12/6","183","2931"
"2020/12/7","2020/12/13","191","3122"
"2020/12/14","2020/12/20","268","3390"
"2020/12/21","2020/12/27","414","3804"
"2020/12/28","2021/1/3","410","4214"
"2021/1/4","2021/1/10","764","4978"
"2021/1/11","2021/1/17","536","5514"
"2021/1/18","2021/1/24","283","5797"
"2021/1/25","2021/1/31","211","6008"
"2021/2/1","2021/2/7","89","6097"
"2021/2/8","2021/2/14","88","6185"
"2021/2/15","2021/2/21","117","6302"
"2021/2/22","2021/2/28","96","6398"
"2021/3/1","2021/3/7","91","6489"
"2021/3/8","2021/3/14","88","6577"
"2021/3/15","2021/3/21","101","6678"
"2021/3/22","2021/3/28","117","6795"
"2021/3/29","2021/4/4","164","6959"
"2021/4/5","2021/4/11","209","7168"
"2021/4/12","2021/4/18","250","7418"
"2021/4/19","2021/4/25","349","7767"
"2021/4/26","2021/5/2","402","8169"
"2021/5/3","2021/5/9","368","8537"
"2021/5/10","2021/5/16","356","8893"
"2021/5/17","2021/5/23","369","9262"
"2021/5/24","2021/5/30","296","9558"
"2021/5/31","2021/6/6","224","9782"
"2021/6/7","2021/6/13","169","9951"
"2021/6/14","2021/6/20","159","10110"
"2021/6/21","2021/6/27","156","10266"
"2021/6/28","2021/7/4","244","10510"
"2021/7/5","2021/7/11","279","10789"
"2021/7/12","2021/7/18","401","11190"
"2021/7/19","2021/7/25","620","11810"
"2021/7/26","2021/8/1","1057","12867"
"2021/8/2","2021/8/8","1388","14255"
"2021/8/9","2021/8/15","1483","15738"
"2021/8/16","2021/8/22","1371","17109"
"2021/8/23","2021/8/29","1118","18227"
"2021/8/30","2021/9/5","686","18913"
"2021/9/6","2021/9/12","436","19349"
"2021/9/13","2021/9/19","227","19576"
"2021/9/20","2021/9/26","105","19681"
"2021/9/27","2021/10/3","74","19755"
"2021/10/4","2021/10/10","39","19794"
"2021/10/11","2021/10/17","18","19812"
"2021/10/18","2021/10/24","13","19825"
"2021/10/25","2021/10/31","11","19836"
"2021/11/1","2021/11/7","13","19849"
"2021/11/8","2021/11/14","15","19864"
"2021/11/15","2021/11/21","9","19873"
"2021/11/22","2021/11/28","7","19880"
"2021/11/29","2021/12/5","12","19892"
"2021/12/6","2021/12/12","8","19900"
"2021/12/13","2021/12/19","22","19922"
"2021/12/20","2021/12/26","26","19948"
"2021/12/27","2022/1/2","40","19988"
"2022/1/3","2022/1/9","405","20393"
"2022/1/10","2022/1/16","1241","21634"
"2022/1/17","2022/1/23","3013","24647"
"2022/1/24","2022/1/30","4801","29448"
"2022/1/31","2022/2/6","4784","34232"
"2022/2/7","2022/2/13","3781","38013"
"2022/2/14","2022/2/20","3068","41081"
"2022/2/21","2022/2/27","2285","43366"
"2022/2/28","2022/3/6","1954","45320"
"2022/3/7","2022/3/13","1562","46882"
"2022/3/14","2022/3/20","1442","48324"
"2022/3/21","2022/3/27","1410","49734"
"2022/3/28","2022/4/3","1502","51236"
"2022/4/4","2022/4/10","1642","52878"
"2022/4/11","2022/4/17","1349","54227"
"2022/4/18","2022/4/24","1123","55350"
"2022/4/25","2022/5/1","838","56188"
"2022/5/2","2022/5/8","609","56797"
"2022/5/9","2022/5/15","705","57502"
"2022/5/16","2022/5/22","680","58182"
"2022/5/23","2022/5/29","581","58763"
"2022/5/30","2022/6/5","458","59221"
"2022/6/6","2022/6/12","322","59543"
"2022/6/13","2022/6/19","423","59966"
"2022/6/20","2022/6/26","578","60544"
"2022/6/27","2022/7/3","933","61477"
"2022/7/4","2022/7/10","2035","63512"
"2022/7/11","2022/7/17","3818","67330"
"2022/7/18","2022/7/24","7081","74411"
"2022/7/25","2022/7/31","7633","82044"
"2022/8/1","2022/8/7","6450","88494"
"2022/8/8","2022/8/14","4594","93088"
"2022/8/15","2022/8/21","4778","97866"
"2022/8/22","2022/8/28","2844","100710"
"2022/8/29","2022/9/4","1966","102676"
"2022/9/5","2022/9/11","1481","104157"
"2022/9/12","2022/9/18","1095","105252"
"2022/9/19","2022/9/25","996","106248"
"2022/9/26","2022/10/2","174","106422"
"2022/10/3","2022/10/9","102","106524"
"2022/10/10","2022/10/16","117","106641"
"2022/10/17","2022/10/23","83","106724"
"2022/10/24","2022/10/30","97","106821"
"2022/10/31","2022/11/6","150","106971"
"2022/11/7","2022/11/13","213","107184"
"2022/11/14","2022/11/20","300","107484"
"2022/11/21","2022/11/27","334","107818"
"2022/11/28","2022/12/4","396","108214"
"2022/12/5","2022/12/11","388","108602"
"2022/12/12","2022/12/18","402","109004"
"2022/12/19","2022/12/25","468","109472"
"2022/12/26","2023/1/1","400","109872"
"2023/1/2","2023/1/8","408","110280"
"2023/1/9","2023/1/15","328","110608"
"2023/1/16","2023/1/22","210","110818"
"2023/1/23","2023/1/29","115","110933"
"2023/1/30","2023/2/5","80","111013"
"2023/2/6","2023/2/12","66","111079"
"2023/2/13","2023/2/19","49","111128"
"2023/2/20","2023/2/26","51","111179"
"2023/2/27","2023/3/5","32","111211"
"2023/3/6","2023/3/12","25","111236"
"2023/3/13","2023/3/19","35","111271"
"2023/3/20","2023/3/26","40","111311"
"2023/3/27","2023/4/2","40","111351"
"2023/4/3","2023/4/9","50","111401"
"2023/4/10","2023/4/16","80","111481"
"2023/4/17","2023/4/23","60","111541"
"2023/4/24","2023/4/30","107","111648"
"2023/5/1","2023/5/7","99","111747"

"港区内における新型コロナウイルス感染症の感染者数【累計】","Ver20230507",,
