年齢,計（人）,男（人）,女（人）
１歳未満,14,8,6
１～３歳未満,41,16,25
３～６歳未満,66,37,29
６～１５歳未満,253,128,125
１５～２０歳未満,187,98,89
２０～２９,223,109,114
３０～３９,305,167,138
４０～４９,417,230,187
５０～５９,548,313,235
６０～６４,242,111,131
６５～６９,328,155,173
７０～７４,325,137,188
７５～７９,257,123,134
８０～８４,141,49,92
８５歳以上,134,24,110
合計数,3481,1705,1776
