局１,局２,局３,総数,第一配備本庁,第一配備事業所,第一配備計,第二配備本庁,第二配備事業所,第二配備計,現地機動班,特例配備本庁,特例配備事業所,特例配備計
政策企画局,管理職,男,60,24,0,24,7,0,7,19,10,0,10
政策企画局,管理職,女,6,5,0,5,0,0,0,1,0,0,0
政策企画局,管理職,計,66,29,0,29,7,0,7,20,10,0,10
政策企画局,総数,男,161,66,0,66,15,0,15,60,20,0,20
政策企画局,総数,女,83,45,0,45,8,0,8,26,4,0,4
政策企画局,総数,計,244,111,0,111,23,0,23,86,24,0,24
青少年・治安対策本部,管理職,男,10,5,0,5,1,0,1,1,3,0,3
青少年・治安対策本部,管理職,女,4,2,0,2,0,0,0,2,0,0,0
青少年・治安対策本部,管理職,計,14,7,0,7,1,0,1,3,3,0,3
青少年・治安対策本部,総数,男,42,18,0,18,5,0,5,15,4,0,4
青少年・治安対策本部,総数,女,26,14,0,14,0,0,0,11,1,0,1
青少年・治安対策本部,総数,計,68,32,0,32,5,0,5,26,5,0,5
総務局,管理職,男,92,36,0,36,11,0,11,39,6,0,6
総務局,管理職,女,14,8,0,8,1,1,2,4,0,0,0
総務局,管理職,計,106,44,0,44,12,1,13,43,6,0,6
総務局,総数,男,442,105,1,106,69,8,77,230,29,0,29
総務局,総数,女,217,29,1,30,19,6,25,160,2,0,2
総務局,総数,計,659,134,2,136,88,14,102,390,31,0,31
財務局,管理職,男,49,17,0,17,9,0,9,7,16,0,16
財務局,管理職,女,4,2,0,2,1,0,1,0,1,0,1
財務局,管理職,計,53,19,0,19,10,0,10,7,17,0,17
財務局,総数,男,378,119,0,119,103,0,103,81,75,0,75
財務局,総数,女,104,44,0,44,21,0,21,25,14,0,14
財務局,総数,計,482,163,0,163,124,0,124,106,89,0,89
主税局,管理職,男,164,8,19,27,17,40,57,23,19,38,57
主税局,管理職,女,47,7,11,18,4,12,16,5,2,6,8
主税局,管理職,計,211,15,30,45,21,52,73,28,21,44,65
主税局,総数,男,1629,40,148,188,33,85,118,1223,28,72,100
主税局,総数,女,1347,23,149,172,6,42,48,1096,6,25,31
主税局,総数,計,2976,63,297,360,39,127,166,2319,34,97,131
生活文化局,管理職,男,35,8,0,8,6,1,7,8,10,2,12
生活文化局,管理職,女,18,8,1,9,2,0,2,2,4,1,5
生活文化局,管理職,計,53,16,1,17,8,1,9,10,14,3,17
生活文化局,総数,男,260,72,7,79,31,14,45,84,35,17,52
生活文化局,総数,女,196,59,8,67,55,5,60,41,20,8,28
生活文化局,総数,計,456,131,15,146,86,19,105,125,55,25,80
オリンピック・パラリンピック準備局,管理職,男,32,9,0,9,10,0,10,8,5,0,5
オリンピック・パラリンピック準備局,管理職,女,6,5,0,5,1,0,1,0,0,0,0
オリンピック・パラリンピック準備局,管理職,計,38,14,0,14,11,0,11,8,5,0,5
オリンピック・パラリンピック準備局,総数,男,126,42,0,42,44,0,44,35,5,0,5
オリンピック・パラリンピック準備局,総数,女,64,23,0,23,18,0,18,23,0,0,0
オリンピック・パラリンピック準備局,総数,計,190,65,0,65,62,0,62,58,5,0,5
都市整備局,管理職,男,132,30,6,36,27,10,37,0,28,31,59
都市整備局,管理職,女,14,6,0,6,2,2,4,0,1,3,4
都市整備局,管理職,計,146,36,6,42,29,12,41,0,29,34,63
都市整備局,総数,男,912,168,107,275,163,117,280,0,101,256,357
都市整備局,総数,女,367,108,50,158,70,52,122,0,20,67,87
都市整備局,総数,計,1279,276,157,433,233,169,402,0,121,323,444
環境局,管理職,男,54,9,1,10,14,0,14,8,18,4,22
環境局,管理職,女,6,0,0,0,5,0,5,1,0,0,0
環境局,管理職,計,60,9,1,10,19,0,19,9,18,4,22
環境局,総数,男,386,62,15,77,93,15,108,73,99,29,128
環境局,総数,女,131,30,7,37,30,7,37,29,18,10,28
環境局,総数,計,517,92,22,114,123,22,145,102,117,39,156
福祉保健局,管理職,男,173,28,38,66,18,27,45,0,20,42,62
福祉保健局,管理職,女,112,21,38,59,5,27,32,0,3,18,21
福祉保健局,管理職,計,285,49,76,125,23,54,77,0,23,60,83
福祉保健局,総数,男,1840,228,401,629,174,378,552,0,248,411,659
福祉保健局,総数,女,2748,224,1017,1241,170,720,890,0,170,447,617
福祉保健局,総数,計,4588,452,1418,1870,344,1098,1442,0,418,858,1276
病院経営本部,管理職,男,501,3,248,251,6,114,120,0,7,123,130
病院経営本部,管理職,女,164,0,55,55,1,54,55,0,1,53,54
病院経営本部,管理職,計,665,3,303,306,7,168,175,0,8,176,184
病院経営本部,総数,男,1793,10,871,881,29,432,461,0,30,421,451
病院経営本部,総数,女,5322,9,3430,3439,12,1272,1284,0,25,574,599
病院経営本部,総数,計,7115,19,4301,4320,41,1704,1745,0,55,995,1050
産業労働局,管理職,男,84,22,17,39,13,11,24,7,7,7,14
産業労働局,管理職,女,23,7,6,13,6,3,9,1,0,0,0
産業労働局,管理職,計,107,29,23,52,19,14,33,8,7,7,14
産業労働局,総数,男,803,133,145,278,96,161,257,247,12,9,21
産業労働局,総数,女,433,94,93,187,63,86,149,96,0,1,1
産業労働局,総数,計,1236,227,238,465,159,247,406,343,12,10,22
中央卸売市場,管理職,男,45,7,2,9,10,7,17,0,9,10,19
中央卸売市場,管理職,女,4,0,0,0,2,2,4,0,0,0,0
中央卸売市場,管理職,計,49,7,2,9,12,9,21,0,9,10,19
中央卸売市場,総数,男,581,51,72,123,46,135,181,0,40,237,277
中央卸売市場,総数,女,82,16,18,34,11,18,29,0,9,10,19
中央卸売市場,総数,計,663,67,90,157,57,153,210,0,49,247,296
建設局,管理職,男,162,30,80,110,16,7,23,0,21,8,29
建設局,管理職,女,14,2,9,11,2,0,2,0,0,1,1
建設局,管理職,計,176,32,89,121,18,7,25,0,21,9,30
建設局,総数,男,1940,177,541,718,163,439,602,0,179,441,620
建設局,総数,女,489,68,156,224,44,116,160,0,33,72,105
建設局,総数,計,2429,245,697,942,207,555,762,0,212,513,725
港湾局,管理職,男,58,8,8,16,13,9,22,0,10,10,20
港湾局,管理職,女,7,3,1,4,2,0,2,0,1,0,1
港湾局,管理職,計,65,11,9,20,15,9,24,0,11,10,21
港湾局,総数,男,485,62,100,162,37,93,130,0,31,162,193
港湾局,総数,女,135,37,21,58,21,28,49,0,11,17,28
港湾局,総数,計,620,99,121,220,58,121,179,0,42,179,221
会計管理局,管理職,男,16,16,0,16,0,0,0,0,0,0,0
会計管理局,管理職,女,1,1,0,1,0,0,0,0,0,0,0
会計管理局,管理職,計,17,17,0,17,0,0,0,0,0,0,0
会計管理局,総数,男,83,43,0,43,21,0,21,0,19,0,19
会計管理局,総数,女,31,15,0,15,8,0,8,0,8,0,8
会計管理局,総数,計,114,58,0,58,29,0,29,0,27,0,27
交通局,管理職,男,95,20,3,23,16,22,38,0,18,16,34
交通局,管理職,女,4,2,0,2,0,1,1,0,0,1,1
交通局,管理職,計,99,22,3,25,16,23,39,0,18,17,35
交通局,総数,男,6376,135,1792,1927,172,1659,1831,0,175,2443,2618
交通局,総数,女,184,37,33,70,35,25,60,0,23,31,54
交通局,総数,計,6560,172,1825,1997,207,1684,1891,0,198,2474,2672
水道局,管理職,男,148,42,97,139,5,4,9,0,0,0,0
水道局,管理職,女,10,4,6,10,0,0,0,0,0,0,0
水道局,管理職,計,158,46,103,149,5,4,9,0,0,0,0
水道局,総数,男,3280,245,887,1132,225,828,1053,0,190,905,1095
水道局,総数,女,588,48,98,146,53,129,182,0,51,209,260
水道局,総数,計,3868,293,985,1278,278,957,1235,0,241,1114,1355
下水道局,管理職,男,111,42,69,111,0,0,0,0,0,0,0
下水道局,管理職,女,5,3,2,5,0,0,0,0,0,0,0
下水道局,管理職,計,116,45,71,116,0,0,0,0,0,0,0
下水道局,総数,男,2309,178,736,914,154,471,625,0,142,628,770
下水道局,総数,女,232,38,63,101,34,51,85,0,19,27,46
下水道局,総数,計,2541,216,799,1015,188,522,710,0,161,655,816
教育庁,管理職,男,727,33,227,260,37,208,245,0,45,177,222
教育庁,管理職,女,108,6,35,41,5,35,40,0,5,22,27
教育庁,管理職,計,835,39,262,301,42,243,285,0,50,199,249
教育庁,総数,男,10113,134,4302,4436,146,3333,3479,0,142,2056,2198
教育庁,総数,女,7737,81,3950,4031,59,2428,2487,0,48,1171,1219
教育庁,総数,計,17850,215,8252,8467,205,5761,5966,0,190,3227,3417
選挙管理委員会事務局,管理職,男,3,0,0,0,1,0,1,0,2,0,2
選挙管理委員会事務局,管理職,女,1,0,0,0,1,0,1,0,0,0,0
選挙管理委員会事務局,管理職,計,4,0,0,0,2,0,2,0,2,0,2
選挙管理委員会事務局,総数,男,15,1,0,1,1,0,1,11,2,0,2
選挙管理委員会事務局,総数,女,11,3,0,3,4,0,4,4,0,0,0
選挙管理委員会事務局,総数,計,26,4,0,4,5,0,5,15,2,0,2
人事委員会事務局,管理職,男,18,0,0,0,0,0,0,11,7,0,7
人事委員会事務局,管理職,女,0,0,0,0,0,0,0,0,0,0,0
人事委員会事務局,管理職,計,18,0,0,0,0,0,0,11,7,0,7
人事委員会事務局,総数,男,43,3,0,3,0,0,0,33,7,0,7
人事委員会事務局,総数,女,21,2,0,2,2,0,2,17,0,0,0
人事委員会事務局,総数,計,64,5,0,5,2,0,2,50,7,0,7
監査事務局,管理職,男,9,3,0,3,0,0,0,6,0,0,0
監査事務局,管理職,女,2,2,0,2,0,0,0,0,0,0,0
監査事務局,管理職,計,11,5,0,5,0,0,0,6,0,0,0
監査事務局,総数,男,69,6,0,6,0,0,0,63,0,0,0
監査事務局,総数,女,23,3,0,3,0,0,0,20,0,0,0
監査事務局,総数,計,92,9,0,9,0,0,0,83,0,0,0
労働委員会事務局,管理職,男,7,0,0,0,0,0,0,0,7,0,7
労働委員会事務局,管理職,女,0,0,0,0,0,0,0,0,0,0,0
労働委員会事務局,管理職,計,7,0,0,0,0,0,0,0,7,0,7
労働委員会事務局,総数,男,22,5,0,5,0,0,0,17,0,0,0
労働委員会事務局,総数,女,13,0,0,0,0,0,0,13,0,0,0
労働委員会事務局,総数,計,35,5,0,5,0,0,0,30,0,0,0
収用委員会事務局,管理職,男,6,3,0,3,0,0,0,3,0,0,0
収用委員会事務局,管理職,女,0,0,0,0,0,0,0,0,0,0,0
収用委員会事務局,管理職,計,6,3,0,3,0,0,0,3,0,0,0
収用委員会事務局,総数,男,19,6,0,6,0,0,0,12,1,0,1
収用委員会事務局,総数,女,11,2,0,2,0,0,0,9,0,0,0
収用委員会事務局,総数,計,30,8,0,8,0,0,0,21,1,0,1
職員共済組合事務局,管理職,男,13,2,5,7,1,3,4,2,0,0,0
職員共済組合事務局,管理職,女,7,5,1,6,0,1,1,0,0,0,0
職員共済組合事務局,管理職,計,20,7,6,13,1,4,5,2,0,0,0
職員共済組合事務局,総数,男,77,6,19,25,5,18,23,27,0,2,2
職員共済組合事務局,総数,女,89,16,19,35,10,20,30,23,0,1,1
職員共済組合事務局,総数,計,166,22,38,60,15,38,53,50,0,3,3
合計,管理職,男,2804,405,820,1225,238,463,701,142,268,468,736
合計,管理職,女,581,99,165,264,40,138,178,16,18,105,123
合計,管理職,計,3385,504,985,1489,278,601,879,158,286,573,859
合計,総数,男,34184,2115,10144,12259,1825,8186,10011,2211,1614,8089,9703
合計,総数,女,20684,1068,9113,10181,753,5005,5758,1593,482,2670,3152
合計,総数,計,54868,3183,19257,22440,2578,13191,15769,3804,2096,10759,12855
警視庁,定数,,46113,,,,,,,,,,
東京消防庁,定数,,18152,,,,,,,,,,
合計,,,119133,3183,19257,22440,2578,13191,15769,3804,2096,10759,12855
