町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,376400,358280,379431,737711
旭丘,4836,3672,3649,7321
旭丘１丁目,3308,2474,2386,4860
旭丘２丁目,1528,1198,1263,2461
小竹町,5652,4552,4977,9529
小竹町１丁目,3035,2517,2658,5175
小竹町２丁目,2617,2035,2319,4354
栄町,2445,1874,2081,3955
羽沢,3834,3214,3392,6606
羽沢１丁目,912,658,709,1367
羽沢２丁目,1921,1619,1705,3324
羽沢３丁目,1001,937,978,1915
豊玉上,4375,3066,3510,6576
豊玉上１丁目,1526,1148,1207,2355
豊玉上２丁目,2849,1918,2303,4221
豊玉中,6037,5360,5325,10685
豊玉中１丁目,1363,1216,1181,2397
豊玉中２丁目,1830,1615,1504,3119
豊玉中３丁目,1953,1568,1613,3181
豊玉中４丁目,891,961,1027,1988
豊玉南,4468,4313,4340,8653
豊玉南１丁目,1251,1156,1223,2379
豊玉南２丁目,1102,987,1011,1998
豊玉南３丁目,2115,2170,2106,4276
豊玉北,12304,9310,10099,19409
豊玉北１丁目,1673,1218,1415,2633
豊玉北２丁目,1508,1148,1308,2456
豊玉北３丁目,2039,1545,1580,3125
豊玉北４丁目,2648,1960,2077,4037
豊玉北５丁目,2614,1866,2032,3898
豊玉北６丁目,1822,1573,1687,3260
中村,4980,4765,5151,9916
中村１丁目,1217,1197,1290,2487
中村２丁目,1549,1589,1679,3268
中村３丁目,2214,1979,2182,4161
中村南,5614,5265,5571,10836
中村南１丁目,2021,2049,2110,4159
中村南２丁目,2093,1810,1873,3683
中村南３丁目,1500,1406,1588,2994
中村北,6891,5537,6216,11753
中村北１丁目,2176,1806,1979,3785
中村北２丁目,1706,1509,1556,3065
中村北３丁目,1312,931,1094,2025
中村北４丁目,1697,1291,1587,2878
桜台,14254,12343,13163,25506
桜台１丁目,3277,2472,2622,5094
桜台２丁目,2656,2300,2460,4760
桜台３丁目,2443,2276,2456,4732
桜台４丁目,2096,1623,1782,3405
桜台５丁目,2007,1974,1975,3949
桜台６丁目,1775,1698,1868,3566
練馬,8957,7023,7426,14449
練馬１丁目,2649,2009,2083,4092
練馬２丁目,1796,1467,1513,2980
練馬３丁目,2331,1744,1825,3569
練馬４丁目,2181,1803,2005,3808
向山,5798,5417,5616,11033
向山１丁目,1124,876,896,1772
向山２丁目,1316,1290,1278,2568
向山３丁目,1268,1179,1287,2466
向山４丁目,2090,2072,2155,4227
貫井,11268,9878,10414,20292
貫井１丁目,2704,2404,2715,5119
貫井２丁目,2109,1714,1761,3475
貫井３丁目,2831,2387,2558,4945
貫井４丁目,2215,2104,2181,4285
貫井５丁目,1409,1269,1199,2468
錦,3076,3024,3133,6157
錦１丁目,1799,1725,1828,3553
錦２丁目,1277,1299,1305,2604
氷川台,7145,6631,6999,13630
氷川台１丁目,122,111,132,243
氷川台２丁目,1414,1511,1490,3001
氷川台３丁目,2853,2523,2639,5162
氷川台４丁目,2756,2486,2738,5224
平和台,6793,6898,7069,13967
平和台１丁目,1744,1809,1778,3587
平和台２丁目,1568,1492,1600,3092
平和台３丁目,2037,2151,2200,4351
平和台４丁目,1444,1446,1491,2937
早宮,9513,9288,9987,19275
早宮１丁目,3037,2864,3081,5945
早宮２丁目,2123,2018,2117,4135
早宮３丁目,2279,2276,2499,4775
早宮４丁目,2074,2130,2290,4420
春日町,12796,12305,13424,25729
春日町１丁目,2112,2087,2284,4371
春日町２丁目,2242,2215,2357,4572
春日町３丁目,2153,1913,2168,4081
春日町４丁目,2226,2188,2297,4485
春日町５丁目,2202,2119,2364,4483
春日町６丁目,1861,1783,1954,3737
高松,8205,8957,9097,18054
高松１丁目,1504,1499,1558,3057
高松２丁目,1164,1207,1309,2516
高松３丁目,1255,1556,1629,3185
高松４丁目,1512,1759,1758,3517
高松５丁目,1344,1363,1359,2722
高松６丁目,1426,1573,1484,3057
北町,15065,13209,12811,26020
北町１丁目,2761,2240,2297,4537
北町２丁目,3248,3093,3157,6250
北町３丁目,1540,1328,1369,2697
北町４丁目,942,887,55,942
北町５丁目,1316,1215,1209,2424
北町６丁目,1537,1202,1388,2590
北町７丁目,1565,1402,1466,2868
北町８丁目,2156,1842,1870,3712
田柄,13637,14557,14970,29527
田柄１丁目,2460,2452,2647,5099
田柄２丁目,3726,3490,3655,7145
田柄３丁目,2456,2935,2875,5810
田柄４丁目,3126,3635,3680,7315
田柄５丁目,1869,2045,2113,4158
光が丘,12719,12755,14674,27429
光が丘１丁目,1566,1235,1446,2681
光が丘２丁目,2585,2455,3063,5518
光が丘３丁目,3953,4304,4719,9023
光が丘４丁目,0,0,0,0
光が丘５丁目,1601,1499,1839,3338
光が丘６丁目,470,472,575,1047
光が丘７丁目,2544,2790,3032,5822
旭町,6747,6413,6553,12966
旭町１丁目,1906,2069,2168,4237
旭町２丁目,2607,2309,2331,4640
旭町３丁目,2234,2035,2054,4089
土支田,6076,6894,6959,13853
土支田１丁目,1612,1764,1815,3579
土支田２丁目,1288,1442,1455,2897
土支田３丁目,1751,2001,2081,4082
土支田４丁目,1425,1687,1608,3295
富士見台,7888,7619,8012,15631
富士見台１丁目,1549,1518,1613,3131
富士見台２丁目,2313,2087,2163,4250
富士見台３丁目,2167,1983,2166,4149
富士見台４丁目,1859,2031,2070,4101
南田中,6460,6108,6511,12619
南田中１丁目,1230,1255,1280,2535
南田中２丁目,875,874,903,1777
南田中３丁目,1432,1263,1434,2697
南田中４丁目,1570,1610,1592,3202
南田中５丁目,1353,1106,1302,2408
高野台,7302,7064,7914,14978
高野台１丁目,1744,1601,1903,3504
高野台２丁目,1481,1507,1612,3119
高野台３丁目,1492,1402,1550,2952
高野台４丁目,1212,1150,1314,2464
高野台５丁目,1373,1404,1535,2939
谷原,5607,6418,6580,12998
谷原１丁目,938,1048,1036,2084
谷原２丁目,822,864,904,1768
谷原３丁目,825,972,1047,2019
谷原４丁目,761,997,955,1952
谷原５丁目,1269,1394,1465,2859
谷原６丁目,992,1143,1173,2316
三原台,4168,4623,4710,9333
三原台１丁目,1947,2111,2108,4219
三原台２丁目,866,1022,1003,2025
三原台３丁目,1355,1490,1599,3089
石神井町,14722,13260,14662,27922
石神井町１丁目,1787,1416,1749,3165
石神井町２丁目,2356,2081,2411,4492
石神井町３丁目,1925,1560,1722,3282
石神井町４丁目,1748,1653,1789,3442
石神井町５丁目,937,884,896,1780
石神井町６丁目,1612,1487,1612,3099
石神井町７丁目,2116,2027,2158,4185
石神井町８丁目,2241,2152,2325,4477
石神井台,14768,15000,15913,30913
石神井台１丁目,728,802,834,1636
石神井台２丁目,2156,2317,2367,4684
石神井台３丁目,2735,2663,2842,5505
石神井台４丁目,2194,2122,2450,4572
石神井台５丁目,1764,1970,2004,3974
石神井台６丁目,1352,1469,1531,3000
石神井台７丁目,2148,1816,1921,3737
石神井台８丁目,1691,1841,1964,3805
下石神井,8837,9030,9298,18328
下石神井１丁目,1314,1359,1401,2760
下石神井２丁目,1577,1655,1741,3396
下石神井３丁目,1103,1183,1231,2414
下石神井４丁目,1958,1723,1814,3537
下石神井５丁目,1286,1309,1339,2648
下石神井６丁目,1599,1801,1772,3573
東大泉,17824,16350,18328,34678
東大泉１丁目,2429,2240,2548,4788
東大泉２丁目,2986,2899,3190,6089
東大泉３丁目,2623,2162,2625,4787
東大泉４丁目,1691,1414,1499,2913
東大泉５丁目,1998,1745,2047,3792
東大泉６丁目,3277,2937,3399,6336
東大泉７丁目,2820,2953,3020,5973
西大泉町,12,11,19,30
西大泉,9869,10859,11267,22126
西大泉１丁目,1937,2059,2027,4086
西大泉２丁目,1286,1438,1542,2980
西大泉３丁目,1689,1792,1876,3668
西大泉４丁目,1480,1759,1847,3606
西大泉５丁目,2209,2369,2517,4886
西大泉６丁目,1268,1442,1458,2900
南大泉,12428,13183,13863,27046
南大泉１丁目,2133,2310,2418,4728
南大泉２丁目,1915,2174,2308,4482
南大泉３丁目,2241,2363,2458,4821
南大泉４丁目,3043,3114,3198,6312
南大泉５丁目,2268,2287,2472,4759
南大泉６丁目,828,935,1009,1944
大泉町,10001,11047,11323,22370
大泉町１丁目,2281,2673,2680,5353
大泉町２丁目,2171,2313,2440,4753
大泉町３丁目,1727,1927,1951,3878
大泉町４丁目,1644,1899,1913,3812
大泉町５丁目,1041,1086,1109,2195
大泉町６丁目,1137,1149,1230,2379
大泉学園町,15514,16803,17657,34460
大泉学園町１丁目,1481,1541,1658,3199
大泉学園町２丁目,1902,1928,2040,3968
大泉学園町３丁目,1322,1619,1572,3191
大泉学園町４丁目,1875,2112,2248,4360
大泉学園町５丁目,2080,2342,2426,4768
大泉学園町６丁目,2272,2499,2651,5150
大泉学園町７丁目,2346,2406,2620,5026
大泉学園町８丁目,2164,2317,2409,4726
大泉学園町９丁目,72,39,33,72
関町北,11638,10567,11591,22158
関町北１丁目,2103,1645,1905,3550
関町北２丁目,2779,2172,2517,4689
関町北３丁目,2208,2060,2135,4195
関町北４丁目,2121,1986,2132,4118
関町北５丁目,2427,2704,2902,5606
関町南,8695,8491,9030,17521
関町南１丁目,1353,1223,1314,2537
関町南２丁目,2144,2064,2218,4282
関町南３丁目,2049,2094,2107,4201
関町南４丁目,3149,3110,3391,6501
上石神井南町,1099,1109,1111,2220
立野町,2395,2523,2722,5245
上石神井,10689,9123,9685,18808
上石神井１丁目,3431,2642,2794,5436
上石神井２丁目,2341,2068,2219,4287
上石神井３丁目,2294,2099,2244,4343
上石神井４丁目,2623,2314,2428,4742
関町東,2999,2572,2629,5201
関町東１丁目,2038,1834,1856,3690
関町東２丁目,961,738,773,1511
