町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,377713,358809,380282,739091
旭丘,4901,3719,3694,7413
旭丘１丁目,3346,2523,2401,4924
旭丘２丁目,1555,1196,1293,2489
小竹町,5642,4533,4975,9508
小竹町１丁目,3040,2504,2668,5172
小竹町２丁目,2602,2029,2307,4336
栄町,2454,1872,2094,3966
羽沢,3813,3197,3398,6595
羽沢１丁目,907,652,704,1356
羽沢２丁目,1905,1598,1716,3314
羽沢３丁目,1001,947,978,1925
豊玉上,4371,3075,3490,6565
豊玉上１丁目,1524,1161,1197,2358
豊玉上２丁目,2847,1914,2293,4207
豊玉中,6037,5367,5373,10740
豊玉中１丁目,1382,1226,1219,2445
豊玉中２丁目,1836,1625,1518,3143
豊玉中３丁目,1930,1542,1606,3148
豊玉中４丁目,889,974,1030,2004
豊玉南,4442,4304,4322,8626
豊玉南１丁目,1252,1156,1219,2375
豊玉南２丁目,1083,977,1002,1979
豊玉南３丁目,2107,2171,2101,4272
豊玉北,12483,9390,10160,19550
豊玉北１丁目,1683,1219,1413,2632
豊玉北２丁目,1532,1159,1317,2476
豊玉北３丁目,2191,1622,1659,3281
豊玉北４丁目,2649,1967,2074,4041
豊玉北５丁目,2596,1850,2020,3870
豊玉北６丁目,1832,1573,1677,3250
中村,4997,4787,5194,9981
中村１丁目,1205,1193,1290,2483
中村２丁目,1567,1625,1697,3322
中村３丁目,2225,1969,2207,4176
中村南,5736,5324,5693,11017
中村南１丁目,2112,2111,2195,4306
中村南２丁目,2107,1809,1889,3698
中村南３丁目,1517,1404,1609,3013
中村北,6887,5532,6188,11720
中村北１丁目,2178,1798,1981,3779
中村北２丁目,1713,1512,1558,3070
中村北３丁目,1298,923,1073,1996
中村北４丁目,1698,1299,1576,2875
桜台,14257,12361,13159,25520
桜台１丁目,3265,2462,2621,5083
桜台２丁目,2677,2304,2474,4778
桜台３丁目,2426,2255,2452,4707
桜台４丁目,2099,1626,1781,3407
桜台５丁目,2023,1994,1969,3963
桜台６丁目,1767,1720,1862,3582
練馬,8965,7021,7436,14457
練馬１丁目,2644,2001,2103,4104
練馬２丁目,1785,1458,1504,2962
練馬３丁目,2365,1744,1849,3593
練馬４丁目,2171,1818,1980,3798
向山,5800,5396,5652,11048
向山１丁目,1114,865,897,1762
向山２丁目,1338,1294,1302,2596
向山３丁目,1255,1171,1281,2452
向山４丁目,2093,2066,2172,4238
貫井,11295,9875,10405,20280
貫井１丁目,2721,2413,2715,5128
貫井２丁目,2144,1729,1788,3517
貫井３丁目,2793,2349,2522,4871
貫井４丁目,2229,2101,2190,4291
貫井５丁目,1408,1283,1190,2473
錦,3092,3028,3116,6144
錦１丁目,1800,1722,1824,3546
錦２丁目,1292,1306,1292,2598
氷川台,7124,6603,7016,13619
氷川台１丁目,119,109,127,236
氷川台２丁目,1419,1510,1504,3014
氷川台３丁目,2822,2500,2639,5139
氷川台４丁目,2764,2484,2746,5230
平和台,6788,6919,7049,13968
平和台１丁目,1747,1818,1783,3601
平和台２丁目,1575,1500,1575,3075
平和台３丁目,2018,2146,2197,4343
平和台４丁目,1448,1455,1494,2949
早宮,9551,9298,10023,19321
早宮１丁目,3042,2850,3081,5931
早宮２丁目,2136,2026,2154,4180
早宮３丁目,2297,2285,2500,4785
早宮４丁目,2076,2137,2288,4425
春日町,12849,12350,13449,25799
春日町１丁目,2117,2090,2270,4360
春日町２丁目,2223,2196,2322,4518
春日町３丁目,2144,1902,2174,4076
春日町４丁目,2228,2165,2298,4463
春日町５丁目,2205,2138,2363,4501
春日町６丁目,1932,1859,2022,3881
高松,8250,8989,9172,18161
高松１丁目,1497,1504,1563,3067
高松２丁目,1154,1199,1308,2507
高松３丁目,1270,1578,1647,3225
高松４丁目,1512,1739,1754,3493
高松５丁目,1392,1387,1411,2798
高松６丁目,1425,1582,1489,3071
北町,15215,13281,12944,26225
北町１丁目,2766,2227,2312,4539
北町２丁目,3252,3082,3161,6243
北町３丁目,1593,1358,1431,2789
北町４丁目,970,900,70,970
北町５丁目,1318,1225,1211,2436
北町６丁目,1530,1206,1389,2595
北町７丁目,1599,1415,1472,2887
北町８丁目,2187,1868,1898,3766
田柄,13653,14551,14986,29537
田柄１丁目,2460,2453,2641,5094
田柄２丁目,3763,3528,3706,7234
田柄３丁目,2457,2916,2853,5769
田柄４丁目,3114,3629,3675,7304
田柄５丁目,1859,2025,2111,4136
光が丘,12783,12743,14687,27430
光が丘１丁目,1558,1227,1438,2665
光が丘２丁目,2601,2448,3036,5484
光が丘３丁目,3978,4316,4739,9055
光が丘４丁目,0,0,0,0
光が丘５丁目,1612,1496,1850,3346
光が丘６丁目,475,471,585,1056
光が丘７丁目,2559,2785,3039,5824
旭町,6764,6408,6531,12939
旭町１丁目,1892,2062,2154,4216
旭町２丁目,2587,2280,2299,4579
旭町３丁目,2285,2066,2078,4144
土支田,6087,6906,6973,13879
土支田１丁目,1604,1755,1817,3572
土支田２丁目,1297,1450,1465,2915
土支田３丁目,1762,2015,2088,4103
土支田４丁目,1424,1686,1603,3289
富士見台,7902,7642,7993,15635
富士見台１丁目,1558,1520,1619,3139
富士見台２丁目,2330,2095,2169,4264
富士見台３丁目,2159,2003,2141,4144
富士見台４丁目,1855,2024,2064,4088
南田中,6478,6109,6500,12609
南田中１丁目,1227,1249,1275,2524
南田中２丁目,885,877,902,1779
南田中３丁目,1419,1251,1416,2667
南田中４丁目,1588,1619,1605,3224
南田中５丁目,1359,1113,1302,2415
高野台,7381,7131,7995,15126
高野台１丁目,1782,1613,1936,3549
高野台２丁目,1509,1534,1621,3155
高野台３丁目,1523,1419,1568,2987
高野台４丁目,1201,1160,1328,2488
高野台５丁目,1366,1405,1542,2947
谷原,5698,6484,6674,13158
谷原１丁目,935,1045,1038,2083
谷原２丁目,826,863,905,1768
谷原３丁目,844,994,1067,2061
谷原４丁目,769,996,963,1959
谷原５丁目,1322,1441,1526,2967
谷原６丁目,1002,1145,1175,2320
三原台,4185,4634,4720,9354
三原台１丁目,1957,2120,2124,4244
三原台２丁目,872,1032,1009,2041
三原台３丁目,1356,1482,1587,3069
石神井町,14760,13279,14707,27986
石神井町１丁目,1788,1412,1744,3156
石神井町２丁目,2361,2072,2432,4504
石神井町３丁目,1921,1562,1722,3284
石神井町４丁目,1760,1664,1790,3454
石神井町５丁目,934,872,903,1775
石神井町６丁目,1624,1506,1624,3130
石神井町７丁目,2122,2033,2168,4201
石神井町８丁目,2250,2158,2324,4482
石神井台,14836,15082,15976,31058
石神井台１丁目,723,796,829,1625
石神井台２丁目,2137,2309,2352,4661
石神井台３丁目,2750,2670,2861,5531
石神井台４丁目,2237,2187,2505,4692
石神井台５丁目,1764,1966,2000,3966
石神井台６丁目,1348,1458,1521,2979
石神井台７丁目,2183,1848,1947,3795
石神井台８丁目,1694,1848,1961,3809
下石神井,8842,9012,9308,18320
下石神井１丁目,1312,1355,1408,2763
下石神井２丁目,1577,1651,1733,3384
下石神井３丁目,1105,1183,1240,2423
下石神井４丁目,1972,1736,1819,3555
下石神井５丁目,1290,1298,1342,2640
下石神井６丁目,1586,1789,1766,3555
東大泉,17886,16372,18337,34709
東大泉１丁目,2430,2233,2533,4766
東大泉２丁目,2983,2892,3184,6076
東大泉３丁目,2626,2180,2604,4784
東大泉４丁目,1683,1417,1482,2899
東大泉５丁目,2031,1762,2075,3837
東大泉６丁目,3314,2960,3426,6386
東大泉７丁目,2819,2928,3033,5961
西大泉町,13,13,20,33
西大泉,9883,10850,11275,22125
西大泉１丁目,1942,2062,2032,4094
西大泉２丁目,1296,1442,1542,2984
西大泉３丁目,1680,1776,1864,3640
西大泉４丁目,1489,1770,1867,3637
西大泉５丁目,2211,2371,2514,4885
西大泉６丁目,1265,1429,1456,2885
南大泉,12467,13194,13893,27087
南大泉１丁目,2136,2317,2427,4744
南大泉２丁目,1925,2174,2316,4490
南大泉３丁目,2228,2360,2449,4809
南大泉４丁目,3069,3140,3216,6356
南大泉５丁目,2268,2268,2464,4732
南大泉６丁目,841,935,1021,1956
大泉町,10010,11011,11259,22270
大泉町１丁目,2285,2657,2654,5311
大泉町２丁目,2173,2318,2426,4744
大泉町３丁目,1727,1917,1942,3859
大泉町４丁目,1644,1884,1912,3796
大泉町５丁目,1043,1091,1103,2194
大泉町６丁目,1138,1144,1222,2366
大泉学園町,15568,16811,17667,34478
大泉学園町１丁目,1482,1542,1671,3213
大泉学園町２丁目,1935,1931,2064,3995
大泉学園町３丁目,1342,1644,1585,3229
大泉学園町４丁目,1885,2111,2248,4359
大泉学園町５丁目,2095,2362,2438,4800
大泉学園町６丁目,2275,2482,2646,5128
大泉学園町７丁目,2333,2399,2591,4990
大泉学園町８丁目,2151,2301,2393,4694
大泉学園町９丁目,70,39,31,70
関町北,11731,10577,11644,22221
関町北１丁目,2154,1654,1936,3590
関町北２丁目,2782,2153,2523,4676
関町北３丁目,2225,2073,2133,4206
関町北４丁目,2136,1987,2141,4128
関町北５丁目,2434,2710,2911,5621
関町南,8687,8481,9014,17495
関町南１丁目,1341,1208,1304,2512
関町南２丁目,2148,2063,2213,4276
関町南３丁目,2041,2096,2111,4207
関町南４丁目,3157,3114,3386,6500
上石神井南町,1090,1095,1094,2189
立野町,2408,2546,2728,5274
上石神井,10644,9055,9669,18724
上石神井１丁目,3439,2662,2810,5472
上石神井２丁目,2334,2056,2212,4268
上石神井３丁目,2251,2043,2201,4244
上石神井４丁目,2620,2294,2446,4740
関町東,3008,2602,2630,5232
関町東１丁目,2041,1865,1845,3710
関町東２丁目,967,737,785,1522
