町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,382008,358936,381481,740417
旭丘,4905,3704,3680,7384
旭丘１丁目,3377,2526,2423,4949
旭丘２丁目,1528,1178,1257,2435
小竹町,5664,4488,4965,9453
小竹町１丁目,3090,2483,2667,5150
小竹町２丁目,2574,2005,2298,4303
栄町,2528,1895,2129,4024
羽沢,3868,3195,3397,6592
羽沢１丁目,911,661,687,1348
羽沢２丁目,1958,1595,1741,3336
羽沢３丁目,999,939,969,1908
豊玉上,4431,3064,3521,6585
豊玉上１丁目,1541,1143,1213,2356
豊玉上２丁目,2890,1921,2308,4229
豊玉中,6099,5377,5358,10735
豊玉中１丁目,1391,1251,1210,2461
豊玉中２丁目,1923,1656,1567,3223
豊玉中３丁目,1920,1515,1558,3073
豊玉中４丁目,865,955,1023,1978
豊玉南,4447,4276,4356,8632
豊玉南１丁目,1249,1149,1212,2361
豊玉南２丁目,1099,958,1017,1975
豊玉南３丁目,2099,2169,2127,4296
豊玉北,12733,9431,10274,19705
豊玉北１丁目,1694,1229,1418,2647
豊玉北２丁目,1515,1184,1258,2442
豊玉北３丁目,2264,1625,1710,3335
豊玉北４丁目,2725,1974,2127,4101
豊玉北５丁目,2688,1881,2084,3965
豊玉北６丁目,1847,1538,1677,3215
中村,5040,4738,5219,9957
中村１丁目,1200,1159,1261,2420
中村２丁目,1619,1628,1763,3391
中村３丁目,2221,1951,2195,4146
中村南,5631,5282,5593,10875
中村南１丁目,2067,2085,2147,4232
中村南２丁目,2073,1797,1871,3668
中村南３丁目,1491,1400,1575,2975
中村北,6911,5487,6192,11679
中村北１丁目,2193,1787,1977,3764
中村北２丁目,1737,1545,1569,3114
中村北３丁目,1317,923,1097,2020
中村北４丁目,1664,1232,1549,2781
桜台,14498,12418,13282,25700
桜台１丁目,3330,2452,2656,5108
桜台２丁目,2679,2306,2451,4757
桜台３丁目,2489,2240,2480,4720
桜台４丁目,2182,1657,1841,3498
桜台５丁目,2008,2003,1955,3958
桜台６丁目,1810,1760,1899,3659
練馬,9167,7081,7552,14633
練馬１丁目,2782,2037,2196,4233
練馬２丁目,1788,1474,1521,2995
練馬３丁目,2378,1732,1834,3566
練馬４丁目,2219,1838,2001,3839
向山,5891,5472,5676,11148
向山１丁目,1110,871,904,1775
向山２丁目,1365,1316,1297,2613
向山３丁目,1292,1178,1281,2459
向山４丁目,2124,2107,2194,4301
貫井,11380,9732,10500,20232
貫井１丁目,2711,2380,2712,5092
貫井２丁目,2289,1765,1869,3634
貫井３丁目,2781,2282,2554,4836
貫井４丁目,2201,2045,2136,4181
貫井５丁目,1398,1260,1229,2489
錦,3201,3090,3166,6256
錦１丁目,1889,1770,1843,3613
錦２丁目,1312,1320,1323,2643
氷川台,7192,6607,7072,13679
氷川台１丁目,119,104,124,228
氷川台２丁目,1423,1492,1535,3027
氷川台３丁目,2872,2495,2662,5157
氷川台４丁目,2778,2516,2751,5267
平和台,6776,6858,7036,13894
平和台１丁目,1756,1819,1756,3575
平和台２丁目,1586,1494,1572,3066
平和台３丁目,1983,2138,2193,4331
平和台４丁目,1451,1407,1515,2922
早宮,9690,9357,10049,19406
早宮１丁目,3109,2851,3076,5927
早宮２丁目,2159,2011,2174,4185
早宮３丁目,2333,2337,2523,4860
早宮４丁目,2089,2158,2276,4434
春日町,13099,12502,13551,26053
春日町１丁目,2142,2087,2254,4341
春日町２丁目,2301,2242,2362,4604
春日町３丁目,2200,1944,2203,4147
春日町４丁目,2245,2158,2296,4454
春日町５丁目,2220,2163,2367,4530
春日町６丁目,1991,1908,2069,3977
高松,8363,8935,9204,18139
高松１丁目,1509,1487,1579,3066
高松２丁目,1158,1184,1292,2476
高松３丁目,1303,1610,1678,3288
高松４丁目,1567,1726,1778,3504
高松５丁目,1362,1355,1362,2717
高松６丁目,1464,1573,1515,3088
北町,15411,13297,13293,26590
北町１丁目,2860,2268,2394,4662
北町２丁目,3306,3101,3246,6347
北町３丁目,1671,1443,1549,2992
北町４丁目,835,776,59,835
北町５丁目,1322,1195,1230,2425
北町６丁目,1602,1249,1438,2687
北町７丁目,1593,1390,1439,2829
北町８丁目,2222,1875,1938,3813
田柄,13783,14337,14853,29190
田柄１丁目,2419,2414,2597,5011
田柄２丁目,3816,3494,3675,7169
田柄３丁目,2505,2866,2803,5669
田柄４丁目,3183,3601,3664,7265
田柄５丁目,1860,1962,2114,4076
光が丘,12771,12502,14497,26999
光が丘１丁目,1578,1202,1431,2633
光が丘２丁目,2566,2346,2945,5291
光が丘３丁目,3923,4226,4658,8884
光が丘４丁目,0,0,0,0
光が丘５丁目,1617,1450,1838,3288
光が丘６丁目,483,469,579,1048
光が丘７丁目,2604,2809,3046,5855
旭町,6908,6514,6542,13056
旭町１丁目,1926,2085,2151,4236
旭町２丁目,2573,2268,2293,4561
旭町３丁目,2409,2161,2098,4259
土支田,6209,7005,7063,14068
土支田１丁目,1600,1729,1798,3527
土支田２丁目,1352,1502,1511,3013
土支田３丁目,1774,2017,2087,4104
土支田４丁目,1483,1757,1667,3424
富士見台,7972,7657,7941,15598
富士見台１丁目,1561,1532,1599,3131
富士見台２丁目,2328,2064,2144,4208
富士見台３丁目,2203,2036,2148,4184
富士見台４丁目,1880,2025,2050,4075
南田中,6440,6092,6385,12477
南田中１丁目,1239,1246,1253,2499
南田中２丁目,891,897,893,1790
南田中３丁目,1422,1252,1405,2657
南田中４丁目,1530,1584,1572,3156
南田中５丁目,1358,1113,1262,2375
高野台,7582,7263,8136,15399
高野台１丁目,1794,1588,1900,3488
高野台２丁目,1587,1602,1708,3310
高野台３丁目,1495,1379,1532,2911
高野台４丁目,1299,1258,1399,2657
高野台５丁目,1407,1436,1597,3033
谷原,5799,6544,6729,13273
谷原１丁目,947,1043,1058,2101
谷原２丁目,834,867,903,1770
谷原３丁目,847,1012,1071,2083
谷原４丁目,780,966,975,1941
谷原５丁目,1378,1515,1573,3088
谷原６丁目,1013,1141,1149,2290
三原台,4255,4634,4734,9368
三原台１丁目,1959,2111,2105,4216
三原台２丁目,882,1017,997,2014
三原台３丁目,1414,1506,1632,3138
石神井町,14957,13362,14682,28044
石神井町１丁目,1800,1423,1723,3146
石神井町２丁目,2419,2124,2443,4567
石神井町３丁目,1959,1577,1715,3292
石神井町４丁目,1776,1677,1800,3477
石神井町５丁目,936,820,882,1702
石神井町６丁目,1657,1530,1618,3148
石神井町７丁目,2160,2049,2174,4223
石神井町８丁目,2250,2162,2327,4489
石神井台,14896,14980,15960,30940
石神井台１丁目,725,795,837,1632
石神井台２丁目,2186,2302,2381,4683
石神井台３丁目,2722,2631,2775,5406
石神井台４丁目,2283,2234,2556,4790
石神井台５丁目,1770,1949,2014,3963
石神井台６丁目,1328,1412,1509,2921
石神井台７丁目,2136,1778,1915,3693
石神井台８丁目,1746,1879,1973,3852
下石神井,8854,9030,9260,18290
下石神井１丁目,1264,1349,1350,2699
下石神井２丁目,1590,1652,1727,3379
下石神井３丁目,1117,1197,1251,2448
下石神井４丁目,1980,1757,1803,3560
下石神井５丁目,1293,1297,1345,2642
下石神井６丁目,1610,1778,1784,3562
東大泉,18259,16613,18620,35233
東大泉１丁目,2464,2182,2539,4721
東大泉２丁目,3124,3066,3323,6389
東大泉３丁目,2639,2203,2617,4820
東大泉４丁目,1718,1453,1519,2972
東大泉５丁目,2088,1806,2142,3948
東大泉６丁目,3333,2952,3400,6352
東大泉７丁目,2893,2951,3080,6031
西大泉町,13,13,20,33
西大泉,9923,10732,11206,21938
西大泉１丁目,1951,2035,2039,4074
西大泉２丁目,1276,1405,1513,2918
西大泉３丁目,1711,1769,1868,3637
西大泉４丁目,1518,1794,1897,3691
西大泉５丁目,2218,2358,2475,4833
西大泉６丁目,1249,1371,1414,2785
南大泉,12646,13137,13938,27075
南大泉１丁目,2181,2331,2422,4753
南大泉２丁目,1930,2149,2293,4442
南大泉３丁目,2259,2356,2445,4801
南大泉４丁目,3092,3094,3231,6325
南大泉５丁目,2331,2267,2508,4775
南大泉６丁目,853,940,1039,1979
大泉町,10098,10951,11201,22152
大泉町１丁目,2339,2655,2671,5326
大泉町２丁目,2231,2342,2430,4772
大泉町３丁目,1738,1899,1928,3827
大泉町４丁目,1635,1873,1875,3748
大泉町５丁目,1026,1051,1090,2141
大泉町６丁目,1129,1131,1207,2338
大泉学園町,15740,16831,17656,34487
大泉学園町１丁目,1459,1516,1648,3164
大泉学園町２丁目,1986,1966,2025,3991
大泉学園町３丁目,1367,1655,1621,3276
大泉学園町４丁目,1909,2119,2238,4357
大泉学園町５丁目,2134,2353,2449,4802
大泉学園町６丁目,2307,2501,2705,5206
大泉学園町７丁目,2358,2397,2583,4980
大泉学園町８丁目,2150,2285,2356,4641
大泉学園町９丁目,70,39,31,70
関町北,11791,10503,11550,22053
関町北１丁目,2148,1644,1892,3536
関町北２丁目,2822,2159,2496,4655
関町北３丁目,2205,2038,2122,4160
関町北４丁目,2161,1987,2150,4137
関町北５丁目,2455,2675,2890,5565
関町南,9071,8850,9431,18281
関町南１丁目,1282,1182,1245,2427
関町南２丁目,2209,2092,2239,4331
関町南３丁目,2081,2110,2156,4266
関町南４丁目,3499,3466,3791,7257
上石神井南町,1069,1076,1092,2168
立野町,2443,2560,2777,5337
上石神井,10546,8859,9475,18334
上石神井１丁目,3501,2708,2855,5563
上石神井２丁目,2469,2117,2303,4420
上石神井３丁目,1920,1745,1847,3592
上石神井４丁目,2656,2289,2470,4759
関町東,3058,2605,2668,5273
関町東１丁目,2068,1849,1895,3744
関町東２丁目,990,756,773,1529
