町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,382747,358995,381440,740435
旭丘,4918,3704,3688,7392
旭丘１丁目,3388,2523,2429,4952
旭丘２丁目,1530,1181,1259,2440
小竹町,5657,4488,4964,9452
小竹町１丁目,3091,2483,2657,5140
小竹町２丁目,2566,2005,2307,4312
栄町,2599,1956,2182,4138
羽沢,3868,3200,3415,6615
羽沢１丁目,908,657,697,1354
羽沢２丁目,1962,1598,1753,3351
羽沢３丁目,998,945,965,1910
豊玉上,4400,3038,3514,6552
豊玉上１丁目,1535,1137,1219,2356
豊玉上２丁目,2865,1901,2295,4196
豊玉中,6088,5363,5315,10678
豊玉中１丁目,1377,1245,1192,2437
豊玉中２丁目,1914,1653,1555,3208
豊玉中３丁目,1934,1519,1550,3069
豊玉中４丁目,863,946,1018,1964
豊玉南,4454,4272,4343,8615
豊玉南１丁目,1254,1138,1199,2337
豊玉南２丁目,1094,958,1026,1984
豊玉南３丁目,2106,2176,2118,4294
豊玉北,12741,9460,10253,19713
豊玉北１丁目,1691,1227,1419,2646
豊玉北２丁目,1526,1187,1269,2456
豊玉北３丁目,2248,1619,1698,3317
豊玉北４丁目,2728,1994,2110,4104
豊玉北５丁目,2692,1881,2065,3946
豊玉北６丁目,1856,1552,1692,3244
中村,5050,4730,5211,9941
中村１丁目,1186,1148,1245,2393
中村２丁目,1630,1631,1748,3379
中村３丁目,2234,1951,2218,4169
中村南,5641,5317,5553,10870
中村南１丁目,2068,2092,2124,4216
中村南２丁目,2082,1805,1871,3676
中村南３丁目,1491,1420,1558,2978
中村北,6947,5508,6211,11719
中村北１丁目,2211,1799,1984,3783
中村北２丁目,1738,1543,1576,3119
中村北３丁目,1331,929,1110,2039
中村北４丁目,1667,1237,1541,2778
桜台,14482,12379,13222,25601
桜台１丁目,3306,2424,2630,5054
桜台２丁目,2683,2298,2460,4758
桜台３丁目,2491,2237,2462,4699
桜台４丁目,2192,1676,1837,3513
桜台５丁目,2022,1992,1970,3962
桜台６丁目,1788,1752,1863,3615
練馬,9133,7039,7524,14563
練馬１丁目,2763,2013,2191,4204
練馬２丁目,1780,1465,1496,2961
練馬３丁目,2368,1730,1826,3556
練馬４丁目,2222,1831,2011,3842
向山,5896,5456,5704,11160
向山１丁目,1110,871,907,1778
向山２丁目,1367,1316,1299,2615
向山３丁目,1280,1166,1277,2443
向山４丁目,2139,2103,2221,4324
貫井,11413,9714,10553,20267
貫井１丁目,2695,2357,2700,5057
貫井２丁目,2296,1771,1876,3647
貫井３丁目,2784,2263,2572,4835
貫井４丁目,2222,2063,2156,4219
貫井５丁目,1416,1260,1249,2509
錦,3192,3108,3132,6240
錦１丁目,1905,1788,1844,3632
錦２丁目,1287,1320,1288,2608
氷川台,7218,6566,7069,13635
氷川台１丁目,118,103,120,223
氷川台２丁目,1434,1485,1528,3013
氷川台３丁目,2893,2486,2680,5166
氷川台４丁目,2773,2492,2741,5233
平和台,6825,6882,7013,13895
平和台１丁目,1751,1807,1746,3553
平和台２丁目,1584,1485,1566,3051
平和台３丁目,2031,2192,2194,4386
平和台４丁目,1459,1398,1507,2905
早宮,9650,9299,10004,19303
早宮１丁目,3096,2837,3059,5896
早宮２丁目,2147,1991,2161,4152
早宮３丁目,2320,2322,2516,4838
早宮４丁目,2087,2149,2268,4417
春日町,13147,12514,13550,26064
春日町１丁目,2166,2116,2270,4386
春日町２丁目,2347,2282,2387,4669
春日町３丁目,2181,1923,2166,4089
春日町４丁目,2230,2140,2269,4409
春日町５丁目,2226,2150,2381,4531
春日町６丁目,1997,1903,2077,3980
高松,8380,8939,9235,18174
高松１丁目,1499,1487,1575,3062
高松２丁目,1186,1200,1317,2517
高松３丁目,1314,1613,1679,3292
高松４丁目,1564,1728,1773,3501
高松５丁目,1355,1343,1371,2714
高松６丁目,1462,1568,1520,3088
北町,15516,13387,13321,26708
北町１丁目,2858,2278,2395,4673
北町２丁目,3294,3049,3229,6278
北町３丁目,1699,1469,1579,3048
北町４丁目,912,853,59,912
北町５丁目,1323,1198,1224,2422
北町６丁目,1612,1262,1445,2707
北町７丁目,1594,1404,1450,2854
北町８丁目,2224,1874,1940,3814
田柄,13827,14329,14841,29170
田柄１丁目,2435,2418,2609,5027
田柄２丁目,3790,3468,3651,7119
田柄３丁目,2554,2879,2806,5685
田柄４丁目,3181,3602,3671,7273
田柄５丁目,1867,1962,2104,4066
光が丘,12767,12415,14418,26833
光が丘１丁目,1569,1184,1416,2600
光が丘２丁目,2562,2326,2930,5256
光が丘３丁目,3957,4229,4661,8890
光が丘４丁目,0,0,0,0
光が丘５丁目,1619,1452,1828,3280
光が丘６丁目,480,460,568,1028
光が丘７丁目,2580,2764,3015,5779
旭町,6886,6491,6501,12992
旭町１丁目,1930,2089,2147,4236
旭町２丁目,2547,2244,2258,4502
旭町３丁目,2409,2158,2096,4254
土支田,6258,7055,7129,14184
土支田１丁目,1602,1718,1799,3517
土支田２丁目,1365,1531,1547,3078
土支田３丁目,1798,2045,2104,4149
土支田４丁目,1493,1761,1679,3440
富士見台,7985,7655,7990,15645
富士見台１丁目,1558,1533,1620,3153
富士見台２丁目,2320,2053,2129,4182
富士見台３丁目,2236,2043,2179,4222
富士見台４丁目,1871,2026,2062,4088
南田中,6473,6095,6393,12488
南田中１丁目,1252,1254,1267,2521
南田中２丁目,913,908,914,1822
南田中３丁目,1431,1255,1401,2656
南田中４丁目,1522,1575,1557,3132
南田中５丁目,1355,1103,1254,2357
高野台,7587,7290,8149,15439
高野台１丁目,1788,1587,1898,3485
高野台２丁目,1593,1613,1726,3339
高野台３丁目,1477,1378,1508,2886
高野台４丁目,1309,1269,1418,2687
高野台５丁目,1420,1443,1599,3042
谷原,5811,6575,6752,13327
谷原１丁目,953,1047,1070,2117
谷原２丁目,835,867,902,1769
谷原３丁目,838,1010,1065,2075
谷原４丁目,790,981,981,1962
谷原５丁目,1382,1522,1583,3105
谷原６丁目,1013,1148,1151,2299
三原台,4297,4667,4763,9430
三原台１丁目,1959,2116,2101,4217
三原台２丁目,893,1030,1008,2038
三原台３丁目,1445,1521,1654,3175
石神井町,14949,13359,14646,28005
石神井町１丁目,1791,1415,1717,3132
石神井町２丁目,2415,2121,2432,4553
石神井町３丁目,1985,1593,1726,3319
石神井町４丁目,1761,1659,1788,3447
石神井町５丁目,957,833,898,1731
石神井町６丁目,1647,1529,1599,3128
石神井町７丁目,2156,2055,2185,4240
石神井町８丁目,2237,2154,2301,4455
石神井台,14963,15017,15980,30997
石神井台１丁目,720,788,835,1623
石神井台２丁目,2198,2311,2389,4700
石神井台３丁目,2713,2622,2754,5376
石神井台４丁目,2273,2222,2532,4754
石神井台５丁目,1776,1949,2011,3960
石神井台６丁目,1336,1419,1514,2933
石神井台７丁目,2176,1802,1938,3740
石神井台８丁目,1771,1904,2007,3911
下石神井,8853,8997,9254,18251
下石神井１丁目,1259,1345,1337,2682
下石神井２丁目,1569,1620,1708,3328
下石神井３丁目,1124,1187,1257,2444
下石神井４丁目,1979,1753,1807,3560
下石神井５丁目,1306,1316,1349,2665
下石神井６丁目,1616,1776,1796,3572
東大泉,18335,16634,18661,35295
東大泉１丁目,2479,2176,2550,4726
東大泉２丁目,3134,3068,3351,6419
東大泉３丁目,2647,2217,2598,4815
東大泉４丁目,1716,1427,1527,2954
東大泉５丁目,2093,1809,2136,3945
東大泉６丁目,3391,3010,3441,6451
東大泉７丁目,2875,2927,3058,5985
西大泉町,13,13,20,33
西大泉,9943,10749,11211,21960
西大泉１丁目,1951,2032,2046,4078
西大泉２丁目,1274,1400,1510,2910
西大泉３丁目,1738,1810,1890,3700
西大泉４丁目,1514,1786,1882,3668
西大泉５丁目,2211,2347,2472,4819
西大泉６丁目,1255,1374,1411,2785
南大泉,12753,13184,13979,27163
南大泉１丁目,2201,2332,2432,4764
南大泉２丁目,1930,2155,2271,4426
南大泉３丁目,2291,2389,2473,4862
南大泉４丁目,3116,3088,3245,6333
南大泉５丁目,2361,2279,2525,4804
南大泉６丁目,854,941,1033,1974
大泉町,10088,10925,11163,22088
大泉町１丁目,2336,2647,2657,5304
大泉町２丁目,2231,2326,2439,4765
大泉町３丁目,1745,1903,1922,3825
大泉町４丁目,1634,1892,1875,3767
大泉町５丁目,1019,1035,1076,2111
大泉町６丁目,1123,1122,1194,2316
大泉学園町,15724,16758,17632,34390
大泉学園町１丁目,1463,1508,1655,3163
大泉学園町２丁目,1976,1956,2018,3974
大泉学園町３丁目,1350,1621,1600,3221
大泉学園町４丁目,1913,2117,2223,4340
大泉学園町５丁目,2144,2348,2445,4793
大泉学園町６丁目,2302,2491,2709,5200
大泉学園町７丁目,2364,2411,2592,5003
大泉学園町８丁目,2142,2267,2359,4626
大泉学園町９丁目,70,39,31,70
関町北,11796,10517,11527,22044
関町北１丁目,2137,1651,1879,3530
関町北２丁目,2830,2171,2494,4665
関町北３丁目,2216,2032,2124,4156
関町北４丁目,2166,1998,2154,4152
関町北５丁目,2447,2665,2876,5541
関町南,9088,8891,9462,18353
関町南１丁目,1256,1153,1238,2391
関町南２丁目,2206,2082,2253,4335
関町南３丁目,2086,2131,2137,4268
関町南４丁目,3540,3525,3834,7359
上石神井南町,1096,1085,1105,2190
立野町,2444,2565,2769,5334
上石神井,10527,8799,9455,18254
上石神井１丁目,3491,2686,2851,5537
上石神井２丁目,2486,2107,2324,4431
上石神井３丁目,1920,1740,1839,3579
上石神井４丁目,2630,2266,2441,4707
関町東,3069,2611,2664,5275
関町東１丁目,2070,1854,1883,3737
関町東２丁目,999,757,781,1538
