町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,385213,357752,381441,739193
旭丘,4874,3638,3647,7285
旭丘１丁目,3366,2482,2404,4886
旭丘２丁目,1508,1156,1243,2399
小竹町,5755,4548,4994,9542
小竹町１丁目,3129,2492,2679,5171
小竹町２丁目,2626,2056,2315,4371
栄町,2585,1901,2187,4088
羽沢,3886,3272,3447,6719
羽沢１丁目,920,662,700,1362
羽沢２丁目,1952,1651,1788,3439
羽沢３丁目,1014,959,959,1918
豊玉上,4466,3089,3509,6598
豊玉上１丁目,1546,1131,1216,2347
豊玉上２丁目,2920,1958,2293,4251
豊玉中,6165,5390,5367,10757
豊玉中１丁目,1394,1242,1210,2452
豊玉中２丁目,1980,1686,1591,3277
豊玉中３丁目,1932,1505,1550,3055
豊玉中４丁目,859,957,1016,1973
豊玉南,4562,4339,4370,8709
豊玉南１丁目,1241,1112,1162,2274
豊玉南２丁目,1124,979,1024,2003
豊玉南３丁目,2197,2248,2184,4432
豊玉北,12629,9310,10032,19342
豊玉北１丁目,1664,1186,1392,2578
豊玉北２丁目,1573,1211,1263,2474
豊玉北３丁目,2226,1576,1659,3235
豊玉北４丁目,2685,1972,2041,4013
豊玉北５丁目,2652,1847,2008,3855
豊玉北６丁目,1829,1518,1669,3187
中村,5049,4670,5174,9844
中村１丁目,1207,1153,1235,2388
中村２丁目,1623,1608,1762,3370
中村３丁目,2219,1909,2177,4086
中村南,5781,5411,5607,11018
中村南１丁目,2055,2129,2094,4223
中村南２丁目,2191,1849,1932,3781
中村南３丁目,1535,1433,1581,3014
中村北,7003,5501,6234,11735
中村北１丁目,2182,1755,1951,3706
中村北２丁目,1735,1536,1572,3108
中村北３丁目,1362,945,1121,2066
中村北４丁目,1724,1265,1590,2855
桜台,14551,12312,13179,25491
桜台１丁目,3311,2443,2631,5074
桜台２丁目,2672,2270,2450,4720
桜台３丁目,2554,2236,2454,4690
桜台４丁目,2216,1656,1844,3500
桜台５丁目,2021,1967,1955,3922
桜台６丁目,1777,1740,1845,3585
練馬,9205,7032,7540,14572
練馬１丁目,2809,2060,2148,4208
練馬２丁目,1774,1451,1512,2963
練馬３丁目,2379,1725,1842,3567
練馬４丁目,2243,1796,2038,3834
向山,5869,5416,5621,11037
向山１丁目,1105,854,894,1748
向山２丁目,1348,1296,1285,2581
向山３丁目,1306,1198,1299,2497
向山４丁目,2110,2068,2143,4211
貫井,11794,9961,10896,20857
貫井１丁目,2727,2344,2710,5054
貫井２丁目,2463,1984,2109,4093
貫井３丁目,2970,2292,2659,4951
貫井４丁目,2199,2047,2169,4216
貫井５丁目,1435,1294,1249,2543
錦,3215,3089,3172,6261
錦１丁目,1926,1773,1868,3641
錦２丁目,1289,1316,1304,2620
氷川台,7257,6506,7058,13564
氷川台１丁目,120,102,121,223
氷川台２丁目,1397,1482,1493,2975
氷川台３丁目,2928,2465,2686,5151
氷川台４丁目,2812,2457,2758,5215
平和台,6907,6859,7012,13871
平和台１丁目,1740,1819,1731,3550
平和台２丁目,1620,1468,1581,3049
平和台３丁目,2023,2134,2195,4329
平和台４丁目,1524,1438,1505,2943
早宮,9659,9204,9948,19152
早宮１丁目,3049,2772,2983,5755
早宮２丁目,2193,1982,2160,4142
早宮３丁目,2317,2327,2500,4827
早宮４丁目,2100,2123,2305,4428
春日町,13437,12650,13774,26424
春日町１丁目,2336,2264,2419,4683
春日町２丁目,2373,2259,2353,4612
春日町３丁目,2197,1903,2162,4065
春日町４丁目,2226,2136,2259,4395
春日町５丁目,2221,2103,2371,4474
春日町６丁目,2084,1985,2210,4195
高松,8439,8820,9182,18002
高松１丁目,1475,1423,1533,2956
高松２丁目,1264,1245,1344,2589
高松３丁目,1288,1564,1653,3217
高松４丁目,1571,1697,1725,3422
高松５丁目,1395,1354,1391,2745
高松６丁目,1446,1537,1536,3073
北町,15634,13370,13493,26863
北町１丁目,2926,2293,2392,4685
北町２丁目,3358,3093,3345,6438
北町３丁目,1875,1603,1706,3309
北町４丁目,751,687,64,751
北町５丁目,1342,1200,1233,2433
北町６丁目,1616,1284,1431,2715
北町７丁目,1596,1385,1441,2826
北町８丁目,2170,1825,1881,3706
田柄,13916,14174,14779,28953
田柄１丁目,2464,2406,2565,4971
田柄２丁目,3802,3430,3612,7042
田柄３丁目,2494,2779,2746,5525
田柄４丁目,3212,3572,3709,7281
田柄５丁目,1944,1987,2147,4134
光が丘,12750,12261,14246,26507
光が丘１丁目,1572,1149,1415,2564
光が丘２丁目,2571,2317,2892,5209
光が丘３丁目,3967,4203,4622,8825
光が丘４丁目,0,0,0,0
光が丘５丁目,1600,1415,1796,3211
光が丘６丁目,477,460,561,1021
光が丘７丁目,2563,2717,2960,5677
旭町,6914,6485,6513,12998
旭町１丁目,1942,2099,2169,4268
旭町２丁目,2574,2271,2256,4527
旭町３丁目,2398,2115,2088,4203
土支田,6344,7089,7227,14316
土支田１丁目,1639,1752,1850,3602
土支田２丁目,1383,1557,1569,3126
土支田３丁目,1831,2081,2132,4213
土支田４丁目,1491,1699,1676,3375
富士見台,7939,7515,7973,15488
富士見台１丁目,1514,1495,1625,3120
富士見台２丁目,2306,2021,2107,4128
富士見台３丁目,2263,2020,2184,4204
富士見台４丁目,1856,1979,2057,4036
南田中,6452,6046,6329,12375
南田中１丁目,1242,1249,1269,2518
南田中２丁目,930,913,925,1838
南田中３丁目,1437,1255,1372,2627
南田中４丁目,1509,1554,1539,3093
南田中５丁目,1334,1075,1224,2299
高野台,7706,7275,8143,15418
高野台１丁目,1797,1578,1906,3484
高野台２丁目,1629,1613,1732,3345
高野台３丁目,1540,1395,1523,2918
高野台４丁目,1301,1239,1382,2621
高野台５丁目,1439,1450,1600,3050
谷原,5897,6637,6816,13453
谷原１丁目,990,1076,1098,2174
谷原２丁目,863,866,911,1777
谷原３丁目,853,1015,1063,2078
谷原４丁目,793,980,972,1952
谷原５丁目,1401,1568,1650,3218
谷原６丁目,997,1132,1122,2254
三原台,4295,4654,4737,9391
三原台１丁目,1932,2078,2073,4151
三原台２丁目,934,1082,1057,2139
三原台３丁目,1429,1494,1607,3101
石神井町,15051,13336,14646,27982
石神井町１丁目,1777,1402,1682,3084
石神井町２丁目,2516,2196,2515,4711
石神井町３丁目,1963,1580,1701,3281
石神井町４丁目,1772,1630,1788,3418
石神井町５丁目,982,834,895,1729
石神井町６丁目,1646,1518,1606,3124
石神井町７丁目,2161,2040,2169,4209
石神井町８丁目,2234,2136,2290,4426
石神井台,15037,14970,15949,30919
石神井台１丁目,701,772,816,1588
石神井台２丁目,2201,2282,2359,4641
石神井台３丁目,2774,2658,2785,5443
石神井台４丁目,2232,2166,2480,4646
石神井台５丁目,1770,1935,2007,3942
石神井台６丁目,1364,1448,1534,2982
石神井台７丁目,2221,1808,1970,3778
石神井台８丁目,1774,1901,1998,3899
下石神井,8921,8908,9218,18126
下石神井１丁目,1319,1342,1417,2759
下石神井２丁目,1566,1595,1693,3288
下石神井３丁目,1110,1182,1219,2401
下石神井４丁目,1982,1735,1783,3518
下石神井５丁目,1325,1324,1343,2667
下石神井６丁目,1619,1730,1763,3493
東大泉,18303,16535,18599,35134
東大泉１丁目,2470,2115,2561,4676
東大泉２丁目,3082,3039,3323,6362
東大泉３丁目,2667,2238,2586,4824
東大泉４丁目,1687,1394,1496,2890
東大泉５丁目,2126,1834,2169,4003
東大泉６丁目,3390,3007,3440,6447
東大泉７丁目,2881,2908,3024,5932
西大泉町,14,12,21,33
西大泉,10033,10759,11277,22036
西大泉１丁目,1923,1971,2043,4014
西大泉２丁目,1295,1407,1497,2904
西大泉３丁目,1750,1809,1929,3738
西大泉４丁目,1561,1846,1914,3760
西大泉５丁目,2197,2307,2461,4768
西大泉６丁目,1307,1419,1433,2852
南大泉,12767,13074,13849,26923
南大泉１丁目,2217,2333,2441,4774
南大泉２丁目,1945,2140,2244,4384
南大泉３丁目,2281,2348,2474,4822
南大泉４丁目,3139,3116,3226,6342
南大泉５丁目,2338,2224,2459,4683
南大泉６丁目,847,913,1005,1918
大泉町,10068,10754,11025,21779
大泉町１丁目,2323,2610,2623,5233
大泉町２丁目,2171,2272,2357,4629
大泉町３丁目,1734,1851,1879,3730
大泉町４丁目,1680,1879,1893,3772
大泉町５丁目,1005,1015,1060,2075
大泉町６丁目,1155,1127,1213,2340
大泉学園町,15779,16655,17551,34206
大泉学園町１丁目,1446,1508,1626,3134
大泉学園町２丁目,1973,1956,2027,3983
大泉学園町３丁目,1356,1618,1589,3207
大泉学園町４丁目,1907,2079,2191,4270
大泉学園町５丁目,2152,2315,2444,4759
大泉学園町６丁目,2321,2487,2700,5187
大泉学園町７丁目,2391,2393,2606,4999
大泉学園町８丁目,2166,2262,2338,4600
大泉学園町９丁目,67,37,30,67
関町北,11888,10451,11553,22004
関町北１丁目,2176,1670,1882,3552
関町北２丁目,2884,2155,2535,4690
関町北３丁目,2186,1996,2113,4109
関町北４丁目,2186,1999,2196,4195
関町北５丁目,2456,2631,2827,5458
関町南,9156,8872,9588,18460
関町南１丁目,1314,1142,1285,2427
関町南２丁目,2186,2060,2216,4276
関町南３丁目,2063,2087,2149,4236
関町南４丁目,3593,3583,3938,7521
上石神井南町,1111,1073,1134,2207
立野町,2432,2536,2739,5275
上石神井,10651,8796,9442,18238
上石神井１丁目,3513,2634,2810,5444
上石神井２丁目,2484,2066,2305,4371
上石神井３丁目,1976,1789,1854,3643
上石神井４丁目,2678,2307,2473,4780
関町東,3067,2597,2644,5241
関町東１丁目,2045,1845,1860,3705
関町東２丁目,1022,752,784,1536
