町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,388682,358137,382320,740457
旭丘,4926,3654,3676,7330
旭丘１丁目,3397,2490,2430,4920
旭丘２丁目,1529,1164,1246,2410
小竹町,5835,4578,5018,9596
小竹町１丁目,3138,2506,2672,5178
小竹町２丁目,2697,2072,2346,4418
栄町,2657,1939,2210,4149
羽沢,3913,3289,3466,6755
羽沢１丁目,930,676,703,1379
羽沢２丁目,1967,1653,1788,3441
羽沢３丁目,1016,960,975,1935
豊玉上,4531,3137,3506,6643
豊玉上１丁目,1532,1123,1200,2323
豊玉上２丁目,2999,2014,2306,4320
豊玉中,6325,5409,5454,10863
豊玉中１丁目,1448,1256,1241,2497
豊玉中２丁目,2049,1705,1638,3343
豊玉中３丁目,1971,1513,1572,3085
豊玉中４丁目,857,935,1003,1938
豊玉南,4655,4409,4446,8855
豊玉南１丁目,1256,1107,1174,2281
豊玉南２丁目,1151,1009,1054,2063
豊玉南３丁目,2248,2293,2218,4511
豊玉北,12777,9365,10088,19453
豊玉北１丁目,1695,1202,1416,2618
豊玉北２丁目,1590,1211,1268,2479
豊玉北３丁目,2275,1591,1698,3289
豊玉北４丁目,2713,1987,2055,4042
豊玉北５丁目,2672,1846,2000,3846
豊玉北６丁目,1832,1528,1651,3179
中村,5118,4714,5186,9900
中村１丁目,1224,1159,1249,2408
中村２丁目,1665,1638,1778,3416
中村３丁目,2229,1917,2159,4076
中村南,5865,5429,5648,11077
中村南１丁目,2083,2137,2096,4233
中村南２丁目,2239,1861,1961,3822
中村南３丁目,1543,1431,1591,3022
中村北,7033,5451,6205,11656
中村北１丁目,2199,1749,1925,3674
中村北２丁目,1719,1505,1562,3067
中村北３丁目,1375,946,1118,2064
中村北４丁目,1740,1251,1600,2851
桜台,14644,12327,13167,25494
桜台１丁目,3393,2464,2700,5164
桜台２丁目,2650,2251,2392,4643
桜台３丁目,2541,2214,2442,4656
桜台４丁目,2257,1696,1840,3536
桜台５丁目,2027,1949,1956,3905
桜台６丁目,1776,1753,1837,3590
練馬,9276,7019,7603,14622
練馬１丁目,2847,2083,2158,4241
練馬２丁目,1777,1440,1540,2980
練馬３丁目,2388,1721,1848,3569
練馬４丁目,2264,1775,2057,3832
向山,5908,5422,5580,11002
向山１丁目,1126,865,900,1765
向山２丁目,1344,1284,1264,2548
向山３丁目,1295,1188,1292,2480
向山４丁目,2143,2085,2124,4209
貫井,11917,10052,10978,21030
貫井１丁目,2753,2344,2708,5052
貫井２丁目,2479,2012,2117,4129
貫井３丁目,3039,2354,2734,5088
貫井４丁目,2203,2038,2169,4207
貫井５丁目,1443,1304,1250,2554
錦,3264,3113,3179,6292
錦１丁目,1942,1799,1871,3670
錦２丁目,1322,1314,1308,2622
氷川台,7363,6502,7135,13637
氷川台１丁目,119,101,118,219
氷川台２丁目,1399,1470,1500,2970
氷川台３丁目,2978,2459,2726,5185
氷川台４丁目,2867,2472,2791,5263
平和台,6926,6823,7007,13830
平和台１丁目,1700,1775,1725,3500
平和台２丁目,1628,1479,1578,3057
平和台３丁目,2030,2120,2187,4307
平和台４丁目,1568,1449,1517,2966
早宮,9819,9248,10047,19295
早宮１丁目,3110,2789,3018,5807
早宮２丁目,2188,1961,2173,4134
早宮３丁目,2377,2361,2545,4906
早宮４丁目,2144,2137,2311,4448
春日町,13722,12715,13935,26650
春日町１丁目,2364,2272,2426,4698
春日町２丁目,2424,2250,2393,4643
春日町３丁目,2289,1965,2246,4211
春日町４丁目,2274,2162,2279,4441
春日町５丁目,2264,2095,2373,4468
春日町６丁目,2107,1971,2218,4189
高松,8546,8813,9132,17945
高松１丁目,1505,1425,1536,2961
高松２丁目,1275,1241,1347,2588
高松３丁目,1290,1528,1635,3163
高松４丁目,1598,1712,1715,3427
高松５丁目,1415,1347,1392,2739
高松６丁目,1463,1560,1507,3067
北町,15918,13542,13672,27214
北町１丁目,3055,2377,2513,4890
北町２丁目,3393,3125,3349,6474
北町３丁目,1894,1600,1722,3322
北町４丁目,778,716,62,778
北町５丁目,1356,1204,1235,2439
北町６丁目,1621,1291,1432,2723
北町７丁目,1637,1406,1476,2882
北町８丁目,2184,1823,1883,3706
田柄,13936,14078,14685,28763
田柄１丁目,2475,2404,2541,4945
田柄２丁目,3822,3419,3641,7060
田柄３丁目,2458,2717,2692,5409
田柄４丁目,3242,3569,3683,7252
田柄５丁目,1939,1969,2128,4097
光が丘,12760,12156,14193,26349
光が丘１丁目,1568,1142,1393,2535
光が丘２丁目,2578,2295,2901,5196
光が丘３丁目,3979,4182,4615,8797
光が丘４丁目,0,0,0,0
光が丘５丁目,1600,1403,1785,3188
光が丘６丁目,473,451,557,1008
光が丘７丁目,2562,2683,2942,5625
旭町,6976,6478,6526,13004
旭町１丁目,1944,2085,2162,4247
旭町２丁目,2627,2283,2284,4567
旭町３丁目,2405,2110,2080,4190
土支田,6397,7101,7227,14328
土支田１丁目,1652,1756,1846,3602
土支田２丁目,1427,1562,1590,3152
土支田３丁目,1835,2100,2119,4219
土支田４丁目,1483,1683,1672,3355
富士見台,8034,7542,7972,15514
富士見台１丁目,1536,1495,1611,3106
富士見台２丁目,2329,2024,2097,4121
富士見台３丁目,2303,2038,2202,4240
富士見台４丁目,1866,1985,2062,4047
南田中,6461,6016,6267,12283
南田中１丁目,1244,1238,1260,2498
南田中２丁目,935,915,909,1824
南田中３丁目,1418,1229,1343,2572
南田中４丁目,1533,1570,1530,3100
南田中５丁目,1331,1064,1225,2289
高野台,7768,7296,8153,15449
高野台１丁目,1826,1580,1931,3511
高野台２丁目,1649,1621,1727,3348
高野台３丁目,1549,1403,1525,2928
高野台４丁目,1294,1234,1378,2612
高野台５丁目,1450,1458,1592,3050
谷原,5948,6632,6839,13471
谷原１丁目,993,1072,1084,2156
谷原２丁目,879,853,934,1787
谷原３丁目,857,1008,1061,2069
谷原４丁目,803,998,980,1978
谷原５丁目,1412,1576,1657,3233
谷原６丁目,1004,1125,1123,2248
三原台,4324,4664,4752,9416
三原台１丁目,1954,2079,2083,4162
三原台２丁目,928,1073,1059,2132
三原台３丁目,1442,1512,1610,3122
石神井町,15180,13337,14781,28118
石神井町１丁目,1833,1425,1722,3147
石神井町２丁目,2522,2180,2532,4712
石神井町３丁目,2000,1566,1748,3314
石神井町４丁目,1787,1640,1787,3427
石神井町５丁目,990,839,907,1746
石神井町６丁目,1655,1517,1619,3136
石神井町７丁目,2152,2027,2176,4203
石神井町８丁目,2241,2143,2290,4433
石神井台,15065,14880,15916,30796
石神井台１丁目,722,783,830,1613
石神井台２丁目,2219,2278,2371,4649
石神井台３丁目,2769,2616,2772,5388
石神井台４丁目,2254,2163,2477,4640
石神井台５丁目,1758,1925,2007,3932
石神井台６丁目,1385,1452,1553,3005
石神井台７丁目,2193,1788,1924,3712
石神井台８丁目,1765,1875,1982,3857
下石神井,8937,8904,9170,18074
下石神井１丁目,1289,1353,1373,2726
下石神井２丁目,1599,1623,1703,3326
下石神井３丁目,1127,1183,1221,2404
下石神井４丁目,1983,1730,1763,3493
下石神井５丁目,1307,1277,1328,2605
下石神井６丁目,1632,1738,1782,3520
東大泉,18439,16620,18749,35369
東大泉１丁目,2539,2206,2652,4858
東大泉２丁目,3062,3040,3309,6349
東大泉３丁目,2669,2219,2611,4830
東大泉４丁目,1711,1400,1519,2919
東大泉５丁目,2168,1873,2211,4084
東大泉６丁目,3410,2980,3439,6419
東大泉７丁目,2880,2902,3008,5910
西大泉町,15,13,20,33
西大泉,10065,10733,11247,21980
西大泉１丁目,1951,1983,2047,4030
西大泉２丁目,1284,1397,1493,2890
西大泉３丁目,1772,1821,1949,3770
西大泉４丁目,1566,1831,1909,3740
西大泉５丁目,2202,2288,2435,4723
西大泉６丁目,1290,1413,1414,2827
南大泉,12824,13026,13841,26867
南大泉１丁目,2235,2330,2452,4782
南大泉２丁目,1952,2147,2229,4376
南大泉３丁目,2281,2343,2462,4805
南大泉４丁目,3141,3062,3214,6276
南大泉５丁目,2349,2229,2458,4687
南大泉６丁目,866,915,1026,1941
大泉町,10100,10676,10985,21661
大泉町１丁目,2339,2606,2595,5201
大泉町２丁目,2184,2257,2345,4602
大泉町３丁目,1730,1827,1875,3702
大泉町４丁目,1675,1853,1903,3756
大泉町５丁目,1007,1010,1052,2062
大泉町６丁目,1165,1123,1215,2338
大泉学園町,15772,16546,17489,34035
大泉学園町１丁目,1444,1503,1624,3127
大泉学園町２丁目,1967,1946,2008,3954
大泉学園町３丁目,1354,1603,1584,3187
大泉学園町４丁目,1900,2041,2172,4213
大泉学園町５丁目,2174,2303,2461,4764
大泉学園町６丁目,2325,2487,2692,5179
大泉学園町７丁目,2378,2382,2581,4963
大泉学園町８丁目,2161,2242,2337,4579
大泉学園町９丁目,69,39,30,69
関町北,12003,10512,11555,22067
関町北１丁目,2208,1672,1889,3561
関町北２丁目,2917,2187,2537,4724
関町北３丁目,2203,2018,2116,4134
関町北４丁目,2200,1997,2206,4203
関町北５丁目,2475,2638,2807,5445
関町南,9288,8906,9645,18551
関町南１丁目,1348,1152,1319,2471
関町南２丁目,2199,2082,2211,4293
関町南３丁目,2089,2085,2163,4248
関町南４丁目,3652,3587,3952,7539
上石神井南町,1115,1072,1134,2206
立野町,2438,2532,2727,5259
上石神井,10789,8842,9459,18301
上石神井１丁目,3540,2663,2783,5446
上石神井２丁目,2524,2065,2316,4381
上石神井３丁目,2003,1781,1876,3657
上石神井４丁目,2722,2333,2484,4817
関町東,3110,2625,2650,5275
関町東１丁目,2067,1865,1868,3733
関町東２丁目,1043,760,782,1542
