町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,373661,356983,377706,734689
旭丘,4798,3654,3628,7282
旭丘１丁目,3269,2446,2362,4808
旭丘２丁目,1529,1208,1266,2474
小竹町,5612,4531,4937,9468
小竹町１丁目,3023,2495,2646,5141
小竹町２丁目,2589,2036,2291,4327
栄町,2438,1886,2080,3966
羽沢,3817,3214,3377,6591
羽沢１丁目,900,649,698,1347
羽沢２丁目,1918,1633,1710,3343
羽沢３丁目,999,932,969,1901
豊玉上,4356,3074,3483,6557
豊玉上１丁目,1512,1151,1188,2339
豊玉上２丁目,2844,1923,2295,4218
豊玉中,5947,5318,5254,10572
豊玉中１丁目,1342,1205,1166,2371
豊玉中２丁目,1839,1627,1500,3127
豊玉中３丁目,1880,1532,1566,3098
豊玉中４丁目,886,954,1022,1976
豊玉南,4434,4301,4317,8618
豊玉南１丁目,1233,1151,1219,2370
豊玉南２丁目,1098,986,1007,1993
豊玉南３丁目,2103,2164,2091,4255
豊玉北,12241,9260,10005,19265
豊玉北１丁目,1664,1206,1413,2619
豊玉北２丁目,1502,1144,1291,2435
豊玉北３丁目,2051,1554,1575,3129
豊玉北４丁目,2633,1948,2062,4010
豊玉北５丁目,2571,1840,1991,3831
豊玉北６丁目,1820,1568,1673,3241
中村,5012,4782,5164,9946
中村１丁目,1219,1207,1293,2500
中村２丁目,1563,1591,1672,3263
中村３丁目,2230,1984,2199,4183
中村南,5555,5261,5507,10768
中村南１丁目,1987,2041,2093,4134
中村南２丁目,2062,1809,1834,3643
中村南３丁目,1506,1411,1580,2991
中村北,6856,5528,6185,11713
中村北１丁目,2168,1807,1966,3773
中村北２丁目,1675,1495,1547,3042
中村北３丁目,1305,926,1096,2022
中村北４丁目,1708,1300,1576,2876
桜台,14125,12300,13084,25384
桜台１丁目,3249,2470,2614,5084
桜台２丁目,2623,2287,2419,4706
桜台３丁目,2440,2282,2456,4738
桜台４丁目,2068,1616,1769,3385
桜台５丁目,1994,1964,1973,3937
桜台６丁目,1751,1681,1853,3534
練馬,8894,6999,7392,14391
練馬１丁目,2629,1989,2075,4064
練馬２丁目,1792,1481,1511,2992
練馬３丁目,2296,1727,1799,3526
練馬４丁目,2177,1802,2007,3809
向山,5744,5361,5552,10913
向山１丁目,1126,880,890,1770
向山２丁目,1308,1275,1262,2537
向山３丁目,1256,1167,1279,2446
向山４丁目,2054,2039,2121,4160
貫井,11060,9761,10235,19996
貫井１丁目,2703,2409,2704,5113
貫井２丁目,2090,1704,1741,3445
貫井３丁目,2708,2341,2466,4807
貫井４丁目,2196,2104,2175,4279
貫井５丁目,1363,1203,1149,2352
錦,3060,3020,3135,6155
錦１丁目,1790,1734,1839,3573
錦２丁目,1270,1286,1296,2582
氷川台,7064,6591,6953,13544
氷川台１丁目,123,110,133,243
氷川台２丁目,1384,1491,1466,2957
氷川台３丁目,2818,2510,2621,5131
氷川台４丁目,2739,2480,2733,5213
平和台,6601,6775,6922,13697
平和台１丁目,1749,1811,1787,3598
平和台２丁目,1561,1499,1594,3093
平和台３丁目,2004,2135,2176,4311
平和台４丁目,1287,1330,1365,2695
早宮,9460,9260,9962,19222
早宮１丁目,3042,2876,3086,5962
早宮２丁目,2112,2010,2110,4120
早宮３丁目,2265,2274,2498,4772
早宮４丁目,2041,2100,2268,4368
春日町,12743,12251,13411,25662
春日町１丁目,2110,2079,2275,4354
春日町２丁目,2231,2214,2355,4569
春日町３丁目,2165,1914,2191,4105
春日町４丁目,2227,2181,2304,4485
春日町５丁目,2189,2123,2362,4485
春日町６丁目,1821,1740,1924,3664
高松,8126,8901,9056,17957
高松１丁目,1487,1492,1556,3048
高松２丁目,1150,1206,1304,2510
高松３丁目,1253,1564,1632,3196
高松４丁目,1494,1725,1738,3463
高松５丁目,1324,1350,1349,2699
高松６丁目,1418,1564,1477,3041
北町,14830,13027,12764,25791
北町１丁目,2740,2223,2304,4527
北町２丁目,3225,3080,3149,6229
北町３丁目,1537,1325,1362,2687
北町４丁目,823,766,57,823
北町５丁目,1283,1194,1197,2391
北町６丁目,1523,1199,1381,2580
北町７丁目,1555,1394,1453,2847
北町８丁目,2144,1846,1861,3707
田柄,13532,14498,14861,29359
田柄１丁目,2445,2451,2633,5084
田柄２丁目,3688,3475,3633,7108
田柄３丁目,2432,2908,2839,5747
田柄４丁目,3109,3627,3650,7277
田柄５丁目,1858,2037,2106,4143
光が丘,12714,12788,14701,27489
光が丘１丁目,1546,1235,1424,2659
光が丘２丁目,2608,2495,3096,5591
光が丘３丁目,3945,4294,4708,9002
光が丘４丁目,0,0,0,0
光が丘５丁目,1602,1500,1847,3347
光が丘６丁目,470,472,580,1052
光が丘７丁目,2543,2792,3046,5838
旭町,6691,6381,6514,12895
旭町１丁目,1875,2041,2148,4189
旭町２丁目,2580,2289,2313,4602
旭町３丁目,2236,2051,2053,4104
土支田,6046,6898,6931,13829
土支田１丁目,1597,1774,1805,3579
土支田２丁目,1271,1427,1441,2868
土支田３丁目,1752,2011,2080,4091
土支田４丁目,1426,1686,1605,3291
富士見台,7827,7579,7982,15561
富士見台１丁目,1543,1524,1622,3146
富士見台２丁目,2292,2068,2147,4215
富士見台３丁目,2151,1982,2164,4146
富士見台４丁目,1841,2005,2049,4054
南田中,6411,6105,6472,12577
南田中１丁目,1219,1247,1275,2522
南田中２丁目,837,865,870,1735
南田中３丁目,1431,1266,1437,2703
南田中４丁目,1568,1613,1585,3198
南田中５丁目,1356,1114,1305,2419
高野台,7268,7048,7905,14953
高野台１丁目,1747,1607,1912,3519
高野台２丁目,1474,1499,1610,3109
高野台３丁目,1473,1382,1552,2934
高野台４丁目,1203,1150,1311,2461
高野台５丁目,1371,1410,1520,2930
谷原,5598,6403,6579,12982
谷原１丁目,939,1047,1036,2083
谷原２丁目,823,860,906,1766
谷原３丁目,834,981,1055,2036
谷原４丁目,757,990,955,1945
谷原５丁目,1265,1380,1464,2844
谷原６丁目,980,1145,1163,2308
三原台,4134,4606,4677,9283
三原台１丁目,1919,2088,2073,4161
三原台２丁目,864,1027,1012,2039
三原台３丁目,1351,1491,1592,3083
石神井町,14698,13266,14663,27929
石神井町１丁目,1784,1422,1741,3163
石神井町２丁目,2366,2095,2426,4521
石神井町３丁目,1932,1562,1725,3287
石神井町４丁目,1738,1641,1792,3433
石神井町５丁目,925,876,887,1763
石神井町６丁目,1594,1471,1600,3071
石神井町７丁目,2110,2037,2149,4186
石神井町８丁目,2249,2162,2343,4505
石神井台,14656,14938,15853,30791
石神井台１丁目,729,799,836,1635
石神井台２丁目,2167,2332,2378,4710
石神井台３丁目,2701,2649,2817,5466
石神井台４丁目,2153,2082,2398,4480
石神井台５丁目,1757,1966,2006,3972
石神井台６丁目,1344,1467,1543,3010
石神井台７丁目,2109,1792,1909,3701
石神井台８丁目,1696,1851,1966,3817
下石神井,8805,9040,9273,18313
下石神井１丁目,1287,1362,1368,2730
下石神井２丁目,1590,1668,1733,3401
下石神井３丁目,1107,1187,1244,2431
下石神井４丁目,1957,1730,1821,3551
下石神井５丁目,1276,1303,1341,2644
下石神井６丁目,1588,1790,1766,3556
東大泉,17775,16339,18251,34590
東大泉１丁目,2420,2233,2528,4761
東大泉２丁目,2986,2909,3176,6085
東大泉３丁目,2616,2167,2620,4787
東大泉４丁目,1636,1382,1464,2846
東大泉５丁目,1997,1741,2041,3782
東大泉６丁目,3303,2958,3402,6360
東大泉７丁目,2817,2949,3020,5969
西大泉町,12,12,19,31
西大泉,9818,10833,11242,22075
西大泉１丁目,1913,2032,2021,4053
西大泉２丁目,1283,1442,1535,2977
西大泉３丁目,1684,1797,1871,3668
西大泉４丁目,1477,1766,1842,3608
西大泉５丁目,2207,2365,2522,4887
西大泉６丁目,1254,1431,1451,2882
南大泉,12358,13187,13805,26992
南大泉１丁目,2128,2306,2421,4727
南大泉２丁目,1906,2187,2290,4477
南大泉３丁目,2242,2368,2466,4834
南大泉４丁目,3017,3087,3174,6261
南大泉５丁目,2236,2298,2448,4746
南大泉６丁目,829,941,1006,1947
大泉町,9987,11045,11346,22391
大泉町１丁目,2272,2666,2686,5352
大泉町２丁目,2164,2304,2422,4726
大泉町３丁目,1717,1926,1959,3885
大泉町４丁目,1655,1906,1926,3832
大泉町５丁目,1043,1088,1117,2205
大泉町６丁目,1136,1155,1236,2391
大泉学園町,15429,16769,17650,34419
大泉学園町１丁目,1453,1516,1628,3144
大泉学園町２丁目,1885,1923,2030,3953
大泉学園町３丁目,1316,1623,1578,3201
大泉学園町４丁目,1866,2116,2251,4367
大泉学園町５丁目,2071,2338,2435,4773
大泉学園町６丁目,2267,2486,2665,5151
大泉学園町７丁目,2344,2420,2627,5047
大泉学園町８丁目,2153,2307,2402,4709
大泉学園町９丁目,74,40,34,74
関町北,11474,10486,11514,22000
関町北１丁目,2025,1610,1857,3467
関町北２丁目,2744,2149,2481,4630
関町北３丁目,2162,2023,2129,4152
関町北４丁目,2125,2002,2136,4138
関町北５丁目,2418,2702,2911,5613
関町南,8645,8490,8986,17476
関町南１丁目,1341,1225,1309,2534
関町南２丁目,2135,2063,2195,4258
関町南３丁目,2017,2059,2081,4140
関町南４丁目,3152,3143,3401,6544
上石神井南町,1068,1081,1116,2197
立野町,2387,2514,2710,5224
上石神井,10613,9071,9653,18724
上石神井１丁目,3408,2627,2780,5407
上石神井２丁目,2318,2055,2211,4266
上石神井３丁目,2288,2098,2238,4336
上石神井４丁目,2599,2291,2424,4715
関町東,2942,2551,2600,5151
関町東１丁目,2023,1832,1855,3687
関町東２丁目,919,719,745,1464
