町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5160,4220,3993,8213
方南2丁目,3138,2499,2738,5237
和泉1丁目,3959,2956,2867,5823
和泉2丁目,4329,3740,3676,7416
和泉3丁目,3802,3087,3477,6564
和泉4丁目,4895,4201,4467,8668
下高井戸1丁目,3322,2172,2405,4577
下高井戸2丁目,1960,1470,1538,3008
下高井戸3丁目,2134,1890,1992,3882
下高井戸4丁目,2968,2665,2800,5465
下高井戸5丁目,1651,1461,1585,3046
永福1丁目,1938,1589,1683,3272
永福2丁目,2472,2236,2553,4789
永福3丁目,2362,1915,2115,4030
永福4丁目,2151,1733,1941,3674
浜田山1丁目,2031,1808,2108,3916
浜田山2丁目,1373,1205,1371,2576
浜田山3丁目,2404,1978,2453,4431
浜田山4丁目,2934,2682,3189,5871
和田1丁目,5418,4291,4684,8975
和田2丁目,2454,2044,2161,4205
和田3丁目,4073,3175,3360,6535
堀ノ内1丁目,2545,2073,2264,4337
堀ノ内2丁目,4089,3703,3813,7516
堀ノ内3丁目,4438,3485,3654,7139
松ノ木1丁目,814,846,735,1581
松ノ木2丁目,1480,1321,1437,2758
松ノ木3丁目,1879,1498,1542,3040
大宮1丁目,1201,1018,1030,2048
大宮2丁目,850,697,837,1534
梅里1丁目,2243,1584,1662,3246
梅里2丁目,3306,2397,2694,5091
高円寺南1丁目,4427,3231,3184,6415
高円寺南2丁目,5052,3420,3650,7070
高円寺南3丁目,5128,3833,3691,7524
高円寺南4丁目,2951,2059,2081,4140
高円寺南5丁目,4172,3398,3144,6542
高円寺北1丁目,1581,1311,1194,2505
高円寺北2丁目,3095,2226,2025,4251
高円寺北3丁目,4027,2999,2743,5742
高円寺北4丁目,2314,1780,1745,3525
阿佐谷南1丁目,4853,3778,3977,7755
阿佐谷南2丁目,2453,1791,1782,3573
阿佐谷南3丁目,5085,3681,4094,7775
阿佐谷北1丁目,3006,2195,2418,4613
阿佐谷北2丁目,2884,2130,2263,4393
阿佐谷北3丁目,2443,1944,2058,4002
阿佐谷北4丁目,2499,2010,2117,4127
阿佐谷北5丁目,2206,1887,1996,3883
阿佐谷北6丁目,1820,1657,1737,3394
天沼1丁目,2466,2135,1907,4042
天沼2丁目,3113,2587,2684,5271
天沼3丁目,3940,2951,3129,6080
本天沼1丁目,1828,1619,1566,3185
本天沼2丁目,2466,2323,2296,4619
本天沼3丁目,1866,1846,1945,3791
成田西1丁目,1309,1336,1450,2786
成田西2丁目,1416,1507,1575,3082
成田西3丁目,996,1093,1150,2243
成田西4丁目,442,462,466,928
成田東1丁目,2452,2237,2371,4608
成田東2丁目,1703,1873,1953,3826
成田東3丁目,1876,1642,1675,3317
成田東4丁目,3056,2697,3035,5732
成田東5丁目,3530,2736,3144,5880
荻窪1丁目,2639,2654,2773,5427
荻窪2丁目,2165,1913,2090,4003
荻窪3丁目,3706,3399,3647,7046
荻窪4丁目,2626,1921,2335,4256
荻窪5丁目,3107,2236,2635,4871
南荻窪1丁目,1904,1839,1995,3834
南荻窪2丁目,1893,1954,2050,4004
南荻窪3丁目,1653,1462,1565,3027
南荻窪4丁目,1975,1636,1819,3455
上荻1丁目,1143,768,912,1680
上荻2丁目,3150,2483,2484,4967
上荻3丁目,1749,1646,1772,3418
上荻4丁目,2007,1643,1846,3489
西荻南1丁目,1403,1165,1351,2516
西荻南2丁目,2590,1697,2218,3915
西荻南3丁目,1586,1131,1338,2469
西荻南4丁目,1647,1357,1601,2958
西荻北1丁目,1423,1187,1209,2396
西荻北2丁目,2473,1941,2434,4375
西荻北3丁目,3069,2149,2681,4830
西荻北4丁目,2350,1733,2011,3744
西荻北5丁目,1124,931,1047,1978
今川1丁目,1142,1141,1251,2392
今川2丁目,859,967,982,1949
今川3丁目,1412,1379,1479,2858
今川4丁目,1150,1172,1235,2407
清水1丁目,1922,1508,1763,3271
清水2丁目,968,928,1039,1967
清水3丁目,1792,1745,1828,3573
桃井1丁目,2193,1895,2020,3915
桃井2丁目,1314,1248,1434,2682
桃井3丁目,1214,1237,1442,2679
桃井4丁目,1448,1246,1315,2561
井草1丁目,2560,2210,2436,4646
井草2丁目,2982,2884,3107,5991
井草3丁目,1590,1222,1384,2606
井草4丁目,1227,950,1023,1973
井草5丁目,1139,990,1010,2000
下井草1丁目,1894,1615,1667,3282
下井草2丁目,2173,1968,2152,4120
下井草3丁目,2621,2272,2508,4780
下井草4丁目,2030,1799,1948,3747
下井草5丁目,1480,1180,1296,2476
上井草1丁目,1942,1681,1894,3575
上井草2丁目,2711,2504,2650,5154
上井草3丁目,1945,2029,2088,4117
上井草4丁目,1362,1420,1556,2976
善福寺1丁目,2019,1901,2170,4071
善福寺2丁目,1937,1761,2072,3833
善福寺3丁目,991,971,1091,2062
善福寺4丁目,1049,1125,1201,2326
松庵1丁目,1861,1739,2016,3755
松庵2丁目,1442,1211,1443,2654
松庵3丁目,2726,2020,2362,4382
宮前1丁目,961,844,916,1760
宮前2丁目,1654,1709,1873,3582
宮前3丁目,2593,2521,2632,5153
宮前4丁目,2333,2198,2369,4567
宮前5丁目,2064,1917,2089,4006
久我山1丁目,913,726,862,1588
久我山2丁目,1410,1228,1423,2651
久我山3丁目,2997,2393,2815,5208
久我山4丁目,2648,2374,2797,5171
久我山5丁目,2996,2537,2972,5509
高井戸東1丁目,1818,1787,2015,3802
高井戸東2丁目,2191,1830,2056,3886
高井戸東3丁目,3858,3464,3999,7463
高井戸東4丁目,2609,2310,2556,4866
高井戸西1丁目,3531,2352,3237,5589
高井戸西2丁目,1564,1410,1714,3124
高井戸西3丁目,1371,1314,1385,2699
上高井戸1丁目,4142,2893,3488,6381
上高井戸2丁目,1788,1686,1882,3568
上高井戸3丁目,1276,1088,1091,2179
