町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5104,4181,3976,8157
方南2丁目,3159,2508,2753,5261
和泉1丁目,3974,2958,2871,5829
和泉2丁目,4265,3708,3639,7347
和泉3丁目,3781,3098,3443,6541
和泉4丁目,4891,4197,4476,8673
下高井戸1丁目,3339,2186,2399,4585
下高井戸2丁目,1952,1468,1532,3000
下高井戸3丁目,2113,1877,1975,3852
下高井戸4丁目,3063,2676,2870,5546
下高井戸5丁目,1637,1445,1580,3025
永福1丁目,1850,1548,1637,3185
永福2丁目,2471,2256,2546,4802
永福3丁目,2345,1882,2097,3979
永福4丁目,2162,1736,1929,3665
浜田山1丁目,2039,1824,2104,3928
浜田山2丁目,1365,1191,1370,2561
浜田山3丁目,2423,1981,2470,4451
浜田山4丁目,2909,2660,3180,5840
和田1丁目,5390,4292,4655,8947
和田2丁目,2495,2055,2194,4249
和田3丁目,4045,3164,3332,6496
堀ノ内1丁目,2521,2058,2244,4302
堀ノ内2丁目,4077,3695,3800,7495
堀ノ内3丁目,4431,3466,3658,7124
松ノ木1丁目,816,846,742,1588
松ノ木2丁目,1486,1320,1435,2755
松ノ木3丁目,1878,1501,1539,3040
大宮1丁目,1175,996,1022,2018
大宮2丁目,845,691,831,1522
梅里1丁目,2216,1557,1644,3201
梅里2丁目,3304,2406,2685,5091
高円寺南1丁目,4408,3211,3171,6382
高円寺南2丁目,5088,3423,3674,7097
高円寺南3丁目,5113,3837,3657,7494
高円寺南4丁目,2957,2059,2074,4133
高円寺南5丁目,4175,3405,3149,6554
高円寺北1丁目,1592,1319,1207,2526
高円寺北2丁目,3088,2227,2030,4257
高円寺北3丁目,4058,3034,2750,5784
高円寺北4丁目,2353,1807,1757,3564
阿佐谷南1丁目,4864,3805,3987,7792
阿佐谷南2丁目,2447,1788,1778,3566
阿佐谷南3丁目,5095,3671,4097,7768
阿佐谷北1丁目,3001,2194,2416,4610
阿佐谷北2丁目,2910,2161,2254,4415
阿佐谷北3丁目,2431,1955,2049,4004
阿佐谷北4丁目,2492,2005,2122,4127
阿佐谷北5丁目,2221,1898,2000,3898
阿佐谷北6丁目,1825,1659,1731,3390
天沼1丁目,2444,2117,1886,4003
天沼2丁目,3124,2581,2685,5266
天沼3丁目,3975,2961,3150,6111
本天沼1丁目,1824,1614,1570,3184
本天沼2丁目,2448,2307,2277,4584
本天沼3丁目,1867,1846,1939,3785
成田西1丁目,1298,1337,1448,2785
成田西2丁目,1423,1508,1576,3084
成田西3丁目,992,1093,1148,2241
成田西4丁目,441,464,468,932
成田東1丁目,2452,2233,2368,4601
成田東2丁目,1698,1860,1938,3798
成田東3丁目,1865,1636,1684,3320
成田東4丁目,3053,2687,3034,5721
成田東5丁目,3512,2722,3124,5846
荻窪1丁目,2636,2645,2769,5414
荻窪2丁目,2162,1913,2095,4008
荻窪3丁目,3718,3418,3651,7069
荻窪4丁目,2667,1944,2352,4296
荻窪5丁目,3086,2203,2629,4832
南荻窪1丁目,1911,1845,1994,3839
南荻窪2丁目,1914,1962,2049,4011
南荻窪3丁目,1658,1479,1572,3051
南荻窪4丁目,1990,1637,1835,3472
上荻1丁目,1153,771,922,1693
上荻2丁目,3158,2495,2488,4983
上荻3丁目,1756,1666,1784,3450
上荻4丁目,1990,1627,1838,3465
西荻南1丁目,1407,1163,1338,2501
西荻南2丁目,2585,1697,2222,3919
西荻南3丁目,1598,1147,1342,2489
西荻南4丁目,1635,1358,1587,2945
西荻北1丁目,1418,1186,1205,2391
西荻北2丁目,2475,1940,2430,4370
西荻北3丁目,3056,2137,2668,4805
西荻北4丁目,2361,1716,2032,3748
西荻北5丁目,1123,927,1044,1971
今川1丁目,1143,1140,1252,2392
今川2丁目,861,959,982,1941
今川3丁目,1412,1376,1477,2853
今川4丁目,1158,1175,1241,2416
清水1丁目,1901,1501,1760,3261
清水2丁目,964,923,1031,1954
清水3丁目,1779,1733,1818,3551
桃井1丁目,2202,1909,2016,3925
桃井2丁目,1307,1247,1425,2672
桃井3丁目,1217,1247,1455,2702
桃井4丁目,1450,1248,1318,2566
井草1丁目,2571,2215,2435,4650
井草2丁目,2981,2876,3114,5990
井草3丁目,1607,1248,1387,2635
井草4丁目,1235,959,1026,1985
井草5丁目,1152,1001,1022,2023
下井草1丁目,1882,1606,1664,3270
下井草2丁目,2180,1968,2151,4119
下井草3丁目,2608,2268,2495,4763
下井草4丁目,2026,1799,1941,3740
下井草5丁目,1466,1170,1293,2463
上井草1丁目,1928,1673,1882,3555
上井草2丁目,2715,2509,2643,5152
上井草3丁目,1939,2040,2071,4111
上井草4丁目,1364,1415,1564,2979
善福寺1丁目,2009,1893,2160,4053
善福寺2丁目,1909,1743,2039,3782
善福寺3丁目,990,972,1091,2063
善福寺4丁目,1053,1130,1199,2329
松庵1丁目,1869,1752,2029,3781
松庵2丁目,1462,1218,1455,2673
松庵3丁目,2705,2004,2349,4353
宮前1丁目,953,838,914,1752
宮前2丁目,1661,1717,1876,3593
宮前3丁目,2601,2544,2631,5175
宮前4丁目,2326,2189,2370,4559
宮前5丁目,2060,1917,2084,4001
久我山1丁目,907,724,855,1579
久我山2丁目,1419,1244,1435,2679
久我山3丁目,3008,2402,2813,5215
久我山4丁目,2642,2363,2795,5158
久我山5丁目,3004,2551,2980,5531
高井戸東1丁目,1812,1780,2010,3790
高井戸東2丁目,2199,1836,2060,3896
高井戸東3丁目,3836,3452,3992,7444
高井戸東4丁目,2582,2318,2542,4860
高井戸西1丁目,3520,2338,3226,5564
高井戸西2丁目,1544,1402,1690,3092
高井戸西3丁目,1359,1309,1368,2677
上高井戸1丁目,4155,2913,3510,6423
上高井戸2丁目,1817,1711,1905,3616
上高井戸3丁目,1270,1092,1082,2174
