年齢,男[人],女[人],総数[人]
0歳,1235,1165,2400
1歳,1099,1019,2118
2歳,1033,1023,2056
3歳,965,936,1901
4歳,933,888,1821
5歳,970,881,1851
6歳,917,825,1742
7歳,895,863,1758
8歳,928,867,1795
9歳,849,851,1700
10歳,860,768,1628
11歳,840,823,1663
12歳,858,872,1730
13歳,887,811,1698
14歳,889,877,1766
15歳,843,836,1679
16歳,939,856,1795
17歳,922,824,1746
18歳,961,894,1855
19歳,1032,879,1911
20歳,1046,982,2028
21歳,1046,1032,2078
22歳,1186,1168,2354
23歳,1443,1439,2882
24歳,1529,1577,3106
25歳,1745,1759,3504
26歳,1900,1899,3799
27歳,2064,1966,4030
28歳,2137,2096,4233
29歳,2175,2159,4334
30歳,2374,2154,4528
31歳,2347,2257,4604
32歳,2366,2138,4504
33歳,2293,2088,4381
34歳,2258,2104,4362
35歳,2195,2020,4215
36歳,2263,2174,4437
37歳,2262,2144,4406
38歳,2345,2079,4424
39歳,2243,2162,4405
40歳,2379,2066,4445
41歳,2441,2270,4711
42歳,2535,2333,4868
43歳,2342,2175,4517
44歳,2337,2257,4594
45歳,2241,2098,4339
46歳,2195,2085,4280
47歳,2151,1981,4132
48歳,2078,1963,4041
49歳,1625,1585,3210
50歳,1980,1758,3738
51歳,1838,1698,3536
52歳,1703,1607,3310
53歳,1559,1422,2981
54歳,1522,1457,2979
55歳,1509,1420,2929
56歳,1534,1313,2847
57歳,1365,1348,2713
58歳,1346,1230,2576
59歳,1365,1350,2715
60歳,1417,1300,2717
61歳,1418,1377,2795
62歳,1543,1426,2969
63歳,1643,1459,3102
64歳,1647,1536,3183
65歳,1805,1674,3479
66歳,1987,1803,3790
67歳,1963,1827,3790
68歳,1883,1807,3690
69歳,1077,1150,2227
70歳,1114,1251,2365
71歳,1449,1578,3027
72歳,1348,1599,2947
73歳,1402,1594,2996
74歳,1309,1616,2925
75歳,1184,1484,2668
76歳,979,1238,2217
77歳,969,1318,2287
78歳,1079,1234,2313
79歳,998,1304,2302
80歳,926,1243,2169
81歳,771,1118,1889
82歳,666,1034,1700
83歳,564,949,1513
84歳,545,927,1472
85歳,452,804,1256
86歳,350,750,1100
87歳,317,670,987
88歳,257,571,828
89歳,229,556,785
90歳,170,465,635
91歳,136,364,500
92歳,93,300,393
93歳,64,258,322
94歳,54,211,265
95歳,47,171,218
96歳,22,107,129
97歳,15,89,104
98歳,9,68,77
99歳,6,45,51
100歳,5,24,29
101歳,2,15,17
102歳,3,14,17
103歳,1,6,7
104歳以上,0,3,3
合計,130035,130908,260943
