年齢,男[人],女[人],総数[人]
0歳,1262,1185,2447
1歳,1146,1151,2297
2歳,1123,1092,2215
3歳,1028,1008,2036
4歳,954,954,1908
5歳,994,919,1913
6歳,931,822,1753
7歳,918,874,1792
8歳,958,848,1806
9歳,897,848,1745
10歳,860,841,1701
11歳,914,857,1771
12歳,831,799,1630
13歳,832,801,1633
14歳,873,854,1727
15歳,885,867,1752
16歳,893,901,1794
17歳,865,858,1723
18歳,967,939,1906
19歳,1082,960,2042
20歳,1151,1037,2188
21歳,1130,1153,2283
22歳,1309,1318,2627
23歳,1631,1709,3340
24歳,1759,1817,3576
25歳,1906,1976,3882
26歳,2089,2136,4225
27歳,2038,2197,4235
28歳,2275,2270,4545
29歳,2316,2281,4597
30歳,2321,2261,4582
31歳,2344,2242,4586
32歳,2350,2222,4572
33歳,2417,2298,4715
34歳,2358,2227,4585
35歳,2372,2183,4555
36歳,2336,2144,4480
37歳,2196,2041,4237
38歳,2195,2110,4305
39歳,2285,2177,4462
40歳,2317,2110,4427
41歳,2206,2100,4306
42歳,2280,2107,4387
43歳,2400,2241,4641
44歳,2457,2342,4799
45歳,2440,2240,4680
46歳,2301,2272,4573
47歳,2270,2142,4412
48歳,2184,2112,4296
49歳,2240,2094,4334
50歳,2147,1982,4129
51歳,1759,1639,3398
52歳,1940,1761,3701
53歳,1916,1696,3612
54歳,1723,1651,3374
55歳,1595,1480,3075
56歳,1541,1450,2991
57歳,1538,1442,2980
58歳,1405,1321,2726
59歳,1467,1260,2727
60歳,1289,1300,2589
61歳,1326,1224,2550
62歳,1285,1301,2586
63歳,1412,1334,2746
64歳,1393,1400,2793
65歳,1544,1393,2937
66歳,1493,1418,2911
67歳,1605,1534,3139
68歳,1800,1786,3586
69歳,1862,1705,3567
70歳,1957,1853,3810
71歳,1387,1491,2878
72歳,888,1076,1964
73歳,1126,1345,2471
74歳,1343,1530,2873
75歳,1233,1552,2785
76歳,1283,1558,2841
77歳,1130,1452,2582
78歳,950,1315,2265
79歳,867,1164,2031
80歳,895,1264,2159
81歳,885,1168,2053
82歳,848,1195,2043
83歳,699,1111,1810
84歳,568,933,1501
85歳,508,894,1402
86歳,429,819,1248
87歳,352,727,1079
88歳,305,662,967
89歳,240,600,840
90歳,185,445,630
91歳,166,428,594
92歳,129,367,496
93歳,89,263,352
94歳,58,214,272
95歳,45,156,201
96歳,24,137,161
97歳,18,109,127
98歳,18,73,91
99歳,6,43,49
100歳,3,30,33
101歳,3,24,27
102歳,3,16,19
103歳,0,7,7
104歳以上,2,12,14
合計,133768,136047,269815
