年齢,男[人],女[人],総数[人]
0歳,1214,1143,2357
1歳,1213,1174,2387
2歳,1089,1061,2150
3歳,1083,1081,2164
4歳,979,943,1922
5歳,962,966,1928
6歳,954,875,1829
7歳,900,832,1732
8歳,953,874,1827
9歳,910,799,1709
10歳,889,849,1738
11歳,921,869,1790
12歳,853,844,1697
13歳,858,764,1622
14歳,840,839,1679
15歳,860,887,1747
16歳,897,838,1735
17歳,892,890,1782
18歳,938,938,1876
19歳,1092,974,2066
20歳,1138,1038,2176
21歳,1185,1144,2329
22歳,1291,1287,2578
23歳,1587,1620,3207
24歳,1732,1821,3553
25歳,1933,2042,3975
26歳,2172,2147,4319
27歳,2101,2233,4334
28歳,2266,2326,4592
29歳,2278,2294,4572
30歳,2296,2318,4614
31歳,2442,2224,4666
32歳,2285,2307,4592
33歳,2393,2222,4615
34歳,2401,2280,4681
35歳,2411,2221,4632
36歳,2284,2138,4422
37歳,2275,2103,4378
38歳,2235,2031,4266
39歳,2239,2195,4434
40歳,2241,2126,4367
41歳,2311,2096,4407
42歳,2223,2155,4378
43歳,2355,2099,4454
44歳,2441,2318,4759
45歳,2509,2362,4871
46歳,2368,2237,4605
47歳,2334,2258,4592
48歳,2204,2068,4272
49歳,2191,2116,4307
50歳,2168,1978,4146
51歳,2049,1976,4025
52歳,1652,1610,3262
53歳,2015,1720,3735
54歳,1825,1690,3515
55歳,1694,1582,3276
56歳,1556,1409,2965
57歳,1505,1447,2952
58歳,1465,1384,2849
59歳,1470,1285,2755
60歳,1337,1310,2647
61歳,1276,1207,2483
62歳,1310,1319,2629
63歳,1345,1270,2615
64歳,1348,1338,2686
65歳,1453,1392,2845
66歳,1566,1420,2986
67歳,1516,1494,3010
68歳,1690,1633,3323
69歳,1853,1746,3599
70歳,1834,1777,3611
71歳,1728,1744,3472
72歳,984,1129,2113
73歳,1019,1210,2229
74歳,1316,1521,2837
75歳,1216,1542,2758
76歳,1272,1529,2801
77歳,1184,1545,2729
78歳,1031,1380,2411
79歳,854,1155,2009
80歳,838,1232,2070
81歳,901,1151,2052
82歳,822,1202,2024
83歳,751,1119,1870
84歳,604,993,1597
85歳,491,901,1392
86歳,422,796,1218
87歳,392,775,1167
88歳,320,638,958
89歳,226,586,812
90歳,201,496,697
91歳,161,422,583
92歳,143,367,510
93歳,90,290,380
94歳,71,201,272
95歳,35,155,190
96歳,27,148,175
97歳,14,98,112
98歳,18,77,95
99歳,7,38,45
100歳,4,28,32
101歳,3,21,24
102歳,3,17,20
103歳,0,7,7
104歳以上,2,13,15
合計,134495,136779,271274
