年齢,男[人],女[人],総数[人]
0歳,1062,1064,2126
1歳,1070,1007,2077
2歳,1055,981,2036
3歳,1044,978,2022
4歳,1030,1034,2064
5歳,955,975,1930
6歳,1019,984,2003
7歳,907,872,1779
8歳,913,932,1845
9歳,935,859,1794
10歳,883,806,1689
11歳,944,851,1795
12歳,902,811,1713
13歳,872,852,1724
14歳,912,867,1779
15歳,856,851,1707
16歳,868,763,1631
17歳,842,839,1681
18歳,874,903,1777
19歳,993,893,1886
20歳,1058,984,2042
21歳,1057,1088,2145
22歳,1320,1299,2619
23歳,1656,1756,3412
24歳,1923,1984,3907
25歳,2095,2226,4321
26歳,2310,2423,4733
27歳,2448,2482,4930
28歳,2491,2483,4974
29歳,2573,2445,5018
30歳,2482,2459,4941
31歳,2366,2447,4813
32歳,2257,2285,4542
33歳,2298,2224,4522
34歳,2328,2203,4531
35歳,2226,2204,4430
36歳,2249,2170,4419
37歳,2315,2197,4512
38歳,2311,2183,4494
39歳,2138,2086,4224
40歳,2164,2014,4178
41歳,2157,1989,4146
42歳,2230,2130,4360
43歳,2200,2086,4286
44歳,2302,2085,4387
45歳,2139,2135,4274
46歳,2332,2118,4450
47歳,2395,2292,4687
48歳,2480,2358,4838
49歳,2326,2218,4544
50歳,2295,2215,4510
51歳,2213,2051,4264
52歳,2154,2078,4232
53歳,2140,1957,4097
54歳,2021,1967,3988
55歳,1617,1567,3184
56歳,1914,1714,3628
57歳,1787,1665,3452
58歳,1656,1531,3187
59歳,1508,1376,2884
60歳,1442,1413,2855
61歳,1421,1349,2770
62歳,1403,1227,2630
63歳,1258,1254,2512
64歳,1212,1175,2387
65歳,1244,1265,2509
66歳,1249,1217,2466
67歳,1260,1293,2553
68歳,1354,1348,2702
69歳,1463,1360,2823
70歳,1420,1434,2854
71歳,1536,1566,3102
72歳,1714,1690,3404
73歳,1662,1700,3362
74歳,1579,1673,3252
75歳,889,1073,1962
76歳,921,1166,2087
77歳,1160,1438,2598
78歳,1043,1433,2476
79歳,1100,1440,2540
80歳,1037,1448,2485
81歳,877,1275,2152
82歳,697,1054,1751
83歳,694,1093,1787
84歳,738,1009,1747
85歳,650,1057,1707
86歳,558,992,1550
87歳,445,827,1272
88歳,356,737,1093
89歳,269,625,894
90歳,246,580,826
91歳,203,459,662
92歳,132,397,529
93歳,102,326,428
94歳,85,272,357
95歳,70,205,275
96歳,42,148,190
97歳,29,96,125
98歳,16,69,85
99歳,9,60,69
100歳,4,37,41
101歳,4,23,27
102歳,1,13,14
103歳,2,7,9
104歳以上,1,16,17
合計,136464,139635,276099
