町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,874,711,711,1422
両国二丁目,1233,1006,976,1982
両国三丁目,1099,816,893,1709
両国四丁目,1170,928,917,1845
千歳一丁目,851,718,750,1468
千歳二丁目,562,503,432,935
千歳三丁目,1200,966,994,1960
緑一丁目,1636,1447,1340,2787
緑二丁目,1664,1574,1644,3218
緑三丁目,1301,1204,1136,2340
緑四丁目,2330,2012,1857,3869
立川一丁目,724,570,571,1141
立川二丁目,824,676,642,1318
立川三丁目,883,757,771,1528
立川四丁目,836,688,635,1323
菊川一丁目,820,741,791,1532
菊川二丁目,1226,1014,1088,2102
菊川三丁目,2026,1739,1849,3588
江東橋一丁目,908,707,715,1422
江東橋二丁目,1356,1162,1053,2215
江東橋三丁目,529,375,310,685
江東橋四丁目,1677,1175,1331,2506
江東橋五丁目,1629,1462,1529,2991
横網一丁目,130,149,139,288
横網二丁目,724,607,582,1189
亀沢一丁目,1144,1011,987,1998
亀沢二丁目,879,789,879,1668
亀沢三丁目,953,979,917,1896
亀沢四丁目,1388,1255,1229,2484
石原一丁目,1482,1245,1265,2510
石原二丁目,1260,1151,1158,2309
石原三丁目,1614,1506,1272,2778
石原四丁目,1415,1360,1263,2623
本所一丁目,1505,1425,1413,2838
本所二丁目,852,792,834,1626
本所三丁目,945,886,885,1771
本所四丁目,1216,1146,1113,2259
東駒形一丁目,771,621,625,1246
東駒形二丁目,853,789,776,1565
東駒形三丁目,821,723,720,1443
東駒形四丁目,1379,1215,1184,2399
吾妻橋一丁目,1228,982,1051,2033
吾妻橋二丁目,833,673,667,1340
吾妻橋三丁目,850,774,846,1620
錦糸一丁目,1295,1000,966,1966
錦糸二丁目,447,364,326,690
錦糸三丁目,468,371,373,744
錦糸四丁目,992,871,898,1769
太平一丁目,1806,1735,1684,3419
太平二丁目,988,818,727,1545
太平三丁目,688,561,558,1119
太平四丁目,2526,2306,2461,4767
横川一丁目,729,791,687,1478
横川二丁目,857,736,639,1375
横川三丁目,651,588,545,1133
横川四丁目,729,670,609,1279
横川五丁目,1377,1249,1543,2792
業平一丁目,1458,1384,1518,2902
業平二丁目,814,712,633,1345
業平三丁目,832,669,672,1341
業平四丁目,1120,936,983,1919
業平五丁目,1121,1037,1138,2175
向島一丁目,1220,1073,1018,2091
向島二丁目,1372,1215,1255,2470
向島三丁目,2099,1876,1827,3703
向島四丁目,1293,1283,1305,2588
向島五丁目,2320,2066,1998,4064
東向島一丁目,1658,1527,1490,3017
東向島二丁目,2648,2372,2476,4848
東向島三丁目,1614,1627,1720,3347
東向島四丁目,1846,1681,1767,3448
東向島五丁目,1971,1831,1934,3765
東向島六丁目,2686,2594,2614,5208
堤通一丁目,1106,1237,1138,2375
堤通二丁目,2094,1974,2443,4417
墨田一丁目,1239,1400,1519,2919
墨田二丁目,1935,1967,1895,3862
墨田三丁目,1858,1824,1761,3585
墨田四丁目,2443,2351,2517,4868
墨田五丁目,1520,1455,1390,2845
押上一丁目,1262,1058,1135,2193
押上二丁目,2017,1837,1989,3826
押上三丁目,2154,2098,1976,4074
京島一丁目,3203,3080,3283,6363
京島二丁目,988,956,872,1828
京島三丁目,2390,2235,2173,4408
文花一丁目,2914,2631,3144,5775
文花二丁目,1139,1105,1121,2226
文花三丁目,1186,1345,1352,2697
八広一丁目,1729,1720,1615,3335
八広二丁目,1997,2073,2020,4093
八広三丁目,1775,1740,1692,3432
八広四丁目,1972,2046,1969,4015
八広五丁目,1523,1473,1474,2947
八広六丁目,1973,2012,1934,3946
立花一丁目,3336,3058,3196,6254
立花二丁目,846,779,749,1528
立花三丁目,1432,1350,1382,2732
立花四丁目,1785,1874,1805,3679
立花五丁目,1816,2040,1981,4021
立花六丁目,1165,1165,1251,2416
東墨田一丁目,81,92,68,160
東墨田二丁目,676,663,585,1248
東墨田三丁目,397,425,375,800
