町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,874,706,715,1421
両国二丁目,1239,1014,984,1998
両国三丁目,1103,818,899,1717
両国四丁目,1170,927,914,1841
千歳一丁目,848,716,748,1464
千歳二丁目,561,503,428,931
千歳三丁目,1204,968,999,1967
緑一丁目,1631,1452,1339,2791
緑二丁目,1670,1583,1645,3228
緑三丁目,1304,1208,1136,2344
緑四丁目,2302,1999,1831,3830
立川一丁目,725,568,571,1139
立川二丁目,830,681,648,1329
立川三丁目,910,770,786,1556
立川四丁目,828,684,632,1316
菊川一丁目,822,741,796,1537
菊川二丁目,1224,1013,1087,2100
菊川三丁目,2024,1742,1843,3585
江東橋一丁目,911,709,719,1428
江東橋二丁目,1341,1154,1046,2200
江東橋三丁目,537,373,319,692
江東橋四丁目,1729,1214,1389,2603
江東橋五丁目,1629,1444,1529,2973
横網一丁目,129,148,140,288
横網二丁目,721,604,578,1182
亀沢一丁目,1149,1010,1001,2011
亀沢二丁目,883,795,876,1671
亀沢三丁目,950,978,916,1894
亀沢四丁目,1391,1258,1226,2484
石原一丁目,1484,1243,1257,2500
石原二丁目,1283,1171,1158,2329
石原三丁目,1617,1503,1271,2774
石原四丁目,1408,1361,1262,2623
本所一丁目,1499,1422,1409,2831
本所二丁目,858,794,835,1629
本所三丁目,978,892,920,1812
本所四丁目,1218,1147,1111,2258
東駒形一丁目,767,621,624,1245
東駒形二丁目,856,790,773,1563
東駒形三丁目,823,727,719,1446
東駒形四丁目,1376,1216,1179,2395
吾妻橋一丁目,1236,980,1063,2043
吾妻橋二丁目,832,674,666,1340
吾妻橋三丁目,845,776,839,1615
錦糸一丁目,1295,999,967,1966
錦糸二丁目,446,364,328,692
錦糸三丁目,460,366,370,736
錦糸四丁目,992,873,896,1769
太平一丁目,1816,1741,1687,3428
太平二丁目,991,820,729,1549
太平三丁目,690,561,559,1120
太平四丁目,2538,2318,2457,4775
横川一丁目,725,787,690,1477
横川二丁目,869,740,647,1387
横川三丁目,653,589,545,1134
横川四丁目,743,678,613,1291
横川五丁目,1375,1248,1547,2795
業平一丁目,1462,1387,1518,2905
業平二丁目,814,708,638,1346
業平三丁目,832,668,671,1339
業平四丁目,1116,934,977,1911
業平五丁目,1112,1033,1141,2174
向島一丁目,1215,1061,1022,2083
向島二丁目,1375,1216,1262,2478
向島三丁目,2109,1885,1832,3717
向島四丁目,1294,1285,1309,2594
向島五丁目,2328,2069,1997,4066
東向島一丁目,1662,1532,1492,3024
東向島二丁目,2657,2375,2479,4854
東向島三丁目,1608,1618,1715,3333
東向島四丁目,1854,1682,1764,3446
東向島五丁目,1982,1840,1940,3780
東向島六丁目,2680,2585,2619,5204
堤通一丁目,1106,1239,1141,2380
堤通二丁目,2098,1970,2450,4420
墨田一丁目,1229,1386,1505,2891
墨田二丁目,1938,1970,1896,3866
墨田三丁目,1855,1828,1764,3592
墨田四丁目,2435,2345,2511,4856
墨田五丁目,1515,1453,1390,2843
押上一丁目,1260,1055,1135,2190
押上二丁目,2009,1835,1978,3813
押上三丁目,2157,2097,1978,4075
京島一丁目,3202,3066,3276,6342
京島二丁目,985,956,874,1830
京島三丁目,2385,2236,2165,4401
文花一丁目,2906,2632,3144,5776
文花二丁目,1139,1106,1118,2224
文花三丁目,1182,1343,1351,2694
八広一丁目,1744,1727,1626,3353
八広二丁目,1997,2071,2021,4092
八広三丁目,1777,1745,1696,3441
八広四丁目,1974,2043,1961,4004
八広五丁目,1521,1475,1466,2941
八広六丁目,1986,2024,1936,3960
立花一丁目,3328,3057,3189,6246
立花二丁目,874,797,754,1551
立花三丁目,1430,1353,1380,2733
立花四丁目,1786,1880,1802,3682
立花五丁目,1813,2037,1981,4018
立花六丁目,1160,1163,1251,2414
東墨田一丁目,80,92,67,159
東墨田二丁目,675,661,585,1246
東墨田三丁目,398,427,373,800
