町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,921,713,729,1442
両国二丁目,1249,1025,998,2023
両国三丁目,1191,868,956,1824
両国四丁目,1203,945,964,1909
千歳一丁目,882,741,768,1509
千歳二丁目,576,502,455,957
千歳三丁目,1241,1002,1030,2032
緑一丁目,1687,1476,1346,2822
緑二丁目,1715,1619,1710,3329
緑三丁目,1452,1347,1253,2600
緑四丁目,2426,2050,1929,3979
立川一丁目,828,606,637,1243
立川二丁目,854,703,655,1358
立川三丁目,986,834,832,1666
立川四丁目,885,730,652,1382
菊川一丁目,847,757,816,1573
菊川二丁目,1323,1060,1139,2199
菊川三丁目,2067,1765,1899,3664
江東橋一丁目,932,715,733,1448
江東橋二丁目,1358,1153,1087,2240
江東橋三丁目,565,405,332,737
江東橋四丁目,1735,1246,1358,2604
江東橋五丁目,1664,1484,1515,2999
横網一丁目,138,162,151,313
横網二丁目,726,610,606,1216
亀沢一丁目,1228,1048,1063,2111
亀沢二丁目,944,833,933,1766
亀沢三丁目,973,998,930,1928
亀沢四丁目,1404,1256,1254,2510
石原一丁目,1491,1243,1258,2501
石原二丁目,1305,1176,1157,2333
石原三丁目,1612,1484,1290,2774
石原四丁目,1428,1344,1290,2634
本所一丁目,1613,1492,1472,2964
本所二丁目,895,804,839,1643
本所三丁目,1025,915,933,1848
本所四丁目,1246,1147,1121,2268
東駒形一丁目,741,598,607,1205
東駒形二丁目,854,782,758,1540
東駒形三丁目,845,743,723,1466
東駒形四丁目,1386,1210,1199,2409
吾妻橋一丁目,1283,1009,1082,2091
吾妻橋二丁目,855,673,691,1364
吾妻橋三丁目,846,791,835,1626
錦糸一丁目,1308,978,984,1962
錦糸二丁目,443,362,323,685
錦糸三丁目,463,375,356,731
錦糸四丁目,980,864,907,1771
太平一丁目,1822,1722,1733,3455
太平二丁目,943,766,706,1472
太平三丁目,788,639,642,1281
太平四丁目,2607,2351,2484,4835
横川一丁目,757,823,715,1538
横川二丁目,868,752,656,1408
横川三丁目,637,579,545,1124
横川四丁目,774,692,620,1312
横川五丁目,1372,1217,1552,2769
業平一丁目,1499,1403,1560,2963
業平二丁目,799,683,651,1334
業平三丁目,870,672,691,1363
業平四丁目,1132,917,996,1913
業平五丁目,1150,1080,1172,2252
向島一丁目,1263,1087,1070,2157
向島二丁目,1388,1214,1281,2495
向島三丁目,2212,1959,1935,3894
向島四丁目,1301,1280,1324,2604
向島五丁目,2348,2051,2009,4060
東向島一丁目,1643,1520,1499,3019
東向島二丁目,2720,2413,2517,4930
東向島三丁目,1636,1610,1703,3313
東向島四丁目,1901,1708,1753,3461
東向島五丁目,2068,1859,1991,3850
東向島六丁目,2802,2651,2691,5342
堤通一丁目,1140,1239,1157,2396
堤通二丁目,2068,1929,2395,4324
墨田一丁目,1282,1412,1513,2925
墨田二丁目,2011,2003,1938,3941
墨田三丁目,1899,1835,1809,3644
墨田四丁目,2463,2353,2493,4846
墨田五丁目,1515,1431,1384,2815
押上一丁目,1308,1068,1169,2237
押上二丁目,2075,1866,2026,3892
押上三丁目,2246,2196,2079,4275
京島一丁目,3571,3384,3632,7016
京島二丁目,989,960,850,1810
京島三丁目,2370,2201,2118,4319
文花一丁目,2937,2605,3158,5763
文花二丁目,1181,1112,1132,2244
文花三丁目,1189,1357,1357,2714
八広一丁目,1763,1711,1625,3336
八広二丁目,2017,2072,2036,4108
八広三丁目,1778,1753,1682,3435
八広四丁目,2059,2104,2046,4150
八広五丁目,1572,1469,1459,2928
八広六丁目,2024,2037,1935,3972
立花一丁目,3343,3034,3206,6240
立花二丁目,886,778,751,1529
立花三丁目,1429,1352,1387,2739
立花四丁目,1791,1856,1807,3663
立花五丁目,1842,2081,2018,4099
立花六丁目,1165,1129,1245,2374
東墨田一丁目,84,98,63,161
東墨田二丁目,701,690,621,1311
東墨田三丁目,399,428,389,817
