町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1005,746,777,1523
両国二丁目,1331,1056,1059,2115
両国三丁目,1192,886,955,1841
両国四丁目,1253,961,993,1954
千歳一丁目,957,808,806,1614
千歳二丁目,567,497,462,959
千歳三丁目,1378,1163,1181,2344
緑一丁目,1786,1535,1422,2957
緑二丁目,1701,1595,1677,3272
緑三丁目,1542,1400,1312,2712
緑四丁目,2578,2191,2095,4286
立川一丁目,874,630,690,1320
立川二丁目,860,689,677,1366
立川三丁目,1000,833,840,1673
立川四丁目,907,736,687,1423
菊川一丁目,892,783,843,1626
菊川二丁目,1324,1050,1141,2191
菊川三丁目,2180,1834,1974,3808
江東橋一丁目,936,711,743,1454
江東橋二丁目,1384,1163,1093,2256
江東橋三丁目,564,420,308,728
江東橋四丁目,1744,1233,1389,2622
江東橋五丁目,1655,1508,1505,3013
横網一丁目,135,157,141,298
横網二丁目,717,609,608,1217
亀沢一丁目,1234,1060,1079,2139
亀沢二丁目,957,841,954,1795
亀沢三丁目,1004,1027,975,2002
亀沢四丁目,1479,1315,1287,2602
石原一丁目,1526,1251,1253,2504
石原二丁目,1388,1243,1217,2460
石原三丁目,1659,1523,1340,2863
石原四丁目,1449,1351,1284,2635
本所一丁目,1637,1509,1484,2993
本所二丁目,909,800,849,1649
本所三丁目,1050,926,944,1870
本所四丁目,1319,1189,1140,2329
東駒形一丁目,758,612,613,1225
東駒形二丁目,853,774,776,1550
東駒形三丁目,852,731,743,1474
東駒形四丁目,1378,1201,1179,2380
吾妻橋一丁目,1304,1007,1109,2116
吾妻橋二丁目,873,676,705,1381
吾妻橋三丁目,872,806,851,1657
錦糸一丁目,1318,1006,987,1993
錦糸二丁目,461,367,312,679
錦糸三丁目,462,382,337,719
錦糸四丁目,1000,881,922,1803
太平一丁目,1822,1736,1729,3465
太平二丁目,920,754,674,1428
太平三丁目,787,648,632,1280
太平四丁目,2616,2351,2472,4823
横川一丁目,755,819,722,1541
横川二丁目,877,771,655,1426
横川三丁目,650,579,548,1127
横川四丁目,765,694,601,1295
横川五丁目,1413,1233,1588,2821
業平一丁目,1485,1405,1555,2960
業平二丁目,826,698,673,1371
業平三丁目,865,664,681,1345
業平四丁目,1169,918,1026,1944
業平五丁目,1173,1094,1177,2271
向島一丁目,1279,1080,1072,2152
向島二丁目,1455,1242,1319,2561
向島三丁目,2400,2076,2112,4188
向島四丁目,1301,1264,1316,2580
向島五丁目,2451,2109,2063,4172
東向島一丁目,1640,1521,1481,3002
東向島二丁目,2765,2442,2552,4994
東向島三丁目,1631,1627,1705,3332
東向島四丁目,1909,1695,1766,3461
東向島五丁目,2093,1865,1971,3836
東向島六丁目,2854,2677,2714,5391
堤通一丁目,1157,1204,1150,2354
堤通二丁目,2081,1937,2408,4345
墨田一丁目,1376,1480,1613,3093
墨田二丁目,2028,2010,1960,3970
墨田三丁目,1913,1812,1788,3600
墨田四丁目,2468,2352,2490,4842
墨田五丁目,1536,1414,1395,2809
押上一丁目,1311,1051,1148,2199
押上二丁目,2071,1858,2003,3861
押上三丁目,2282,2202,2107,4309
京島一丁目,3594,3374,3680,7054
京島二丁目,1006,961,857,1818
京島三丁目,2340,2188,2077,4265
文花一丁目,2973,2610,3171,5781
文花二丁目,1211,1121,1176,2297
文花三丁目,1202,1370,1343,2713
八広一丁目,1765,1701,1617,3318
八広二丁目,2094,2113,2076,4189
八広三丁目,1852,1843,1731,3574
八広四丁目,2111,2116,2090,4206
八広五丁目,1568,1463,1477,2940
八広六丁目,2047,2057,1938,3995
立花一丁目,3383,3043,3225,6268
立花二丁目,894,780,761,1541
立花三丁目,1485,1388,1399,2787
立花四丁目,1864,1863,1865,3728
立花五丁目,1854,2105,2031,4136
立花六丁目,1190,1151,1248,2399
東墨田一丁目,81,93,62,155
東墨田二丁目,731,711,643,1354
東墨田三丁目,415,450,392,842
