町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1018,753,778,1531
両国二丁目,1328,1059,1060,2119
両国三丁目,1218,899,963,1862
両国四丁目,1262,964,994,1958
千歳一丁目,966,816,811,1627
千歳二丁目,576,501,463,964
千歳三丁目,1409,1179,1189,2368
緑一丁目,1762,1529,1403,2932
緑二丁目,1719,1592,1702,3294
緑三丁目,1541,1381,1326,2707
緑四丁目,2589,2211,2069,4280
立川一丁目,872,624,686,1310
立川二丁目,870,699,681,1380
立川三丁目,1003,819,839,1658
立川四丁目,917,742,703,1445
菊川一丁目,936,791,876,1667
菊川二丁目,1371,1070,1180,2250
菊川三丁目,2202,1869,1966,3835
江東橋一丁目,958,729,754,1483
江東橋二丁目,1410,1170,1102,2272
江東橋三丁目,583,428,311,739
江東橋四丁目,1791,1267,1388,2655
江東橋五丁目,1679,1513,1525,3038
横網一丁目,138,161,146,307
横網二丁目,732,613,609,1222
亀沢一丁目,1244,1066,1078,2144
亀沢二丁目,994,848,987,1835
亀沢三丁目,1006,1039,989,2028
亀沢四丁目,1490,1316,1288,2604
石原一丁目,1557,1259,1271,2530
石原二丁目,1399,1265,1231,2496
石原三丁目,1660,1516,1342,2858
石原四丁目,1474,1361,1294,2655
本所一丁目,1645,1514,1480,2994
本所二丁目,924,805,857,1662
本所三丁目,1046,928,937,1865
本所四丁目,1336,1206,1141,2347
東駒形一丁目,789,633,627,1260
東駒形二丁目,866,774,783,1557
東駒形三丁目,863,733,741,1474
東駒形四丁目,1403,1201,1210,2411
吾妻橋一丁目,1321,1022,1113,2135
吾妻橋二丁目,899,682,734,1416
吾妻橋三丁目,881,811,867,1678
錦糸一丁目,1379,1041,1031,2072
錦糸二丁目,458,352,311,663
錦糸三丁目,466,382,340,722
錦糸四丁目,1006,888,929,1817
太平一丁目,1837,1733,1720,3453
太平二丁目,930,759,676,1435
太平三丁目,813,656,659,1315
太平四丁目,2670,2375,2493,4868
横川一丁目,788,844,734,1578
横川二丁目,892,784,668,1452
横川三丁目,670,589,553,1142
横川四丁目,771,685,615,1300
横川五丁目,1471,1292,1655,2947
業平一丁目,1505,1420,1568,2988
業平二丁目,815,689,650,1339
業平三丁目,861,662,688,1350
業平四丁目,1184,922,1037,1959
業平五丁目,1151,1087,1171,2258
向島一丁目,1307,1094,1067,2161
向島二丁目,1466,1254,1331,2585
向島三丁目,2456,2117,2144,4261
向島四丁目,1321,1268,1327,2595
向島五丁目,2502,2129,2101,4230
東向島一丁目,1645,1527,1471,2998
東向島二丁目,2843,2456,2607,5063
東向島三丁目,1635,1638,1709,3347
東向島四丁目,1916,1700,1770,3470
東向島五丁目,2123,1852,2007,3859
東向島六丁目,2894,2680,2721,5401
堤通一丁目,1163,1207,1150,2357
堤通二丁目,2077,1913,2385,4298
墨田一丁目,1423,1496,1656,3152
墨田二丁目,2034,2012,1956,3968
墨田三丁目,1943,1830,1804,3634
墨田四丁目,2452,2359,2455,4814
墨田五丁目,1545,1415,1390,2805
押上一丁目,1312,1059,1141,2200
押上二丁目,2066,1832,1998,3830
押上三丁目,2295,2212,2120,4332
京島一丁目,3620,3396,3701,7097
京島二丁目,989,950,848,1798
京島三丁目,2321,2168,2063,4231
文花一丁目,2956,2591,3142,5733
文花二丁目,1257,1134,1200,2334
文花三丁目,1205,1373,1337,2710
八広一丁目,1824,1732,1639,3371
八広二丁目,2081,2089,2076,4165
八広三丁目,1875,1849,1749,3598
八広四丁目,2135,2135,2110,4245
八広五丁目,1575,1453,1488,2941
八広六丁目,2089,2073,1974,4047
立花一丁目,3479,3101,3274,6375
立花二丁目,884,768,766,1534
立花三丁目,1516,1395,1430,2825
立花四丁目,1868,1853,1861,3714
立花五丁目,1867,2102,2024,4126
立花六丁目,1188,1147,1254,2401
東墨田一丁目,87,98,60,158
東墨田二丁目,729,709,637,1346
東墨田三丁目,416,445,399,844
