町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,992,760,770,1530
両国二丁目,1335,1043,1082,2125
両国三丁目,1338,991,1016,2007
両国四丁目,1335,1066,1045,2111
千歳一丁目,978,802,861,1663
千歳二丁目,639,555,503,1058
千歳三丁目,1520,1269,1221,2490
緑一丁目,1932,1632,1532,3164
緑二丁目,1790,1658,1737,3395
緑三丁目,1702,1475,1471,2946
緑四丁目,2920,2441,2299,4740
立川一丁目,889,638,694,1332
立川二丁目,879,716,681,1397
立川三丁目,1098,875,919,1794
立川四丁目,1052,802,810,1612
菊川一丁目,1067,863,939,1802
菊川二丁目,1498,1096,1264,2360
菊川三丁目,2239,1900,1967,3867
江東橋一丁目,995,750,746,1496
江東橋二丁目,1465,1196,1134,2330
江東橋三丁目,618,453,315,768
江東橋四丁目,1781,1278,1289,2567
江東橋五丁目,1729,1522,1532,3054
横網一丁目,147,170,151,321
横網二丁目,704,593,601,1194
亀沢一丁目,1246,1028,1061,2089
亀沢二丁目,1036,887,1017,1904
亀沢三丁目,1054,1079,1050,2129
亀沢四丁目,1516,1370,1341,2711
石原一丁目,1630,1284,1328,2612
石原二丁目,1466,1276,1284,2560
石原三丁目,1744,1546,1410,2956
石原四丁目,1588,1439,1406,2845
本所一丁目,1648,1461,1480,2941
本所二丁目,940,788,855,1643
本所三丁目,1031,882,914,1796
本所四丁目,1463,1275,1239,2514
東駒形一丁目,883,688,703,1391
東駒形二丁目,867,759,777,1536
東駒形三丁目,944,764,771,1535
東駒形四丁目,1462,1189,1264,2453
吾妻橋一丁目,1343,1046,1119,2165
吾妻橋二丁目,926,692,757,1449
吾妻橋三丁目,893,815,862,1677
錦糸一丁目,1425,1063,1045,2108
錦糸二丁目,471,363,318,681
錦糸三丁目,477,386,334,720
錦糸四丁目,1036,904,940,1844
太平一丁目,1953,1813,1802,3615
太平二丁目,941,769,644,1413
太平三丁目,890,709,688,1397
太平四丁目,2682,2366,2475,4841
横川一丁目,822,849,763,1612
横川二丁目,978,825,737,1562
横川三丁目,723,617,598,1215
横川四丁目,762,657,604,1261
横川五丁目,1455,1222,1622,2844
業平一丁目,1584,1427,1609,3036
業平二丁目,817,697,622,1319
業平三丁目,885,681,709,1390
業平四丁目,1214,927,1024,1951
業平五丁目,1206,1107,1211,2318
向島一丁目,1419,1164,1151,2315
向島二丁目,1570,1283,1408,2691
向島三丁目,2682,2319,2307,4626
向島四丁目,1364,1268,1351,2619
向島五丁目,2610,2173,2162,4335
東向島一丁目,1811,1620,1572,3192
東向島二丁目,2871,2439,2623,5062
東向島三丁目,1750,1704,1768,3472
東向島四丁目,2014,1749,1787,3536
東向島五丁目,2155,1843,2011,3854
東向島六丁目,3013,2761,2797,5558
堤通一丁目,1156,1202,1125,2327
堤通二丁目,2102,1859,2399,4258
墨田一丁目,1458,1488,1663,3151
墨田二丁目,2068,1986,1945,3931
墨田三丁目,2054,1859,1869,3728
墨田四丁目,2501,2379,2459,4838
墨田五丁目,1562,1403,1408,2811
押上一丁目,1333,1041,1140,2181
押上二丁目,2019,1768,1920,3688
押上三丁目,2348,2190,2199,4389
京島一丁目,3637,3414,3707,7121
京島二丁目,992,949,848,1797
京島三丁目,2307,2123,2071,4194
文花一丁目,3008,2574,3077,5651
文花二丁目,1339,1176,1246,2422
文花三丁目,1206,1343,1317,2660
八広一丁目,1862,1755,1658,3413
八広二丁目,2195,2158,2069,4227
八広三丁目,1844,1831,1711,3542
八広四丁目,2292,2225,2198,4423
八広五丁目,1620,1442,1499,2941
八広六丁目,2116,2066,1998,4064
立花一丁目,3502,3029,3259,6288
立花二丁目,895,821,801,1622
立花三丁目,1637,1485,1516,3001
立花四丁目,1874,1865,1813,3678
立花五丁目,1985,2200,2154,4354
立花六丁目,1196,1114,1241,2355
東墨田一丁目,78,81,65,146
東墨田二丁目,758,701,648,1349
東墨田三丁目,408,429,386,815
