町丁目,世帯数[世帯],男[人],女[人],総数[人]
両国一丁目,1087,823,816,1639
両国二丁目,1346,1035,1073,2108
両国三丁目,1333,979,1007,1986
両国四丁目,1352,1085,1051,2136
千歳一丁目,972,793,851,1644
千歳二丁目,646,541,513,1054
千歳三丁目,1510,1252,1218,2470
緑一丁目,2013,1683,1583,3266
緑二丁目,1782,1651,1721,3372
緑三丁目,1683,1462,1482,2944
緑四丁目,2915,2457,2278,4735
立川一丁目,892,633,699,1332
立川二丁目,896,727,699,1426
立川三丁目,1100,886,911,1797
立川四丁目,1047,786,802,1588
菊川一丁目,1083,876,952,1828
菊川二丁目,1477,1100,1255,2355
菊川三丁目,2215,1868,1973,3841
江東橋一丁目,1002,758,748,1506
江東橋二丁目,1439,1171,1128,2299
江東橋三丁目,620,455,316,771
江東橋四丁目,1741,1252,1268,2520
江東橋五丁目,1727,1507,1540,3047
横網一丁目,140,162,146,308
横網二丁目,704,592,596,1188
亀沢一丁目,1236,1041,1062,2103
亀沢二丁目,1048,893,1028,1921
亀沢三丁目,1050,1072,1046,2118
亀沢四丁目,1513,1356,1348,2704
石原一丁目,1633,1283,1326,2609
石原二丁目,1458,1263,1287,2550
石原三丁目,1742,1543,1413,2956
石原四丁目,1627,1491,1455,2946
本所一丁目,1647,1450,1482,2932
本所二丁目,932,779,856,1635
本所三丁目,1061,881,935,1816
本所四丁目,1479,1261,1248,2509
東駒形一丁目,886,686,704,1390
東駒形二丁目,865,756,781,1537
東駒形三丁目,945,764,773,1537
東駒形四丁目,1440,1172,1239,2411
吾妻橋一丁目,1331,1037,1102,2139
吾妻橋二丁目,917,693,749,1442
吾妻橋三丁目,866,792,837,1629
錦糸一丁目,1443,1072,1051,2123
錦糸二丁目,472,360,328,688
錦糸三丁目,469,377,324,701
錦糸四丁目,1017,905,911,1816
太平一丁目,1997,1835,1827,3662
太平二丁目,950,766,655,1421
太平三丁目,907,722,693,1415
太平四丁目,2667,2344,2452,4796
横川一丁目,822,842,771,1613
横川二丁目,978,829,730,1559
横川三丁目,706,604,585,1189
横川四丁目,769,659,605,1264
横川五丁目,1455,1234,1623,2857
業平一丁目,1580,1403,1602,3005
業平二丁目,814,684,615,1299
業平三丁目,863,668,701,1369
業平四丁目,1232,929,1019,1948
業平五丁目,1220,1102,1231,2333
向島一丁目,1441,1173,1182,2355
向島二丁目,1572,1278,1412,2690
向島三丁目,2696,2332,2321,4653
向島四丁目,1340,1253,1332,2585
向島五丁目,2604,2166,2160,4326
東向島一丁目,1791,1607,1564,3171
東向島二丁目,2853,2414,2605,5019
東向島三丁目,1748,1700,1764,3464
東向島四丁目,1990,1724,1764,3488
東向島五丁目,2206,1876,2031,3907
東向島六丁目,2987,2749,2760,5509
堤通一丁目,1148,1201,1106,2307
堤通二丁目,2102,1847,2401,4248
墨田一丁目,1453,1494,1671,3165
墨田二丁目,2061,1961,1952,3913
墨田三丁目,2039,1856,1858,3714
墨田四丁目,2472,2347,2439,4786
墨田五丁目,1554,1400,1394,2794
押上一丁目,1303,1023,1123,2146
押上二丁目,2021,1775,1909,3684
押上三丁目,2352,2199,2201,4400
京島一丁目,3626,3415,3700,7115
京島二丁目,1003,963,839,1802
京島三丁目,2297,2121,2059,4180
文花一丁目,3004,2573,3070,5643
文花二丁目,1330,1170,1249,2419
文花三丁目,1192,1322,1303,2625
八広一丁目,1871,1750,1646,3396
八広二丁目,2226,2186,2075,4261
八広三丁目,1857,1824,1727,3551
八広四丁目,2361,2255,2242,4497
八広五丁目,1618,1446,1490,2936
八広六丁目,2105,2065,2003,4068
立花一丁目,3482,3014,3213,6227
立花二丁目,886,807,800,1607
立花三丁目,1634,1493,1496,2989
立花四丁目,1875,1854,1795,3649
立花五丁目,2036,2239,2179,4418
立花六丁目,1208,1106,1250,2356
東墨田一丁目,85,88,64,152
東墨田二丁目,778,717,671,1388
東墨田三丁目,405,426,393,819
