町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,85,50,59,109
両国二丁目,104,68,86,154
両国三丁目,57,39,54,93
両国四丁目,89,55,68,123
千歳一丁目,23,21,19,40
千歳二丁目,21,13,20,33
千歳三丁目,50,29,47,76
緑一丁目,120,85,71,156
緑二丁目,74,51,60,111
緑三丁目,86,75,83,158
緑四丁目,200,136,193,329
立川一丁目,41,25,29,54
立川二丁目,42,39,20,59
立川三丁目,19,17,14,31
立川四丁目,36,29,33,62
菊川一丁目,25,16,27,43
菊川二丁目,36,21,33,54
菊川三丁目,63,50,59,109
江東橋一丁目,103,67,127,194
江東橋二丁目,140,113,153,266
江東橋三丁目,105,70,103,173
江東橋四丁目,311,185,355,540
江東橋五丁目,74,52,88,140
横網一丁目,6,7,3,10
横網二丁目,55,37,34,71
亀沢一丁目,40,33,40,73
亀沢二丁目,20,24,30,54
亀沢三丁目,42,38,37,75
亀沢四丁目,63,43,79,122
石原一丁目,72,61,63,124
石原二丁目,42,33,33,66
石原三丁目,62,53,49,102
石原四丁目,53,46,66,112
本所一丁目,50,35,62,97
本所二丁目,25,20,30,50
本所三丁目,58,30,62,92
本所四丁目,31,20,40,60
東駒形一丁目,37,33,17,50
東駒形二丁目,50,44,29,73
東駒形三丁目,29,24,19,43
東駒形四丁目,28,29,37,66
吾妻橋一丁目,51,38,39,77
吾妻橋二丁目,18,13,19,32
吾妻橋三丁目,21,18,28,46
錦糸一丁目,114,84,121,205
錦糸二丁目,72,61,82,143
錦糸三丁目,76,55,93,148
錦糸四丁目,118,93,133,226
太平一丁目,140,109,143,252
太平二丁目,85,53,100,153
太平三丁目,77,64,76,140
太平四丁目,161,139,193,332
横川一丁目,37,43,40,83
横川二丁目,37,26,35,61
横川三丁目,24,22,34,56
横川四丁目,88,48,70,118
横川五丁目,32,45,79,124
業平一丁目,29,22,29,51
業平二丁目,18,22,22,44
業平三丁目,28,22,24,46
業平四丁目,31,35,42,77
業平五丁目,20,19,21,40
向島一丁目,30,29,23,52
向島二丁目,31,33,28,61
向島三丁目,62,40,58,98
向島四丁目,20,26,27,53
向島五丁目,47,40,58,98
東向島一丁目,29,26,34,60
東向島二丁目,45,43,61,104
東向島三丁目,49,37,47,84
東向島四丁目,53,41,62,103
東向島五丁目,37,32,50,82
東向島六丁目,42,37,51,88
堤通一丁目,40,45,43,88
堤通二丁目,66,74,146,220
墨田一丁目,26,42,53,95
墨田二丁目,35,40,53,93
墨田三丁目,36,41,50,91
墨田四丁目,43,36,57,93
墨田五丁目,21,16,33,49
押上一丁目,30,23,34,57
押上二丁目,50,41,60,101
押上三丁目,47,54,56,110
京島一丁目,67,61,104,165
京島二丁目,22,28,22,50
京島三丁目,32,37,49,86
文花一丁目,63,91,140,231
文花二丁目,49,33,60,93
文花三丁目,23,22,43,65
八広一丁目,22,21,41,62
八広二丁目,39,40,60,100
八広三丁目,21,26,45,71
八広四丁目,48,30,75,105
八広五丁目,37,35,56,91
八広六丁目,34,38,48,86
立花一丁目,246,219,260,479
立花二丁目,65,42,41,83
立花三丁目,57,58,65,123
立花四丁目,57,57,97,154
立花五丁目,89,103,110,213
立花六丁目,41,31,62,93
東墨田一丁目,14,15,3,18
東墨田二丁目,31,36,29,65
東墨田三丁目,23,27,15,42
