町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,89,56,70,126
両国二丁目,123,79,94,173
両国三丁目,62,44,51,95
両国四丁目,120,78,85,163
千歳一丁目,34,20,29,49
千歳二丁目,41,29,28,57
千歳三丁目,58,45,49,94
緑一丁目,128,73,93,166
緑二丁目,85,57,79,136
緑三丁目,107,87,96,183
緑四丁目,234,157,191,348
立川一丁目,31,14,21,35
立川二丁目,40,33,15,48
立川三丁目,31,25,23,48
立川四丁目,59,37,45,82
菊川一丁目,50,33,38,71
菊川二丁目,47,30,39,69
菊川三丁目,90,66,74,140
江東橋一丁目,135,84,150,234
江東橋二丁目,176,122,173,295
江東橋三丁目,130,88,96,184
江東橋四丁目,333,201,338,539
江東橋五丁目,76,53,79,132
横網一丁目,10,11,7,18
横網二丁目,44,30,29,59
亀沢一丁目,44,36,40,76
亀沢二丁目,50,34,50,84
亀沢三丁目,51,41,54,95
亀沢四丁目,91,57,101,158
石原一丁目,95,68,71,139
石原二丁目,47,38,38,76
石原三丁目,66,55,46,101
石原四丁目,84,61,81,142
本所一丁目,48,33,61,94
本所二丁目,16,12,23,35
本所三丁目,49,26,45,71
本所四丁目,46,30,52,82
東駒形一丁目,45,30,32,62
東駒形二丁目,34,27,20,47
東駒形三丁目,29,16,26,42
東駒形四丁目,30,27,35,62
吾妻橋一丁目,65,65,49,114
吾妻橋二丁目,24,17,27,44
吾妻橋三丁目,27,21,32,53
錦糸一丁目,129,74,134,208
錦糸二丁目,86,64,86,150
錦糸三丁目,67,44,67,111
錦糸四丁目,109,80,117,197
太平一丁目,171,132,154,286
太平二丁目,86,59,79,138
太平三丁目,86,55,83,138
太平四丁目,158,131,194,325
横川一丁目,31,31,34,65
横川二丁目,40,32,30,62
横川三丁目,42,38,48,86
横川四丁目,62,35,51,86
横川五丁目,54,65,114,179
業平一丁目,45,39,38,77
業平二丁目,16,19,17,36
業平三丁目,21,13,19,32
業平四丁目,48,40,55,95
業平五丁目,45,34,32,66
向島一丁目,51,46,38,84
向島二丁目,42,33,32,65
向島三丁目,92,59,76,135
向島四丁目,37,36,33,69
向島五丁目,67,62,63,125
東向島一丁目,46,37,51,88
東向島二丁目,46,41,66,107
東向島三丁目,61,45,58,103
東向島四丁目,52,41,62,103
東向島五丁目,46,40,57,97
東向島六丁目,48,38,59,97
堤通一丁目,49,55,43,98
堤通二丁目,74,90,148,238
墨田一丁目,67,50,90,140
墨田二丁目,45,46,54,100
墨田三丁目,71,49,75,124
墨田四丁目,63,56,57,113
墨田五丁目,38,28,45,73
押上一丁目,37,35,33,68
押上二丁目,51,36,45,81
押上三丁目,67,52,93,145
京島一丁目,72,70,102,172
京島二丁目,28,26,18,44
京島三丁目,40,35,48,83
文花一丁目,74,89,150,239
文花二丁目,79,46,79,125
文花三丁目,22,26,26,52
八広一丁目,41,38,50,88
八広二丁目,49,50,51,101
八広三丁目,42,43,53,96
八広四丁目,52,39,74,113
八広五丁目,43,43,50,93
八広六丁目,46,44,63,107
立花一丁目,419,375,397,772
立花二丁目,58,48,41,89
立花三丁目,96,77,106,183
立花四丁目,71,75,113,188
立花五丁目,100,113,105,218
立花六丁目,68,48,72,120
東墨田一丁目,16,14,4,18
東墨田二丁目,39,46,33,79
東墨田三丁目,30,23,21,44
