町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,846,664,660,1324
両国二丁目,1232,988,986,1974
両国三丁目,1233,903,976,1879
両国四丁目,1221,992,970,1962
千歳一丁目,955,791,829,1620
千歳二丁目,589,520,471,991
千歳三丁目,1397,1177,1151,2328
緑一丁目,1718,1485,1378,2863
緑二丁目,1707,1582,1655,3237
緑三丁目,1543,1352,1314,2666
緑四丁目,2574,2242,2038,4280
立川一丁目,851,616,669,1285
立川二丁目,838,686,656,1342
立川三丁目,999,817,828,1645
立川四丁目,989,757,764,1521
菊川一丁目,947,799,864,1663
菊川二丁目,1423,1060,1217,2277
菊川三丁目,2139,1816,1899,3715
江東橋一丁目,844,662,600,1262
江東橋二丁目,1263,1065,967,2032
江東橋三丁目,507,378,230,608
江東橋四丁目,1465,1102,949,2051
江東橋五丁目,1605,1448,1441,2889
横網一丁目,139,157,143,300
横網二丁目,661,564,570,1134
亀沢一丁目,1189,1008,1021,2029
亀沢二丁目,987,847,971,1818
亀沢三丁目,992,1028,979,2007
亀沢四丁目,1432,1296,1240,2536
石原一丁目,1476,1174,1221,2395
石原二丁目,1407,1246,1238,2484
石原三丁目,1678,1515,1362,2877
石原四丁目,1425,1301,1251,2552
本所一丁目,1567,1425,1412,2837
本所二丁目,900,770,836,1606
本所三丁目,984,883,873,1756
本所四丁目,1369,1234,1165,2399
東駒形一丁目,812,634,649,1283
東駒形二丁目,827,736,752,1488
東駒形三丁目,903,752,737,1489
東駒形四丁目,1433,1165,1213,2378
吾妻橋一丁目,1292,977,1099,2076
吾妻橋二丁目,891,667,715,1382
吾妻橋三丁目,855,786,832,1618
錦糸一丁目,1278,965,921,1886
錦糸二丁目,392,312,236,548
錦糸三丁目,414,338,276,614
錦糸四丁目,909,811,808,1619
太平一丁目,1754,1667,1618,3285
太平二丁目,849,722,563,1285
太平三丁目,778,630,596,1226
太平四丁目,2507,2230,2288,4518
横川一丁目,792,822,728,1550
横川二丁目,906,762,690,1452
横川三丁目,616,536,508,1044
横川四丁目,695,626,560,1186
横川五丁目,1408,1183,1521,2704
業平一丁目,1509,1386,1557,2943
業平二丁目,804,693,613,1306
業平三丁目,843,678,666,1344
業平四丁目,1164,892,988,1880
業平五丁目,1146,1060,1187,2247
向島一丁目,1326,1077,1092,2169
向島二丁目,1531,1263,1383,2646
向島三丁目,2489,2179,2161,4340
向島四丁目,1313,1239,1300,2539
向島五丁目,2521,2121,2084,4205
東向島一丁目,1725,1561,1519,3080
東向島二丁目,2826,2403,2553,4956
東向島三丁目,1595,1613,1642,3255
東向島四丁目,1925,1699,1750,3449
東向島五丁目,2100,1815,1955,3770
東向島六丁目,2945,2704,2705,5409
堤通一丁目,1089,1120,1072,2192
堤通二丁目,2034,1792,2242,4034
墨田一丁目,1413,1478,1600,3078
墨田二丁目,1996,1929,1915,3844
墨田三丁目,1977,1813,1789,3602
墨田四丁目,2399,2299,2361,4660
墨田五丁目,1535,1394,1379,2773
押上一丁目,1324,1025,1144,2169
押上二丁目,1977,1752,1907,3659
押上三丁目,2255,2136,2091,4227
京島一丁目,3560,3355,3600,6955
京島二丁目,968,933,835,1768
京島三丁目,2274,2105,2010,4115
文花一丁目,2963,2516,2993,5509
文花二丁目,1234,1107,1159,2266
文花三丁目,1182,1340,1296,2636
八広一丁目,1811,1688,1621,3309
八広二丁目,2064,2040,2003,4043
八広三丁目,1812,1809,1669,3478
八広四丁目,2183,2151,2087,4238
八広五丁目,1553,1422,1439,2861
八広六丁目,2060,2024,1927,3951
立花一丁目,3087,2719,2883,5602
立花二丁目,839,767,753,1520
立花三丁目,1543,1420,1426,2846
立花四丁目,1797,1793,1700,3493
立花五丁目,1773,2017,1974,3991
立花六丁目,1111,1067,1165,2232
東墨田一丁目,62,69,57,126
東墨田二丁目,707,655,618,1273
東墨田三丁目,381,413,376,789
