区市町村,総数,有床診療所数,療養病床を有する診療所数(再掲),無床診療所数
総数,12780,431,16,12349
区部,9769,320,11,9449
市部,2951,100,3,2851
郡部,38,2,0,36
島部,22,9,2,13
千代田区,468,6,0,462
中央区,476,8,0,468
港区,699,13,0,686
新宿区,591,22,0,569
文京区,250,1,0,249
台東区,218,11,1,207
墨田区,214,9,1,205
江東区,387,9,0,378
品川区,417,7,0,410
目黒区,307,11,0,296
大田区,581,24,1,557
世田谷区,850,32,1,818
渋谷区,513,6,0,507
中野区,321,16,0,305
杉並区,489,11,1,478
豊島区,429,20,0,409
北区,267,14,0,253
荒川区,171,6,1,165
板橋区,382,9,3,373
練馬区,547,22,1,525
足立区,414,18,1,396
葛飾区,349,21,0,328
江戸川区,429,24,0,405
八王子市,370,19,0,351
立川市,154,6,0,148
武蔵野市,205,4,0,201
三鷹市,131,1,0,130
青梅市,93,4,0,89
府中市,178,6,1,172
昭島市,63,4,0,59
調布市,189,6,0,183
町田市,311,10,0,301
小金井市,77,2,0,75
小平市,125,4,0,121
日野市,120,5,0,115
東村山市,96,2,0,94
国分寺市,114,3,0,111
国立市,82,2,1,80
福生市,41,3,0,38
狛江市,48,2,0,46
東大和市,49,2,0,47
清瀬市,46,3,0,43
東久留米市,61,1,0,60
武蔵村山市,25,0,0,25
多摩市,109,2,0,107
稲城市,46,2,0,44
羽村市,34,3,0,31
あきる野市,44,3,1,41
西東京市,140,1,0,139
瑞穂町,13,0,0,13
日の出町,14,0,0,14
檜原村,3,1,0,2
奥多摩町,8,1,0,7
大島町,4,1,1,3
利島村,1,0,0,1
新島村,4,2,0,2
神津島村,2,1,0,1
三宅村,2,1,0,1
御蔵島村,1,1,0,0
八丈町,3,0,0,3
青ケ島村,1,1,0,0
小笠原村,4,2,1,2
