"","診断有総数（問２）","診断有かつ通所（園）している／生活管理指導表の提出あり／ある","診断有かつ通所（園）している／生活管理指導表の提出あり／異なる書式","診断有かつ通所（園）している／生活管理指導表の提出あり／小計","診断有かつ通所（園）している／生活管理指導表提出なし","診断有かつ通所（園）している／無回答","診断有かつ通所（園）している／計"
"ぜん息","334","27","21","48","130","8","186"
"ぜん息／症状１回","41","3","5","8","14","0","22"
"ぜん息／症状２回","287","23","15","38","113","8","159"
"ぜん息／無回答","6","1","1","2","3","0","5"
"食物アレルギー","579","69","61","130","149","13","292"
"アトピー性皮膚炎","387","28","29","57","123","14","194"
"アレルギー性鼻炎","306","11","14","25","111","10","146"
"アレルギー性結膜炎","166","7","12","19","55","3","77"
"じんましん","426","19","28","47","151","12","210"
"その他のアレルギー疾患","46","0","3","3","19","2","24"
"ぜん息の診断有（問2）かつ処方有（問3-4）","189","22","13","35","70","6","111"
"食物アレルギーの診断有（問2）かつ医師指示除去食物有（問4-5）","284","51","34","85","59","8","152" 