従業、通学地,総数,就業者,通学者
他市区町村に常住,20459,18937,1522
東京都,5493,4667,826
千代田区,13,13,0
中央区,14,12,2
港区,24,24,0
新宿区,30,27,3
文京区,25,22,3
台東区,8,7,1
墨田区,10,10,0
江東区,22,20,2
品川区,26,24,2
目黒区,27,22,5
大田区,71,61,10
世田谷区,1188,1040,148
渋谷区,52,44,8
中野区,45,44,1
杉並区,140,126,14
豊島区,29,29,0
北区,15,15,0
荒川区,5,5,0
板橋区,37,34,3
練馬区,54,49,5
足立区,21,20,1
葛飾区,29,29,0
江戸川区,32,30,2
八王子市,243,185,58
立川市,49,44,5
武蔵野市,42,40,2
三鷹市,136,119,17
青梅市,8,4,4
府中市,347,309,38
昭島市,24,22,2
調布市,1251,1177,74
町田市,684,386,298
小金井市,36,33,3
小平市,28,26,2
日野市,86,77,9
東村山市,16,14,2
国分寺市,29,27,2
国立市,33,29,4
福生市,5,4,1
東大和市,23,23,0
清瀬市,7,6,1
東久留米市,11,10,1
武蔵村山市,8,7,1
多摩市,232,188,44
稲城市,231,189,42
羽村市,8,6,2
あきる野市,7,4,3
西東京市,25,24,1
瑞穂町,5,5,0
日の出町,1,1,0
小笠原村,1,1,0
他県,14966,14270,696
埼玉県,190,185,5
千葉県,86,82,4
神奈川県,2289,2241,48
その他の県,12401,11762,639
