区市町村名,学校名,科名,募集人員（男女問わず）,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
世田谷,園芸,園芸,49,23,26,49,14,37,51
世田谷,園芸,食品,25,15,27,42,9,17,26
世田谷,園芸,動物,25,21,54,75,7,19,26
世田谷,園芸,計,99,59,107,166,30,73,103
杉並,農芸,園芸科学,25,16,16,32,11,15,26
杉並,農芸,食品科学,49,19,45,64,18,33,51
杉並,農芸,緑地環境,25,18,8,26,15,11,26
杉並,農芸,計,99,53,69,122,44,59,103
葛飾,農産,園芸ﾃﾞｻﾞｲﾝ,49,35,29,64,26,24,50
葛飾,農産,食品,49,23,38,61,17,33,50
葛飾,農産,計,98,58,67,125,43,57,100
府中,農業,都市園芸,25,18,19,37,12,14,26
府中,農業,食品科学,25,11,20,31,9,17,26
府中,農業,緑地計画,25,19,11,30,20,6,26
府中,農業,計,75,48,50,98,41,37,78
瑞穂,瑞穂農芸,園芸科学,25,18,16,34,9,16,25
瑞穂,瑞穂農芸,畜産科学,25,8,22,30,8,17,25
瑞穂,瑞穂農芸,食品,25,12,16,28,10,15,25
瑞穂,瑞穂農芸,計,75,38,54,92,27,48,75
農業計,,,446,256,347,603,185,274,459
