区市町村名,学校名,注）,科名,募集人員（男女問わず）,応募人員／男,応募人員／女,応募人員／計,合格人員／男,合格人員／女,合格人員／計
文京,工芸,,ﾏｼﾝｸﾗﾌﾄ,10,8,9,17,2,8,10
文京,工芸,,ｱｰﾄｸﾗﾌﾄ,10,7,25,32,3,7,10
文京,工芸,,ｲﾝﾃﾘｱ,10,8,18,26,2,8,10
文京,工芸,,ﾃﾞｻﾞｲﾝ,10,3,27,30,2,8,10
文京,工芸,,ｸﾞﾗﾌｨｯｸｱｰﾂ,10,4,29,33,0,10,10
文京,工芸,,計,50,30,108,138,9,41,50
台東,蔵前工業,,機械,21,30,0,30,21,0,21
台東,蔵前工業,,電気,10,27,0,27,10,0,10
台東,蔵前工業,,建築,10,20,6,26,7,3,10
台東,蔵前工業,,設備工業,10,19,1,20,9,1,10
台東,蔵前工業,,計,51,96,7,103,47,4,51
江東,墨田工業,※,機械,10,16,1,17,9,1,10
江東,墨田工業,※,自動車,10,28,1,29,10,0,10
江東,墨田工業,※,電気,21,38,1,39,21,0,21
江東,墨田工業,※,建築,10,22,4,26,6,4,10
江東,墨田工業,※,計,51,104,7,111,46,5,51
世田谷,総合工科,※,機械・自動車,21,40,1,41,20,1,21
世田谷,総合工科,※,電気・情報ﾃﾞｻﾞｲﾝ,21,23,5,28,16,5,21
世田谷,総合工科,※,建築・都市工学,21,37,3,40,19,2,21
世田谷,総合工科,※,計,63,100,9,109,55,8,63
中野,中野工業,,総合技術,52,36,29,65,29,23,52
杉並,杉並工業,※,機械,21,30,0,30,21,0,21
杉並,杉並工業,※,電子,21,43,2,45,20,1,21
杉並,杉並工業,※,理工環境,10,8,4,12,5,5,10
杉並,杉並工業,※,計,52,81,6,87,46,6,52
荒川,荒川工業,※,電気,21,44,1,45,20,1,21
荒川,荒川工業,※,電子,10,9,0,9,10,0,10
荒川,荒川工業,※,情報技術,21,29,3,32,18,3,21
荒川,荒川工業,※,計,52,82,4,86,48,4,52
板橋,北豊島工業,,総合技術,52,59,5,64,47,5,52
練馬,練馬工業,,ｷｬﾘｱ技術,52,95,18,113,44,8,52
足立,足立工業,※,総合技術,52,57,2,59,50,2,52
江戸川,葛西工業,,機械,21,52,0,52,21,0,21
江戸川,葛西工業,,電子,10,21,1,22,9,1,10
江戸川,葛西工業,,建築,21,39,9,48,17,4,21
江戸川,葛西工業,,計,52,112,10,122,47,5,52
府中,府中工業,※,機械,10,27,1,28,10,0,10
府中,府中工業,※,電気,21,36,1,37,20,1,21
府中,府中工業,※,情報技術,10,23,0,23,10,0,10
府中,府中工業,※,工業技術,10,17,0,17,10,0,10
府中,府中工業,※,計,51,103,2,105,50,1,51
町田,町田工業,,総合情報,52,67,27,94,30,22,52
福生,多摩工業,※,機械,21,81,2,83,20,1,21
福生,多摩工業,※,電気,21,35,2,37,19,2,21
福生,多摩工業,※,環境化学,10,19,6,25,5,5,10
福生,多摩工業,※,計,52,135,10,145,44,8,52
西東京,田無工業,,機械,21,17,1,18,20,1,21
西東京,田無工業,,建築,21,47,13,60,13,8,21
西東京,田無工業,,都市工学,10,18,0,18,10,0,10
西東京,田無工業,,計,52,82,14,96,43,9,52
工業（単位制以外）計,,,,786,1239,258,1497,635,151,786
注）※印の学校は文化・スポーツ等特別推薦の実施校であり、募集人員及び応募人員については、一般推薦と特別推薦の合計数である。合格人員については、一般推薦と文化・スポーツ等特別推薦の重複はない。,,,,,,,,,,
