学科・区分,,,校数,延学校数,年度（平成）,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,応募人員(B)／男,応募人員(B)／女,応募人員(B)／計,受検人員(C)／男,受検人員(C)／女,受検人員(C)／計,"受検倍率
（C/A）",合格人員(D)／男,合格人員(D)／女,合格人員(D)／計
"全
日
制",普通科,普通科(ｺｰｽ、単位制以外）計,106,,29,2925,2684,5609,8497,9758,18255,8483,9746,18229,3.25,2925,2684,5609
"全
日
制",普通科,普通科(ｺｰｽ、単位制以外）計,106,,28,2960,2684,5644,8757,9955,18712,8742,9947,18689,3.31,2959,2685,5644
"全
日
制",普通科,ｺｰｽ制計,1,6,29,,,139,81,267,348,81,267,348,2.50,20,119,139
"全
日
制",普通科,ｺｰｽ制計,1,6,28,,,139,70,277,347,70,277,347,2.50,24,115,139
"全
日
制",普通科,単位制計,11,,29,,,531,524,1349,1873,524,1347,1871,3.52,90,441,531
"全
日
制",普通科,単位制計,11,,28,,,523,520,1373,1893,518,1371,1889,3.61,89,434,523
"全
日
制",普通科,普通科合計,118,,29,,,6279,9102,11374,20476,9088,11360,20448,3.26,3035,3244,6279
"全
日
制",普通科,普通科合計,118,,28,,,6306,9347,11605,20952,9330,11595,20925,3.32,3072,3234,6306
"全
日
制","専
門
学
科",商業科,9,10,29,,,437,334,771,1105,334,771,1105,2.53,104,333,437
"全
日
制","専
門
学
科",商業科,9,10,28,,,437,297,731,1028,297,731,1028,2.35,100,337,437
"全
日
制","専
門
学
科",ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ科,2,,29,,,126,88,230,318,88,230,318,2.52,22,104,126
"全
日
制","専
門
学
科",ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ科,2,,28,,,126,95,241,336,95,241,336,2.67,21,105,126
"全
日
制","専
門
学
科",工業科(単位制以外）,15,,29,,,786,1239,258,1497,1237,258,1495,1.90,635,151,786
"全
日
制","専
門
学
科",工業科(単位制以外）,15,,28,,,786,1180,235,1415,1177,235,1412,1.80,665,121,786
"全
日
制","専
門
学
科",工業科（単位制）,1,,29,,,61,87,32,119,87,32,119,1.95,45,16,61
"全
日
制","専
門
学
科",工業科（単位制）,1,,28,,,61,87,21,108,87,21,108,1.77,45,16,61
"全
日
制","専
門
学
科",科学技術科,2,,29,,,126,155,62,217,155,62,217,1.72,81,45,126
"全
日
制","専
門
学
科",科学技術科,2,,28,,,126,188,73,261,187,73,260,2.06,79,47,126
"全
日
制","専
門
学
科",農業科,5,,29,,,184,171,327,498,171,327,498,2.71,60,124,184
"全
日
制","専
門
学
科",農業科,5,,28,,,184,154,332,486,154,332,486,2.64,53,131,184
"全
日
制","専
門
学
科",家庭科(単位制以外）,0,2,29,,,41,14,130,144,14,130,144,3.51,2,39,41
"全
日
制","専
門
学
科",家庭科(単位制以外）,0,2,28,,,41,13,93,106,13,93,106,2.59,1,40,41
"全
日
制","専
門
学
科",家庭科（単位制）,0,1,29,,,21,1,68,69,1,68,69,3.29,0,21,21
"全
日
制","専
門
学
科",家庭科（単位制）,0,1,28,,,21,2,51,53,2,51,53,2.52,2,19,21
"全
日
制","専
門
学
科",福祉科,0,1,29,,,10,4,23,27,4,23,27,2.70,1,9,10
"全
日
制","専
門
学
科",福祉科,0,1,28,,,10,4,14,18,4,14,18,1.80,0,10,10
"全
日
制","専
門
学
科",芸術科,1,,29,,,48,47,213,260,46,213,259,5.40,8,40,48
"全
日
制","専
門
学
科",芸術科,1,,28,,,48,36,205,241,36,205,241,5.02,6,42,48
"全
日
制","専
門
学
科",体育科,0,2,29,,,36,68,49,117,68,49,117,3.25,15,21,36
"全
日
制","専
門
学
科",体育科,0,2,28,,,36,60,31,91,60,31,91,2.53,18,18,36
"全
日
制","専
門
学
科",国際科,2,,29,,,66,68,158,226,68,157,225,3.41,19,47,66
"全
日
制","専
門
学
科",国際科,2,,28,,,66,55,165,220,55,165,220,3.33,24,42,66
"全
日
制","専
門
学
科",産業科,2,,29,,,125,143,195,338,143,195,338,2.70,36,89,125
"全
日
制","専
門
学
科",産業科,2,,28,,,125,140,205,345,140,205,345,2.76,41,84,125
"全
日
制","専
門
学
科",専門学科合計,39,,29,,,2067,2419,2516,4935,2416,2515,4931,2.39,1028,1039,2067
"全
日
制","専
門
学
科",専門学科合計,39,,28,,,2067,2311,2397,4708,2307,2397,4704,2.28,1055,1012,2067
"全
日
制",総合学科,,10,,29,,,732,546,1317,1863,545,1316,1861,2.54,155,577,732
"全
日
制",総合学科,,10,,28,,,732,610,1344,1954,608,1344,1952,2.67,155,577,732
"全
日
制",全日制合計,,167,,29,,,9078,12067,15207,27274,12049,15191,27240,3.00,4218,4860,9078
"全
日
制",全日制合計,,167,,28,,,9105,12268,15346,27614,12245,15336,27581,3.03,4282,4823,9105
新宿山吹高校（定時制課程）,,,1,,29,,,19,22,9,31,22,9,31,1.63,14,5,19
新宿山吹高校（定時制課程）,,,1,,28,,,19,19,9,28,19,9,28,1.47,11,8,19
推薦に基づく選抜合計,,,168,,29,,,9097,12089,15216,27305,12071,15200,27271,3.00,4232,4865,9097
推薦に基づく選抜合計,,,168,,28,,,9124,12287,15355,27642,12264,15345,27609,3.03,4293,4831,9124
注）募集人員、応募人員及び受検人員については、一般推薦と文化・スポーツ等特別推薦の合計数である。合格人員については、一般推薦と文化・スポーツ等特別推薦の重複はない。,,,,,,,,,,,,,,,,,,
注）校数については複数の学科を併設している学校はその学校の主たる学科欄において算入した。「延学校数」欄は併設校を含めた延学校数である。,,,,,,,,,,,,,,,,,,
注）次の学科・区分の募集人員は男女を問わない。普通科のコース制計、単位制計、専門学科、総合学科、新宿山吹高校（定時制課程）,,,,,,,,,,,,,,,,,,
