区市町村名,学校名,募集区分,年度（平成）,募集人員／男,募集人員／女,募集人員／計,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
文京,小石川中等教育,一般枠募集,29,80,80,160,482,438,920,80,80,160
文京,小石川中等教育,一般枠募集,28,80,80,160,505,424,929,80,80,160
台東,白鴎高等学校附属,一般枠募集,29,78,73,151,378,536,914,78,73,151
台東,白鴎高等学校附属,一般枠募集,28,76,72,148,368,580,948,76,72,148
墨田,両国高等学校附属,一般枠募集,29,60,60,120,367,415,782,60,60,120
墨田,両国高等学校附属,一般枠募集,28,60,60,120,484,487,971,60,60,120
目黒,桜修館中等教育,一般枠募集,29,80,80,160,406,537,943,80,80,160
目黒,桜修館中等教育,一般枠募集,28,80,80,160,455,551,1006,80,80,160
中野,富士高等学校附属,一般枠募集,29,60,60,120,299,341,640,60,60,120
中野,富士高等学校附属,一般枠募集,28,60,60,120,284,285,569,60,60,120
練馬,大泉高等学校附属,一般枠募集,29,60,60,120,354,429,783,60,60,120
練馬,大泉高等学校附属,一般枠募集,28,60,60,120,368,471,839,60,60,120
八王子,南多摩中等教育,一般枠募集,29,80,80,160,350,422,772,80,80,160
八王子,南多摩中等教育,一般枠募集,28,80,80,160,387,489,876,80,80,160
立川,立川国際中等教育,一般枠募集,29,65,65,130,315,393,708,65,65,130
立川,立川国際中等教育,一般枠募集,28,65,65,130,279,422,701,65,65,130
武蔵野,武蔵高等学校附属,一般枠募集,29,60,60,120,261,237,498,60,60,120
武蔵野,武蔵高等学校附属,一般枠募集,28,60,60,120,306,258,564,60,60,120
三鷹,三鷹中等教育,一般枠募集,29,80,80,160,478,475,953,80,80,160
三鷹,三鷹中等教育,一般枠募集,28,80,80,160,512,527,1039,80,80,160
合計,,,29,703,698,1401,3690,4223,7913,703,698,1401
合計,,,28,701,697,1398,3948,4494,8442,701,697,1398
