,集計企業数（社）,労働組合あり（社）,労働組合なし（社）,無回答（社）
調査産業計,1012,75,937,-
建設業,85,6,79,-
製造業,274,25,249,-
情報通信業,50,3,47,-
運輸業，郵便業,55,17,38,-
卸売業，小売業,195,2,193,-
金融業，保険業,43,6,37,-
不動産業，物品賃貸業,30,1,29,-
学術研究，専門・技術サービス業,58,4,54,-
宿泊業，飲食サービス業,49,3,46,-
生活関連サービス業，娯楽業,33,1,32,-
教育，学習支援業(学校教育を除く）,32,3,29,-
医療，福祉,43,1,42,-
サービス業（他に分類されないもの）,65,3,62,-
１０～４９　人,642,24,618,-
５０～９９　人,225,20,205,-
１００～２９９　人,145,31,114,-
