調査項目,回答,全体(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）をやったことがある(人),実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）をやったことがない(人),「やったことがない」のうち、やりたい(人),「やったことがない」のうち、やりたいと思わない(人)
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験及び興味関心,,3226,390,2836,738,2098
障害者の年齢,7-17歳,507,136,371,189,182
障害者の年齢,18-19歳,33,8,25,13,12
障害者の年齢,20-29歳,273,56,217,82,135
障害者の年齢,30-39歳,336,68,268,103,165
障害者の年齢,40-49歳,377,50,327,102,225
障害者の年齢,50-59歳,588,35,553,106,447
障害者の年齢,60-69歳,454,21,433,70,363
障害者の年齢,70-120歳,658,16,642,73,569
障害者の性別,男性,1698,193,1505,418,1087
障害者の性別,女性,1404,182,1222,290,932
障害者の性別,無回答・その他,124,15,109,30,79
障害種別,視覚障害,247,33,214,58,156
障害種別,聴覚・平衡機能障害,300,46,254,68,186
障害種別,音声・言語・そしゃく機能障害,135,15,120,27,93
障害種別,肢体不自由（上肢）,387,30,357,75,282
障害種別,肢体不自由（下肢）,684,47,637,123,514
障害種別,肢体不自由（体幹）,308,28,280,56,224
障害種別,肢体不自由（脳原性運動機能障害）,82,9,73,12,61
障害種別,内部障害,619,45,574,125,449
障害種別,知的障害,552,98,454,186,268
障害種別,精神障害,824,102,722,182,540
車椅子の必要性,必要とする,396,50,346,76,270
車椅子の必要性,必要としない,637,39,598,120,478
障害者手帳の有無,持っている,2103,255,1848,484,1364
障害者手帳の有無,持っていない,1123,135,988,254,734
障害種別,身体障害者手帳　1級,461,39,422,89,333
障害種別,身体障害者手帳　2級,248,35,213,50,163
障害種別,身体障害者手帳　3級,225,23,202,58,144
障害種別,身体障害者手帳　4級,224,21,203,54,149
障害種別,身体障害者手帳　5級,92,13,79,16,63
障害種別,身体障害者手帳　6級,85,12,73,18,55
障害種別,療育手帳（愛の手帳）1度（最重度）,24,3,21,3,18
障害種別,療育手帳（愛の手帳）2度（重度）,96,10,86,33,53
障害種別,療育手帳（愛の手帳）3度（中度）,79,18,61,29,32
障害種別,療育手帳（愛の手帳）4度（軽度）,170,39,131,64,67
障害種別,精神障害者保健福祉手帳　1級,23,5,18,8,10
障害種別,精神障害者保健福祉手帳　2級,216,23,193,37,156
障害種別,精神障害者保健福祉手帳　3級,242,35,207,45,162
障害種別,障害者手帳は持っていない,1123,135,988,254,734
障害の程度別,重度,810,86,724,174,550
障害の程度別,軽度,1293,169,1124,310,814
障害の程度別,障害者手帳は持っていない,1123,135,988,254,734
受傷の時期,生まれたとき,852,151,701,260,441
受傷の時期,生まれた後,2374,239,2135,478,1657
学校の種別,小学校の普通学校（通常学級のみに在籍）,89,27,62,33,29
学校の種別,小学校の普通学校（通級による指導あり）,38,20,18,14,4
学校の種別,小学校の普通学校（特別支援学級）,86,25,61,41,20
学校の種別,小学校の特別支援学校（養護学校・盲学校・ろう学校）,48,10,38,18,20
学校の種別,中学校の普通学校（通常学級のみに在籍）,44,11,33,15,18
学校の種別,中学校の普通学校（通級による指導あり）,16,5,11,7,4
学校の種別,中学校の普通学校（特別支援学級）,39,9,30,17,13
学校の種別,中学校の特別支援学校（養護学校・盲学校・ろう学校）,40,6,34,14,20
学校の種別,高等学校の普通学校（通常学級のみに在籍）,50,16,34,15,19
学校の種別,高等学校の普通学校（通級による指導あり）,12,2,10,5,5
学校の種別,高等学校の特別支援学校（養護学校・盲学校・ろう学校）,42,12,30,14,16
学校の種別,大学・短期大学,37,10,27,10,17
学校の種別,特別支援学校高等部専攻科、高等学校専攻科,14,2,12,7,5
学校の種別,職業能力開発校、障害者職業能力開発校等,7,2,5,2,3
学校の種別,なし,136,22,114,30,84
仕事の有無,仕事をしている,1227,174,1053,309,744
仕事の有無,仕事をしていない,1821,198,1623,374,1249
仕事の有無,福祉的就労をしている（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）,178,18,160,55,105
平日・日中の居場所,自分の家,1843,155,1688,332,1356
平日・日中の居場所,職場（一般企業など）,677,98,579,176,403
平日・日中の居場所,職場（福祉的就労（就労移行支援、就労継続支援Ａ型・Ｂ型、就労定着支援）の施設）,102,12,90,37,53
平日・日中の居場所,学校,362,103,259,140,119
平日・日中の居場所,通所施設（生活介護、デイケアなど）,135,20,115,37,78
平日・日中の居場所,入所施設,69,2,67,10,57
平日・日中の居場所,その他,38,0,38,6,32
放課後の居場所,自分の家,345,97,248,124,124
放課後の居場所,習いごと（塾や英会話等の学習系）,75,28,47,28,19
放課後の居場所,習いごと（スイミングやサッカー等のスポーツ系）,59,25,34,24,10
放課後の居場所,習いごと（音楽や習字等の芸術系）,41,22,19,12,7
放課後の居場所,児童通所サービス（放課後等デイサービス　等）,156,43,113,56,57
放課後の居場所,学童保育,34,16,18,13,5
放課後の居場所,広場や公園,35,19,16,13,3
放課後の居場所,学校（校庭や体育館）,35,13,22,18,4
放課後の居場所,児童館や図書館などの公共施設,16,7,9,6,3
放課後の居場所,その他,8,3,5,4,1
障害福祉サービスの利用状況,利用していない,2117,216,1901,453,1448
障害福祉サービスの利用状況,居宅介護（ホームヘルプ）,222,36,186,46,140
障害福祉サービスの利用状況,重度訪問介護,29,6,23,9,14
障害福祉サービスの利用状況,同行援護,70,23,47,21,26
障害福祉サービスの利用状況,行動援護,81,18,63,32,31
障害福祉サービスの利用状況,重度障害者等包括支援,29,7,22,10,12
障害福祉サービスの利用状況,短期入所（ショートステイ）,141,14,127,36,91
障害福祉サービスの利用状況,療養介護,34,13,21,9,12
障害福祉サービスの利用状況,生活介護,85,14,71,20,51
障害福祉サービスの利用状況,施設入所支援,43,2,41,7,34
障害福祉サービスの利用状況,自立訓練,65,7,58,14,44
障害福祉サービスの利用状況,就労移行支援,42,11,31,11,20
障害福祉サービスの利用状況,就労継続支援（A型）,23,8,15,9,6
障害福祉サービスの利用状況,就労継続支援（B型）,89,13,76,28,48
障害福祉サービスの利用状況,就労定着支援,19,5,14,5,9
障害福祉サービスの利用状況,自立生活援助,45,9,36,9,27
障害福祉サービスの利用状況,共同生活援助（グループホーム）,33,3,30,11,19
障害福祉サービスの利用状況,計画相談支援,51,13,38,20,18
障害福祉サービスの利用状況,地域相談支援,57,17,40,8,32
障害福祉サービスの利用状況,移動支援,76,9,67,28,39
障害福祉サービスの利用状況,地域活動支援センター,81,14,67,20,47
障害福祉サービスの利用状況,福祉ホーム,25,7,18,9,9
障害福祉サービスの利用状況,児童発達支援,55,23,32,21,11
障害福祉サービスの利用状況,医療型児童発達支援,11,7,4,3,1
障害福祉サービスの利用状況,放課後等デイサービス,208,38,170,63,107
障害福祉サービスの利用状況,居宅訪問型児童発達支援,8,6,2,1,1
障害福祉サービスの利用状況,保育所等訪問支援,5,3,2,2,0
障害福祉サービスの利用状況,訪問看護,179,12,167,29,138
障害福祉サービスの利用状況,訪問リハビリテーション,165,8,157,34,123
スポーツ運動の実施の有無,行っている,2091,332,1759,584,1175
スポーツ運動の実施の有無,行っていない,1135,58,1077,154,923
過去1年間の実施種目,ウォーキング、散歩（散策、ペットの散歩など）,1595,224,1371,427,944
過去1年間の実施種目,体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）,531,115,416,156,260
過去1年間の実施種目,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動,285,73,212,84,128
過去1年間の実施種目,陸上競技（ランニング、ジョギングなどの軽い運動も含めます）,170,53,117,64,53
過去1年間の実施種目,水泳・遊泳（水中歩行・水中運動）,293,78,215,103,112
過去1年間の実施種目,ブラインドサッカー,24,18,6,4,2
過去1年間の実施種目,車いすテニス,15,8,7,5,2
過去1年間の実施種目,サウンドテーブルテニス,26,14,12,7,5
過去1年間の実施種目,パラバレーボール,26,13,13,8,5
過去1年間の実施種目,車いすバスケットボール,19,12,7,4,3
過去1年間の実施種目,車いすラグビー,13,7,6,1,5
過去1年間の実施種目,ボッチャ,50,15,35,20,15
過去1年間の実施種目,球技（キャッチボールなどのボールを使った軽い運動も含めます）,124,41,83,44,39
過去1年間の実施種目,ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）,94,30,64,31,33
過去1年間の実施種目,格闘技（ボクシング、レスリング、相撲（すもう）など）,19,9,10,7,3
過去1年間の実施種目,武道（柔道、剣道、空手、合気道など）,24,11,13,7,6
過去1年間の実施種目,射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）,15,9,6,3,3
過去1年間の実施種目,ウィンタースポーツ（スキー、スノーボード、スケートなど）,47,18,29,12,17
過去1年間の実施種目,ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）,38,12,26,17,9
過去1年間の実施種目,スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）,13,8,5,4,1
過去1年間の実施種目,アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）,105,31,74,31,43
過去1年間の実施種目,サイクリング、モーター（サイクル）スポーツ,114,35,79,35,44
過去1年間の実施種目,運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）,134,44,90,59,31
過去1年間の実施種目,ゲーム機を使い体を動かして行うスポーツ・フィットネス等,79,38,41,27,14
過去1年間の実施種目,その他,53,9,44,12,32
過去1年間の実施種目,この1年間に運動・スポーツは行わなかった,1135,58,1077,154,923
実施頻度（1年間）,週3日以上（年151日以上）,604,85,519,146,373
実施頻度（1年間）,週2日程度（年101日～150日）,429,98,331,124,207
実施頻度（1年間）,週1日程度（年51日～100日）,506,82,424,155,269
実施頻度（1年間）,月に1～3日程度（年12日～50日）,280,43,237,94,143
実施頻度（1年間）,3か月に1～2日程度（年4日～11日）,75,9,66,23,43
実施頻度（1年間）,年に1～3日程度,52,5,47,14,33
実施頻度（1年間）,わからない,145,10,135,28,107
実施した場所,自宅,829,152,677,232,445
実施した場所,道路や遊歩道,1083,148,935,261,674
実施した場所,広場や公園,633,135,498,194,304
実施した場所,民間のスポーツ施設,314,77,237,115,122
実施した場所,公共のスポーツ施設（障害者専用施設）,130,49,81,53,28
実施した場所,公共のスポーツ施設（障害者専用施設以外）,241,61,180,78,102
実施した場所,小中高校の体育施設,128,42,86,53,33
実施した場所,特別支援学校の体育施設,85,30,55,32,23
実施した場所,職場のスポーツ施設,35,19,16,10,6
実施した場所,福祉施設,64,15,49,19,30
実施した場所,児童通所サービス（放課後等デイサービス等）,87,26,61,32,29
実施した場所,医療機関（病院やリハビリ施設）,68,12,56,17,39
実施した場所,山・川・海・空,171,43,128,53,75
実施した場所,その他,44,2,42,11,31
実施した場所,わからない,47,1,46,5,41
一緒に実施する人,一人,1133,137,996,286,710
一緒に実施する人,家族,762,155,607,241,366
一緒に実施する人,福祉施設の職員・仲間,174,43,131,54,77
一緒に実施する人,障害がある人のサークル・障害者スポーツサークル等の仲間,91,32,59,38,21
一緒に実施する人,障害がある人やない人など様々な人がいるサークルの仲間,107,39,68,43,25
一緒に実施する人,スポーツ教室の指導者・仲間,151,42,109,55,54
一緒に実施する人,障害者専用スポーツ施設の職員・仲間,61,25,36,16,20
一緒に実施する人,地域の公共スポーツ施設の職員・仲間,48,21,27,14,13
一緒に実施する人,ボランティアの人たち,54,19,35,20,15
一緒に実施する人,学校の先生や学校の友達,150,46,104,65,39
一緒に実施する人,児童通所サービス（放課後等デイサービス等）の職員・仲間,86,24,62,33,29
一緒に実施する人,その他の友人・知人,137,37,100,35,65
一緒に実施する人,その他,35,5,30,8,22
一緒に実施する人,わからない,40,0,40,2,38
実施した理由,健康・体力づくりのため,1503,210,1293,442,851
実施した理由,楽しみや気晴らしのため,890,180,710,282,428
実施した理由,運動不足解消のため,1109,171,938,334,604
実施した理由,精神の修養や訓練のため（心をきたえるため）,240,69,171,77,94
実施した理由,自己の記録や能力を向上させるため,182,50,132,61,71
実施した理由,リハビリテーションや医療・治療のため,340,59,281,79,202
実施した理由,家族のふれあいのため,154,49,105,52,53
実施した理由,友人・仲間との交流のため,254,79,175,88,87
実施した理由,美容や肥満解消（ダイエット）のため,217,48,169,69,100
実施した理由,障害者スポーツ大会に参加するため,17,6,11,5,6
実施した理由,その他,36,6,30,11,19
実施した理由,わからない,61,1,60,4,56
実施したきっかけ,家族に奨められた,561,103,458,170,288
実施したきっかけ,（障害のある）友人・知人・同僚に奨められた,101,35,66,42,24
実施したきっかけ,（障害のない）友人・知人・同僚に奨められた,119,40,79,44,35
実施したきっかけ,医師に奨められた,500,81,419,107,312
実施したきっかけ,看護師に奨められた,114,35,79,25,54
実施したきっかけ,作業療法士（OT）に奨められた,100,34,66,27,39
実施したきっかけ,理学療法士（PT）に奨められた,128,25,103,35,68
実施したきっかけ,言語聴覚士（ST）に奨められた,39,16,23,11,12
実施したきっかけ,視能訓練士（CO）に奨められた,21,13,8,5,3
実施したきっかけ,義肢装具士に奨められた,15,9,6,6,0
実施したきっかけ,介護福祉士に奨められた,43,12,31,12,19
実施したきっかけ,社会福祉士（ソーシャルワーカー）に奨められた,49,15,34,13,21
実施したきっかけ,スポーツ指導者に奨められた,20,4,16,11,5
実施したきっかけ,パラスポーツ指導員（旧障害者スポーツ指導員）に奨められた,19,12,7,6,1
実施したきっかけ,学校の先生に奨められた,57,21,36,19,17
実施したきっかけ,学校の授業等で興味を持ち、自主的に始めた,64,19,45,28,17
実施したきっかけ,所属する団体（会社等）に奨められた,17,8,9,5,4
実施したきっかけ,障害のある有名選手・パラアスリートの影響,14,6,8,5,3
実施したきっかけ,障害のない有名選手・アスリートの影響,13,6,7,4,3
実施したきっかけ,テレビや新聞の影響,66,20,46,20,26
実施したきっかけ,インターネットや動画配信を見て,81,25,56,27,29
実施したきっかけ,ＳＮＳの影響,40,15,25,17,8
実施したきっかけ,漫画、ドラマ、映画等の影響,20,11,9,6,3
実施したきっかけ,現地やテレビ等でそのスポーツを観た,22,11,11,5,6
実施したきっかけ,スポーツ団体等の関係者から誘われた,11,4,7,4,3
実施したきっかけ,スポーツイベントや体験会等で興味を持った,18,7,11,8,3
実施したきっかけ,スポーツ以外をテーマとするイベント（福祉祭り等の中の講演や体験会等）で興味を持った,6,1,5,3,2
実施したきっかけ,福祉施設で実施している運動プログラムに参加して,36,5,31,12,19
実施したきっかけ,行政の広報誌,15,2,13,4,9
実施したきっかけ,その他,89,8,81,24,57
実施したきっかけ,特にきっかけはない・なんとなく,676,68,608,173,435
スポーツ・運動への取組意向,スポーツや運動を行っており、満足している,849,137,712,261,451
スポーツ・運動への取組意向,スポーツや運動を行っているが、もっと行いたい,600,126,474,180,294
スポーツ・運動への取組意向,スポーツや運動を行いたいと思うができない,732,68,664,181,483
スポーツ・運動への取組意向,スポーツや運動に関心はない,1045,59,986,116,870
