市場,種別,総数,１時以前,１時以前比率（％）,２時台,２時台比率（％）,３時台,３時台比率（％）,４時台,４時台比率（％）,５時台,５時台比率（％）,６時台,６時台比率（％）,７時台,７時台比率（％）,８時台,８時台比率（％）,９時台,９時台比率（％）,１０時台,１０時台比率（％）,１１時台,１１時台比率（％）,１２時以降,１２時以降比率（％）,不明,不明比率（％）,項目名,備考
築地,,2760,127,4.6,366,13.3,744,27.0,279,10.1,242,8.8,247,8.9,199,7.2,255,9.2,201,7.3,50,1.8,6,0.2,5,0.2,39,1.4,築地市場,
築地,水産物,2148,99,4.6,353,16.4,708,33.0,247,11.5,193,9.0,204,9.5,58,2.7,134,6.2,118,5.5,13,0.6,0,0.0,0,0.0,21,1.0,水産物,
築地,青果物,612,28,4.6,13,2.1,36,5.9,32,5.2,49,8.0,43,7.0,141,23.0,121,19.8,83,13.6,37,6.0,6,1.0,5,0.8,18,2.9,青果物,
大田,,1841,79,4.3,85,4.6,111,6.0,119,6.5,278,15.1,260,14.1,184,10.0,204,11.1,198,10.8,143,7.8,53,2.9,97,5.3,30,1.6,大田市場,
大田,水産物,328,6,1.8,16,4.9,7,2.1,21,6.4,46,14.0,62,18.9,38,11.6,44,13.4,27,8.2,18,5.5,20,6.1,20,6.1,3,0.9,水産物,
大田,青果物,1513,73,4.8,69,4.6,104,6.9,98,6.5,232,15.3,198,13.1,146,9.6,160,10.6,171,11.3,125,8.3,33,2.2,77,5.1,27,1.8,青果物,
豊島,,299,10,3.4,8,2.7,34,11.4,8,2.7,25,8.4,44,14.8,42,14.1,52,17.5,18,6.1,18,6.1,9,3.0,22,7.4,7,2.4,豊島市場,
淀橋,,614,21,3.4,30,4.9,70,11.4,47,7.7,70,11.4,81,13.2,105,17.1,84,13.7,53,8.6,25,4.1,6,1.0,12,2.0,9,1.5,淀橋市場,
足立,,601,1,0.2,11,1.8,15,2.5,43,7.2,79,13.1,65,10.8,108,18.0,99,16.5,78,13.0,60,10.0,8,1.3,31,5.2,3,0.5,足立市場,
板橋,,312,2,0.7,12,3.6,11,3.6,22,7.3,32,10.2,75,24.1,52,16.2,61,19.8,25,7.9,6,2.0,3,1.0,8,2.6,3,1.0,板橋市場,
世田谷,,122,10,8.2,4,3.3,3,2.5,3,2.5,14,11.5,10,8.2,32,26.2,43,35.2,1,0.8,1,0.8,1,0.8,0,0.0,0,0.0,世田谷市場,
北足立,,342,30,8.8,8,2.3,10,2.9,18,5.3,66,19.3,50,14.6,39,11.4,70,20.5,33,9.6,3,0.9,2,0.6,9,2.6,4,1.2,北足立市場,
多摩NT,,77,3,3.9,2,2.6,4,5.2,10,13.0,15,19.5,25,32.5,10,13.0,4,5.2,1,1.3,0,0.0,1,1.3,0,0.0,2,2.6,多摩NT市場,
葛西,,448,9,2.0,19,4.2,14,3.1,77,17.2,54,12.1,89,19.9,55,12.3,65,14.5,27,6.0,11,2.5,6,1.3,6,1.3,16,3.6,葛西市場,
,水産物計,3077,106,3.4,380,12.3,730,23.7,311,10.1,318,10.3,331,10.8,204,6.6,277,9.0,223,7.2,91,3.0,28,0.9,51,1.7,27,0.9,水産物計,
,青果物計,4339,186,4.3,165,3.8,286,6.6,315,7.3,557,12.8,615,14.2,622,14.3,660,15.2,412,9.5,226,5.2,67,1.5,139,3.2,86,2.0,青果物計,
食肉,,210,16,7.6,15,7.1,14,6.7,15,7.1,5,2.4,3,1.4,3,1.4,13,6.2,10,4.8,17,8.1,19,9.0,73,34.8,7,3.3,食肉市場,
,畜産物計,210,16,7.6,15,7.1,14,6.7,15,7.1,5,2.4,3,1.4,3,1.4,13,6.2,10,4.8,17,8.1,19,9.0,73,34.8,7,3.3,畜産物計,
大田,切花,401,15,3.8,14,3.5,33,8.3,26,6.6,50,12.4,26,6.6,66,16.4,44,10.9,25,6.3,38,9.6,42,10.4,15,3.8,6,1.5,大田市場,
板橋,切花,536,0,0.0,4,0.7,1,0.2,3,0.6,2,0.4,16,3.0,10,1.9,8,1.5,27,5.0,403,75.2,30,5.6,24,4.5,8,1.5,板橋市場,
北足立,切花,97,1,1.0,0,0.0,2,2.1,1,1.0,7,7.2,4,4.1,2,2.1,20,20.6,27,27.8,22,22.7,5,5.2,5,5.2,1,1.0,北足立市場,
葛西,切花,180,10,5.6,1,0.6,1,0.6,4,2.2,12,6.7,17,9.4,17,9.4,15,8.3,19,10.6,43,23.9,27,15.0,10,5.6,4,2.2,葛西市場,
世田谷,切花,598,13,2.2,1,0.2,0,0.0,12,2.0,76,12.7,10,1.7,11,1.8,35,5.9,28,4.7,167,27.9,235,39.3,7,1.2,3,0.5,世田谷市場,
,切花計,1812,39,2.2,20,1.1,37,2.0,46,2.5,147,8.1,73,4.0,106,5.8,122,6.7,126,7.0,673,37.1,339,18.7,61,3.4,22,1.2,切花計,
大田,鉢物,127,7,5.6,3,2.4,1,0.8,4,3.2,4,3.2,8,6.5,7,5.6,17,13.7,10,8.1,25,19.4,22,16.9,17,13.7,1,0.8,大田市場,
板橋,鉢物,400,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,4,1.0,0,0.0,3,0.8,126,31.5,261,65.3,3,0.8,2,0.5,板橋市場,
北足立,鉢物,56,2,3.6,4,7.1,2,3.6,1,1.8,1,1.8,0,0.0,0,0.0,12,21.4,13,23.2,9,16.1,5,8.9,6,10.7,1,1.8,北足立市場,
葛西,鉢物,135,6,4.4,2,1.5,2,1.5,15,11.1,2,1.5,4,3.0,4,3.0,5,3.7,14,10.4,30,22.2,29,21.5,19,14.1,3,2.2,葛西市場,
世田谷,鉢物,513,10,1.9,1,0.2,0,0.0,6,1.2,65,12.7,6,1.2,2,0.4,4,0.8,9,1.8,112,21.8,262,51.1,33,6.4,3,0.6,世田谷市場,
,鉢物計,1231,25,2.0,10,0.8,5,0.4,26,2.1,73,5.9,18,1.5,17,1.4,38,3.1,49,4.0,302,24.5,579,47.0,78,6.3,10,0.8,鉢物計,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：台・人）
