駅名,"自転車
放置台数","原動機付自転車
放置台数","自動二輪
放置台数",合計台数,前年合計台数,前年比台数
大崎,17,2,0,19,24,-5
大井町,120,6,2,128,130,-2
戸越公園,14,0,0,14,12,2
戸越,8,0,0,8,18,-10
中延,20,2,1,23,22,1
新馬場,9,1,1,11,7,4
旗の台,21,0,0,21,23,-2
五反田,160,10,4,174,188,-14
大井競馬場前,4,1,0,5,3,2
下神明,2,0,0,2,3,-1
戸越銀座,18,2,0,20,18,2
天王洲アイル,13,1,1,15,13,2
品川シーサイド,26,0,0,26,29,-3
大森,16,2,1,19,18,1
西大井,47,3,0,50,48,2
荏原町,35,0,0,35,32,3
青物横丁,35,1,0,36,39,-3
立会川,3,0,0,3,4,-1
荏原中延,19,1,0,20,17,3
西小山,35,0,0,35,32,3
武蔵小山,165,4,3,172,192,-20
目黒,99,2,0,101,104,-3
不動前,15,2,0,17,22,-5
北品川,14,0,0,14,20,-6
鮫洲,23,1,0,24,26,-2
大森海岸,22,0,0,22,19,3
大崎広小路,20,0,0,20,21,-1
計,980,41,13,1034,1084,-50
