危険物施設,火災(件数）,流出(件数）,その他(件数）,合計(件数）
給油取扱所,2,6,53,61
指定可燃物貯蔵取扱所,16,1,0,17
一般取扱所,9,4,1,14
少量危険物貯蔵取扱所,9,2,1,12
地下タンク貯蔵所,0,3,3,6
運搬車両,0,3,0,3
屋外タンク貯蔵所,0,2,0,2
無許可施設,1,1,0,2
移動タンク貯蔵所,1,0,0,1
合計,38,22,58,118
