消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十七,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,,,,,,,,,,,
令和2年度,"3,224",6,2,1,16,-,4,3,166,228,102,203,5,1,10,5,30,-,-,-,4,15,1,42,-,18,27,44,8,35,3,58,29,45,-,13,-,26,179,1230,176,2,-,26,-,-,-,-,345,116,-,-,-
特別区,"2,495",4,2,1,12,-,3,3,128,120,94,146,4,1,3,3,25,-,-,-,1,8,-,34,-,9,22,28,8,35,2,57,19,37,-,9,-,22,126,1022,129,2,-,21,-,-,-,-,279,76,-,-,-
丸の内,34,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,-
麹町,39,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,5,22,3,-,-,-,-,-,-,-,5,1,-,-,-
神田,30,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20,1,-,-,-,-,-,-,-,7,-,-,-,-
京橋,36,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,2,-,-,-,-,-,-,-,2,-,-,-,-
日本橋,9,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
臨港,20,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4,-,-,-,-,-,-,-,6,-,-,-,-
芝,28,-,-,-,-,-,-,-,5,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
麻布,42,-,-,-,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,25,1,-,-,-,-,-,-,-,7,-,-,-,-
赤坂,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,5,-,-,-,-
高輪,63,-,-,-,-,-,-,1,6,-,1,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,4,-,-,-,2,-,2,11,13,7,-,-,-,-,-,-,-,4,1,-,-,-
品川,32,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,17,2,-,-,-,-,-,-,-,3,1,-,-,-
大井,23,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,5,-,-,-,-,-,-,-,1,2,-,-,-
荏原,10,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,8,-,-,-,-
大森,55,1,-,-,-,-,-,-,1,2,7,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,3,3,19,-,-,-,8,-,-,-,-,2,-,-,-,-
田園調布,26,-,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,9,-,-,-,-
蒲田,38,-,-,-,-,-,-,-,4,1,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,16,-,-,-,-,-,-,-,-,8,-,-,-,-
矢口,9,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-
目黒,56,-,-,-,1,-,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-,3,33,5,-,-,-,-,-,-,-,-,-,-,-,-
世田谷,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
玉川,30,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,2,-,-,-,-,-,-,-,9,1,-,-,-
成城,11,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,4,-,-,-,-
渋谷,90,2,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,77,3,-,-,-,-,-,-,-,-,-,-,-,-
四谷,6,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
牛込,48,-,-,-,-,-,-,-,3,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,16,17,3,-,-,-,-,-,-,-,1,-,-,-,-
新宿,60,-,-,-,-,-,-,-,-,5,5,3,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,18,-,-,-,-,-,-,-,-,-,-,6,16,3,-,-,-,-,-,-,-,1,-,-,-,-
中野,27,-,-,-,-,-,-,-,-,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,10,4,-,-,-,-,-,-,-,-,-,-,-,-
野方,85,-,-,-,-,-,-,-,2,16,-,1,-,-,-,-,5,-,-,-,-,1,-,7,-,1,5,-,-,-,-,-,-,1,-,-,-,-,1,37,1,-,-,-,-,-,-,-,7,-,-,-,-
杉並,84,-,-,-,-,-,-,-,13,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,41,7,-,-,-,-,-,-,-,19,-,-,-,-
荻窪,63,-,-,-,-,-,-,-,3,2,-,2,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,1,-,-,-,7,-,-,1,-,1,1,30,4,-,-,-,-,-,-,-,7,-,-,-,-
小石川,39,-,-,-,-,-,-,-,1,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,4,-,-,-,-,-,-,-,3,-,-,-,-
本郷,49,-,-,-,-,-,-,-,5,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,4,-,-,-,-,-,-,17,3,-,-,4,-,-,-,-,8,-,-,-,-
豊島,90,-,-,-,-,-,1,-,3,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,6,70,2,1,-,-,-,-,-,-,-,-,-,-,-
池袋,45,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,7,-,-,-,-
王子,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,1,-,-,-,-
赤羽,34,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,5,6,2,-,-,-,-,-,-,-,10,-,-,-,-
滝野川,17,-,-,-,-,-,-,-,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,3,2,-,-,-
板橋,35,-,-,-,-,-,-,-,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,7,-,-,-,-
志村,23,-,-,-,2,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,2,-,4,-,-,-,-,-,-,-,-,2,3,-,-,-
練馬,63,-,-,-,-,-,-,-,2,1,-,7,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2,-,-,-,-,-,2,29,8,-,-,-,-,-,-,-,10,-,-,-,-
光が丘,38,-,-,-,-,-,-,-,1,6,-,13,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,1,4,1,-,-,-,-,-,-,-,7,-,-,-,-
石神井,40,-,-,-,-,-,-,-,6,10,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,20,-,-,-,-,-,-,-,-,1,-,-,-,-
上野,67,-,1,-,-,-,-,-,4,4,23,-,-,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,14,3,-,-,9,-,-,-,-,2,-,-,-,-
浅草,68,-,-,-,-,-,-,-,1,1,2,18,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,7,1,-,-,-,-,-,5,17,9,-,-,-,-,-,-,-,5,-,-,-,-
日本堤,81,-,-,-,-,-,-,-,2,2,5,12,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,35,-,2,-,-,-,-,-,-,2,11,-,1,-,-,-,-,-,-,7,-,-,-,-
荒川,79,-,-,-,-,-,-,-,-,1,5,4,-,-,1,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,9,1,1,-,2,-,2,2,29,9,-,-,-,-,-,-,-,9,-,-,-,-
尾久,11,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-
千住,26,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,13,1,-,-,-,-,-,-,-,8,-,-,-,-
足立,62,-,-,-,1,-,1,-,13,22,2,3,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,2,11,1,-,-,-,-,-,-,-,-,1,-,-,-
西新井,148,-,-,-,-,-,-,-,5,9,-,-,-,-,1,1,1,-,-,-,-,1,-,4,-,1,3,-,-,-,-,-,-,2,-,-,-,2,1,24,3,-,-,-,-,-,-,-,33,57,-,-,-
本所,94,-,-,1,-,-,-,2,9,-,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,1,6,-,-,-,1,6,47,4,-,-,-,-,-,-,-,6,2,-,-,-
向島,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,4,-,-,-,-,-,-,-,-,1,-,-,-,-
深川,30,-,-,-,-,-,-,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,17,2,-,-,-,-,-,-,-,1,-,-,-,-
城東,74,1,-,-,1,-,-,-,1,1,-,10,2,-,-,-,2,-,-,-,-,-,-,4,-,-,-,-,1,-,-,3,-,16,-,-,-,3,10,13,2,-,-,-,-,-,-,-,4,-,-,-,-
本田,51,-,-,-,4,-,1,-,6,2,-,-,-,-,-,-,2,-,-,-,-,3,-,1,-,-,2,-,-,-,-,1,-,-,-,-,-,-,1,22,4,-,-,-,-,-,-,-,2,-,-,-,-
金町,19,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,6,1,-,-,-
江戸川,39,-,1,-,2,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,7,1,-,-,-,-,-,-,-,19,4,-,-,-
葛西,40,-,-,-,-,-,-,-,2,4,2,5,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,20,2,-,-,-,-,-,-,-,-,-,-,-,-
小岩,46,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,14,9,-,-,-,-,-,-,-,2,-,-,-,-
受託地区,729,2,-,-,4,-,1,-,38,108,8,57,1,-,7,2,5,-,-,-,3,7,1,8,-,9,5,16,-,-,1,1,10,8,-,4,-,4,53,208,47,-,-,5,-,-,-,-,66,40,-,-,-
立川,16,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,2,3,-,-,-,3,-,-,-,-,-,-,-,-,-
武蔵野,42,-,-,-,-,-,-,-,2,5,1,2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,1,3,18,3,-,-,-,-,-,-,-,-,-,-,-,-
三鷹,22,-,-,-,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,3,-,-,-,-
府中,65,-,-,-,-,-,-,-,4,2,-,7,-,-,-,-,-,-,-,-,1,1,-,-,-,4,1,3,-,-,-,-,1,2,-,-,-,1,3,23,6,-,-,-,-,-,-,-,1,5,-,-,-
昭島,19,1,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-
調布,16,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,9,-,-,-,-,-,-,-,-,3,-,-,-,-
小金井,11,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,3,-,-,-,-
小平,68,-,-,-,-,-,-,-,3,11,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,1,-,1,28,3,6,-,-,-,-,-,-,-,5,-,-,-,-
東村山,11,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
国分寺,53,-,-,-,-,-,-,-,9,13,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,1,4,-,-,-,-,-,3,14,3,-,-,2,-,-,-,-,-,-,-,-,-
狛江,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,4,-,-,-,-
北多摩西部,38,-,-,-,1,-,1,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,-,-,-,-,-,-,-,23,1,-,-,-
清瀬,13,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,5,1,-,-,-,-,-,-,-,-,-,-,-,-
東久留米,31,-,-,-,-,-,-,-,-,5,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,7,1,-,-,-,-,-,-,-,3,-,-,-,-
西東京,60,-,-,-,-,-,-,-,5,14,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,23,4,-,-,-,-,-,-,-,4,6,-,-,-
八王子,61,-,-,-,-,-,-,-,-,8,-,17,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,1,-,-,-,-,-,3,13,6,-,-,-,-,-,-,-,-,7,-,-,-
青梅,26,-,-,-,1,-,-,-,-,7,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,2,5,-,-,-,-,-,-,-,-,5,-,-,-,-
町田,23,-,-,-,1,-,-,-,-,3,5,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,3,-,-,-,-,-,-,-,-,-,-,-,-
日野,34,-,-,-,-,-,-,-,3,3,-,2,-,-,-,1,-,-,-,-,-,2,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,10,3,-,-,-,-,-,-,-,5,-,-,-,-
福生,62,-,-,-,1,-,-,-,5,7,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,3,-,-,-,-,-,-,-,1,20,-,-,-
多摩,30,-,-,-,-,-,-,-,2,4,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,3,9,4,-,-,-,-,-,-,-,2,-,-,-,-
秋川,17,-,-,-,-,-,-,-,1,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,4,1,-,-,-
奥多摩,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
