消防署,合計／計,合計／従事人員,合計／不従事人員,当番／計,当番／従事人員,当番／不従事人員,非番／計,非番／従事人員,非番／不従事人員
計,229843,76459,153384,229519,76270,153249,324,189,135
特別区,176366,57754,118612,176158,57628,118530,208,126,82
丸の内,327,41,286,327,41,286,－,－,－
麹町,1283,276,1007,1254,276,978,29,－,29
神田,1219,450,769,1219,450,769,－,－,－
京橋,1485,311,1174,1484,311,1173,1,－,1
日本橋,1012,173,839,1012,173,839,－,－,－
臨港,1762,603,1159,1752,603,1149,10,－,10
芝,2124,808,1316,2123,808,1315,1,－,1
麻布,2073,657,1416,2068,652,1416,5,5,－
赤坂,1690,681,1009,1685,677,1008,5,4,1
高輪,1273,251,1022,1266,251,1015,7,－,7
品川,2568,819,1749,2559,810,1749,9,9,－
大井,1414,471,943,1414,471,943,－,－,－
荏原,3347,1308,2039,3342,1303,2039,5,5,－
大森,4634,1571,3063,4632,1569,3063,2,2,－
東調布,1758,718,1040,1758,718,1040,－,－,－
蒲田,2830,1032,1798,2825,1029,1796,5,3,2
矢口,2830,807,2023,2827,807,2020,3,－,3
目黒,3685,891,2794,3684,890,2794,1,1,－
世田谷,8296,2715,5581,8296,2715,5581,－,－,－
玉川,3361,873,2488,3352,864,2488,9,9,－
成城,3338,1295,2043,3336,1293,2043,2,2,－
渋谷,7374,1852,5522,7372,1850,5522,2,2,－
四谷,1630,654,976,1625,649,976,5,5,－
牛込,2225,934,1291,2224,933,1291,1,1,－
新宿,5189,1709,3480,5171,1701,3470,18,8,10
中野,2944,850,2094,2942,849,2093,2,1,1
野方,2061,945,1116,2061,945,1116,－,－,－
杉並,4842,1698,3144,4836,1694,3142,6,4,2
荻窪,3375,1258,2117,3372,1255,2117,3,3,－
小石川,1562,525,1037,1562,525,1037,－,－,－
本郷,2011,796,1215,2011,796,1215,－,－,－
豊島,3379,1157,2222,3377,1157,2220,2,－,2
池袋,3344,1062,2282,3342,1061,2281,2,1,1
王子,2929,797,2132,2928,796,2132,1,1,－
赤羽,2528,1029,1499,2523,1024,1499,5,5,－
滝野川,2329,887,1442,2328,886,1442,1,1,－
板橋,3443,896,2547,3443,896,2547,－,－,－
志村,7077,2682,4395,7070,2678,4392,7,4,3
練馬,2761,787,1974,2761,787,1974,－,－,－
光が丘,1817,534,1283,1816,534,1282,1,－,1
石神井,4103,1385,2718,4103,1385,2718,－,－,－
上野,2570,948,1622,2561,939,1622,9,9,－
浅草,1443,441,1002,1443,441,1002,－,－,－
日本堤,2143,597,1546,2135,589,1546,8,8,－
荒川,2114,732,1382,2114,732,1382,－,－,－
尾久,1490,362,1128,1490,362,1128,－,－,－
千住,1863,629,1234,1858,627,1231,5,2,3
足立,6636,2012,4624,6633,2009,4624,3,3,－
西新井,6376,2011,4365,6375,2010,4365,1,1,－
本所,2568,849,1719,2561,842,1719,7,7,－
向島,2377,834,1543,2375,832,1543,2,2,－
深川,3389,960,2429,3389,960,2429,－,－,－
城東,5166,1397,3769,5163,1394,3769,3,3,－
本田,5396,2025,3371,5388,2021,3367,8,4,4
金町,2852,970,1882,2848,966,1882,4,4,－
江戸川,6287,2198,4089,6279,2191,4088,8,7,1
小岩,4464,1601,2863,4464,1601,2863,－,－,－
受託地区,53477,18705,34772,53361,18642,34719,116,63,53
立川,6538,2234,4304,6500,2234,4266,38,－,38
国分寺,2168,989,1179,2164,985,1179,4,4,－
小平,1898,564,1334,1898,564,1334,－,－,－
武蔵野,2273,502,1771,2273,502,1771,－,－,－
保谷,2713,908,1805,2712,907,1805,1,1,－
三鷹,2548,756,1792,2535,743,1792,13,13,－
調布,3108,1060,2048,3101,1059,2042,7,1,6
府中,2947,1073,1874,2940,1066,1874,7,7,－
東村山,1392,334,1058,1391,333,1058,1,1,－
狛江,824,337,487,822,335,487,2,2,－
北多摩西部,3548,1641,1907,3547,1640,1907,1,1,－
清瀬,742,217,525,741,217,524,1,－,1
八王子,8686,2897,5789,8671,2885,5786,15,12,3
日野,2781,998,1783,2781,998,1783,－,－,－
町田,3488,1364,2124,3486,1362,2124,2,2,－
青梅,2054,579,1475,2054,579,1475,－,－,－
福生,2390,917,1473,2385,912,1473,5,5,－
秋川,1475,675,800,1458,662,796,17,13,4
奥多摩,50,11,39,49,10,39,1,1,－
多摩,1854,649,1205,1853,649,1204,1,－,1
八王子ｲ譁呻ｼ�/繧ｳ繝ｼ繝偵�鬟ｲ譁�/繧ｳ繝ｼ繝偵�縲∫ｼｶ蜈･繧奇ｼ茨ｼ托ｼ呻ｼ撰ｽ��繧奇ｼ�/�醍ｼｶ  (蜀�),102,97,99,98,
 �磯｣ｲ譁呻ｼ�/譫懷ｮ滄｣ｲ譁�/豼�ｸｮ驍��繧ｸ繝･繝ｼ繧ｹ縲∫ｴ吝ｮｹ蝎ｨ蜈･繧奇ｼ茨ｼ托ｼ鯉ｼ撰ｼ撰ｼ仁�ｬ蜈･繧奇ｼ�/�第悽  (蜀�),195,205,204,208,
 �磯｣ｲ譁呻ｼ�/譫懷ｮ滄｣ｲ譁�/�抵ｼ撰ｽ橸ｼ難ｼ撰ｼ�棡螳滓棡豎√�√�繝�ヨ繝懊ヨ繝ｫ蜈･繧奇ｼ茨ｼ托ｼ包ｼ撰ｼ仁�ｬ蜈･繧奇ｼ�/�第悽  (蜀�),240,229,229,235,蟷ｳ謌�20蟷ｴ1譛医°繧牙渕譛ｬ驫俶氛謾ｹ豁｣
 �磯｣ｲ譁呻ｼ�/驥手除繧ｸ繝･繝ｼ繧ｹ/繝医�繝医ず繝･繝ｼ繧ｹ縲√�繝�ヨ繝懊ヨ繝ｫ蜈･繧奇ｼ茨ｼ呻ｼ撰ｼ撰ｽ��繧奇ｼ峨�後き繧ｴ繝｡縲�/�第悽  (蜀�),298,295,293,287,
 �磯｣ｲ譁呻ｼ�/繧ｳ繝ｼ繝ｩ/繝壹ャ繝医�繝医Ν蜈･繧奇ｼ茨ｼ包ｼ撰ｼ仁�ｬ蜈･繧奇ｼ峨�√�後さ繧ｫ繝ｻ繧ｳ繝ｼ繝ｩ縲�/�第悽  (蜀�),116,116,114,114,
 �磯｣ｲ譁呻ｼ�/荵ｳ驟ｸ闖碁｣ｲ譁�/縲後き繝ｫ繝斐せ縲∫ｴ吝ｮｹ蝎ｨ蜈･繧確�ｬ�包ｼ撰ｼ仁�ｬ蜈･繧奇ｼ峨��/�第悽  (蜀�),396,369,354,351,
 �磯｣ｲ譁呻ｼ�/荵ｳ驟ｸ闖碁｣ｲ譁�/驟埼＃�第悽譛医℃繧√�√�後Ζ繧ｯ繝ｫ繝茨ｼ費ｼ撰ｼ撰ｼ茨ｼ假ｼ仁�ｬ蜈･繧奇ｼ峨��/�第悽  (蜀�),74,74,74,74,
 �磯｣ｲ譁呻ｼ�/繧ｹ繝昴�繝�ラ繝ｪ繝ｳ繧ｯ/繝壹ャ繝医�繝医Ν蜈･繧奇ｼ茨ｼ包ｼ撰ｼ仁�ｬ蜈･繧奇ｼ�/�第悽  (蜀�),117,120,117,120,
 �磯｣ｲ譁呻ｼ�/繝溘ロ繝ｩ繝ｫ繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ/繝壹ャ繝医�繝医Ν蜈･繧奇ｼ�2000mL蜈･繧�)/�第悽  (蜀�),172,161,161,161,
 �磯�鬘橸ｼ�/貂��/迚ｹ謦ｰ蜿医�迚ｹ謦ｰ縺ｫ逶ｸ蠖薙☆繧区悽驢ｸ騾�驟抵ｽ､逑ｶ隧ｰ(1800mL蜈･繧�)/�第悽  (蜀�),        -,        -,        -,        -,
 �磯�鬘橸ｼ�/貂��/荳頑腸蜿医�荳頑腸縺ｫ逶ｸ蠖薙☆繧区勸騾夐�縲∫童隧ｰ(1800mL蜈･繧�)/�第悽  (蜀�),        -,        -,        -,        -,
 �磯�鬘橸ｼ�/貂��/譎ｮ騾夐�縲∫ｴ吝ｮｹ蝎ｨ蜈･繧�(�抵ｼ撰ｼ撰ｼ仁L蜈･繧�)縲�ｼ托ｼ灘ｺｦ莉･荳奇ｼ托ｼ門ｺｦ譛ｪ貅�/�第悽  (蜀�),1171,1178,1160,1165,
 �磯�鬘橸ｼ�/辟ｼ縺｡繧�≧/荵咎｡槭�√い繝ｫ繧ｳ繝ｼ繝ｫ蛻�ｼ抵ｼ募ｺｦ�茨ｼ托ｼ假ｼ撰ｼ仁�ｬ蜈･繧奇ｼ�/�第悽  (蜀�),1574,1574,1568,1572,
 �磯�鬘橸ｼ�/繝√Η繝ｼ繝上う/郛ｶ蜈･繧奇ｼ茨ｼ難ｼ包ｼ仁�ｬ蜈･繧奇ｼ�/�醍ｼｶ  (蜀�),137,135,134,135,
 �磯�鬘橸ｼ�/繝薙�繝ｫ�亥嵜逕｣蜩�ｼ�/豺｡濶ｲ縲∫ｼｶ蜈･繧奇ｼ茨ｼ難ｼ包ｼ仁�ｬ蜈･繧奇ｼ峨��ｼ也ｼｶ蜈･繧�/�代ヱ繝�け  (蜀�),1196,1196,1187,1184,
 �磯�鬘橸ｼ�/繝薙�繝ｫ�郁ｼｸ蜈･蜩�ｼ�/豺｡濶ｲ縲∫ｼｶ蜈･繧奇ｼ茨ｼ難ｼ包ｼ仁�ｬ蜈･繧奇ｼ�/�醍ｼｶ  (蜀�),        -,        -,        -,        -,
 �磯�鬘橸ｼ�/逋ｺ豕｡驟�/郛ｶ蜈･繧奇ｼ茨ｼ難ｼ包ｼ仁�ｬ蜈･繧奇ｼ会ｼ也ｼｶ蜈･繧翫��ｺｦ闃ｽ菴ｿ逕ｨ邇�ｼ抵ｼ包ｼ�悴貅�/�代ヱ繝�け  (蜀�),826,833,820,826,
 �磯�鬘橸ｼ�/繝薙�繝ｫ鬚ｨ繧｢繝ｫ繧ｳ繝ｼ繝ｫ鬟ｲ譁�/縺昴�莉悶�驢ｸ騾�驟抵ｼ育匱豕｡諤ｧ�会ｼ檎ｼｶ蜈･繧奇ｼ茨ｼ難ｼ包ｼ撰ｽ搾ｼｬ蜈･繧奇ｼ会ｼ鯉ｼ也ｼｶ蜈･繧�/�代ヱ繝�け  (蜀�),        -,        -,717,721,蟷ｳ謌�20蟷ｴ1譛医°繧芽ｿｽ蜉�蜩∫岼
 �磯�鬘橸ｼ�/繧ｦ繧､繧ｹ繧ｭ繝ｼ�郁ｼｸ蜈･蜩�ｼ�/逑ｶ隧ｰ�茨ｼ暦ｼ撰ｼ仁�ｬ蜈･繧奇ｼ峨�後す繝ｼ繝舌せ繝ｪ繝ｼ繧ｬ繝ｫ�托ｼ貞ｹｴ縲�/�第悽  (蜀�),        -,        -,        -,        -,
 �磯�鬘橸ｼ�/繧ｦ繧､繧ｹ繧ｭ繝ｼ�亥嵜逕｣蜩�ｼ�/逑ｶ隧ｰ�茨ｼ暦ｼ包ｼ仁�ｬ蜈･繧奇ｼ峨�後し繝ｳ繝医Μ繝ｼ�懊Μ繧ｶ繝ｼ繝厄ｼ托ｼ仙ｹｴ�槭��/�第悽  (蜀�),        -,        -,        -,        -,
 �磯�鬘橸ｼ�/繧ｦ繧､繧ｹ繧ｭ繝ｼ�亥嵜逕｣蜩�ｼ�/逑ｶ蜈･繧奇ｼ茨ｼ暦ｼ撰ｼ仁�ｬ蜈･繧奇ｼ峨�後し繝ｳ繝医Μ繝ｼ繧ｦ繧､繧ｹ繧ｭ繝ｼ縲�隗堤童縲�/�第悽  (蜀�),1351,1325,1343,1321,
 �磯�鬘橸ｼ�/繧ｦ繧､繧ｹ繧ｭ繝ｼ�亥嵜逕｣蜩�ｼ�/逑ｶ隧ｰ�茨ｼ厄ｼ費ｼ仁�ｬ蜈･繧奇ｼ峨�後し繝ｳ繝医Μ繝ｼ�懊Ξ繝�ラ�槭��/�第悽  (蜀�),        -,        -,        -,        -,
 �磯�鬘橸ｼ�/縺ｶ縺ｩ縺��/逑ｶ隧ｰ�茨ｼ暦ｼ抵ｼ仁L蜈･繧奇ｼ峨�√い繝ｫ繧ｳ繝ｼ繝ｫ蛻�15��悴貅�/�第悽  (蜀�),358,356,352,345,
 �磯�鬘橸ｼ�/縺ｶ縺ｩ縺��/霈ｸ蜈･蜩√�∫童隧ｰ�茨ｼ暦ｼ包ｼ仁�ｬ蜈･繧奇ｼ峨�√�後�繧ｸ繝ｧ繝ｬ繝ｼ�郁ｵ､�峨��/�第悽  (蜀�),1144,1321,1329,1297,
 �亥､夜｣滂ｼ�/縺九￠縺�←繧�/荳ｦ/�第擶  (蜀�),509,511,499,499,
 �亥､夜｣滂ｼ�/荳ｭ闖ｯ縺昴�/繝ｩ繝ｼ繝｡繝ｳ/�第擶  (蜀�),563,582,587,587,
 �亥､夜｣滂ｼ�/繧ｹ繝代ご繝�ユ繧｣�亥､夜｣滂ｼ�/繝溘�繝医�繧ｽ繝ｼ繧ｹ/�醍堊  (蜀�),764,754,754,755,
 �亥､夜｣滂ｼ�/縺吶＠(螟夜｣滂ｼ�/縺ｫ縺弱ｊ縺壹＠�域ｱ滓虻蜑搾ｼ峨�∽ｸｦ/�台ｺｺ蜑�  (蜀�),1236,1236,1236,1236,
 �亥､夜｣滂ｼ�/縺吶＠(螟夜｣滂ｼ�/縺ｮ繧雁ｷｻ�医°繧薙�繧�≧蜈･繧奇ｼ峨�∽ｸｦ/�台ｺｺ蜑�  (蜀�),        -,        -,        -,        -,
 �亥､夜｣滂ｼ�/縺吶＠(螟夜｣滂ｼ�/蝗櫁ｻ｢縺壹＠蠎励↓縺翫￠繧九↓縺弱ｊ縺壹＠縲√∪縺舌ｍ(襍､霄ｫ)縲�ｼ貞��/�醍堊  (蜀�),130,130,130,130,
 �亥､夜｣滂ｼ�/隕ｪ蟄舌←繧薙�繧�/荳ｦ/�第擶  (蜀�),805,812,809,809,
