年/前年比,３年,２年,前年比
火災件数_合計（件）,3939,3694,245
火災種別_建物（件）,2812,2667,145
火災種別_林野（件）,6,1,5
火災種別_車両（件）,215,216,-1
火災種別_船舶（件）,1,0,1
火災種別_航空機（件）,0,0,0
火災種別_その他（件）,901,809,92
治外法権（件）,4,1,3
管外からの延焼火災（件）,0,0,0
火災による死者（人）,86,86,0
火災による負傷者（人）,664,710,-46
焼損床面積（）,16448,16136,312
焼損棟数（棟）,3228,3028,200
り災世帯数（世帯）,2382,2239,143
損害額（円）,4208012095,5601522177,-1393510082
