危険物施設,火災(件数）,流出(件数）,その他(件数）,合計(件数）
給油取扱所,7,6,61,74
一般取扱所,9,1,3,13
少量危険物貯蔵取扱所,7,3,1,11
指定可燃物貯蔵取扱所,8,0,0,8
地下タンク貯蔵所,0,3,5,8
運送車両,1,4,0,5
屋内タンク貯蔵所,0,1,1,2
無許可施設,1,0,0,1
屋外タンク貯蔵所,0,1,0,1
製造所,0,1,0,1
合計,33,20,71,124
