覚知方法,計・火災件数,計・建物火災・  小計,計・建物火災・  全焼,計・建物火災・  半焼,計・建物火災・  部分焼,計・建物火災・  ぼや,計・建物以外の火災,計・火災１件当たり焼損床面積(㎡),計・損害額(円),特別区・火災件数,特別区・建物・小計,特別区・建物・全焼,特別区・建物・半焼,特別区・火災・部分焼,特別区・火災・ぼや,特別区・建物以外の火災,特別区・火災１件当たり焼損床面積（㎡）,特別区・損害額（円）,受託地区・火災件数,受託地区・建物火災・小計,受託地区・建物火災・全焼,受託地区・建物火災・半焼,受託地区・建物火災・部分焼,受託地区・建物火災・ぼや,受託地区・建物以外の火災,受託地区・火災１件当たり焼損床面積(㎡),受託地区・損害額(円)
平成30年,3972,2696,64,87,447,2098,1276,6.9,1528445,2912,2047,27,66,330,1624,865,5.4,805545,1060,649,37,21,117,474,411,11.7,3514373
令和元年,4085,2904,81,83,455,2285,1181,6.3,1882238,3049,2228,39,55,355,1779,821,5.4,1877518,1036,676,42,28,100,506,360,9.4,1896128
令和2年,3693,2667,63,73,404,2127,1026,6.1,1513118,2736,2061,30,53,316,1662,675,5.1,1646305,957,606,33,20,88,465,351,9.3,1132344
令和3年,3935,2812,71,76,349,2316,1123,6,1069381,2813,2092,35,45,244,1768,721,4,898282,1122,720,36,31,105,548,402,10,1498347
令和4年,3952,2850,80,75,387,2308,1102,7.7,1383280,2896,2130,45,50,284,1751,766,5.7,1055481,1056,720,35,25,103,557,336,13.6,2282242
報知電話,1717,1242,72,69,328,773,475,16.3,2863646,1226,899,38,45,236,580,327,11.8,2086174,491,343,34,24,92,193,148,28,4804951
加入電話,65,37,1,1,2,33,28,3.2,340790,46,28,1,1,2,24,18,4.2,468982,19,9,0,0,0,9,10,0,30433
警察電話,251,121,6,4,33,78,130,11.4,1744318,202,100,5,4,28,63,102,12.9,2108384,49,21,1,0,5,15,28,4.4,243473
専用電話,9,4,0,0,1,3,5,0,818956,8,3,0,0,1,2,5,0,921075,1,1,0,0,0,1,0,0,2000
駆付,18,9,0,1,1,7,9,10.1,1419484,14,7,0,0,1,6,7,0,9237,4,2,0,1,0,1,2,45.5,6355350
事後聞知,1862,1421,0,0,18,1403,441,0,28524,1384,1083,0,0,13,1070,301,0,29245,478,338,0,0,5,333,140,0,26434
その他,30,16,1,0,4,11,14,2.1,127761,16,10,1,0,3,6,6,3.4,223929,14,6,0,0,1,5,8,0,17854
