消防署,合計・計,合計・従事人員,合計・不従事人員,当番・計,当番・従事人員,当番・不従事人員,当番以外・計,当番以外・従事人員,当番以外・不従事人員
令和4年,120768,53638,67130,117604,51704,65900,3164,1934,1230
特別区,86599,36237,50362,84234,34842,49392,2365,1395,970
丸の内,436,41,395,409,38,371,27,3,24
麹町,734,258,476,720,253,467,14,5,9
神田,1194,306,888,1170,298,872,24,8,16
京橋,1262,637,625,1250,627,623,12,10,2
日本橋,623,176,447,619,172,447,4,4,0
臨港,699,329,370,677,314,363,22,15,7
芝,1795,515,1280,1769,504,1265,26,11,15
麻布,1461,637,824,1417,608,809,44,29,15
赤坂,952,410,542,931,395,536,21,15,6
高輪,409,106,303,383,95,288,26,11,15
品川,1410,652,758,1366,628,738,44,24,20
大井,1565,682,883,1539,659,880,26,23,3
荏原,929,484,445,897,459,438,32,25,7
大森,2349,997,1352,2288,973,1315,61,24,37
田園調布,1223,630,593,1192,606,586,31,24,7
蒲田,1567,744,823,1528,714,814,39,30,9
矢口,731,426,305,710,412,298,21,14,7
目黒,2494,999,1495,2428,957,1471,66,42,24
世田谷,2763,1135,1628,2712,1111,1601,51,24,27
玉川,1075,521,554,1045,500,545,30,21,9
成城,1246,554,692,1215,534,681,31,20,11
渋谷,3970,851,3119,3910,839,3071,60,12,48
四谷,588,132,456,577,128,449,11,4,7
牛込,759,323,436,750,318,432,9,5,4
新宿,3800,1522,2278,3701,1476,2225,99,46,53
中野,1268,570,698,1238,552,686,30,18,12
野方,2121,743,1378,2066,710,1356,55,33,22
杉並,2232,944,1288,2171,909,1262,61,35,26
荻窪,1306,550,756,1280,534,746,26,16,10
小石川,822,250,572,782,232,550,40,18,22
本郷,937,319,618,900,299,601,37,20,17
豊島,1536,596,940,1490,568,922,46,28,18
池袋,2159,1050,1109,2084,996,1088,75,54,21
王子,708,347,361,676,327,349,32,20,12
赤羽,1062,489,573,1041,474,567,21,15,6
滝野川,884,437,447,861,418,443,23,19,4
板橋,2188,1030,1158,2091,967,1124,97,63,34
志村,2780,1063,1717,2693,1020,1673,87,43,44
練馬,1553,513,1040,1515,496,1019,38,17,21
光が丘,999,470,529,975,456,519,24,14,10
石神井,1837,727,1110,1800,700,1100,37,27,10
上野,1362,483,879,1321,464,857,41,19,22
浅草,1084,546,538,1029,520,509,55,26,29
日本堤,504,219,285,492,214,278,12,5,7
荒川,1007,299,708,986,289,697,21,10,11
尾久,919,577,342,875,547,328,44,30,14
千住,993,344,649,968,332,636,25,12,13
足立,2045,931,1114,1990,893,1097,55,38,17
西新井,1712,902,810,1638,854,784,74,48,26
本所,1479,331,1148,1448,328,1120,31,3,28
向島,1356,932,424,1275,863,412,81,69,12
深川,1945,910,1035,1922,900,1022,23,10,13
城東,2710,1268,1442,2640,1219,1421,70,49,21
本田,2755,1473,1282,2647,1408,1239,108,65,43
金町,1544,764,780,1483,718,765,61,46,15
江戸川,1678,613,1065,1660,603,1057,18,10,8
葛西,1880,840,1040,1840,813,1027,40,27,13
小岩,1200,640,560,1154,601,553,46,39,7
受託地区,34169,17401,16768,33370,16862,16508,799,539,260
立川,2684,1041,1643,2637,1008,1629,47,33,14
武蔵野,1410,432,978,1396,422,974,14,10,4
三鷹,1118,608,510,1081,585,496,37,23,14
府中,1515,884,631,1486,863,623,29,21,8
昭島,217,114,103,207,108,99,10,6,4
調布,1411,503,908,1349,468,881,62,35,27
小金井,956,491,465,943,485,458,13,6,7
小平,1488,753,735,1442,721,721,46,32,14
東村山,1401,648,753,1379,629,750,22,19,3
国分寺,1081,559,522,1062,544,518,19,15,4
狛江,593,281,312,584,279,305,9,2,7
北多摩西部,1342,786,556,1295,750,545,47,36,11
清瀬,409,199,210,401,197,204,8,2,6
東久留米,848,434,414,832,425,407,16,9,7
西東京,1090,363,727,1074,354,720,16,9,7
八王子,4393,1950,2443,4323,1918,2405,70,32,38
青梅,1368,775,593,1329,746,583,39,29,10
町田,4420,2311,2109,4320,2254,2066,100,57,43
日野,1091,614,477,1056,584,472,35,30,5
福生,1547,813,734,1488,768,720,59,45,14
多摩,1055,594,461,1030,570,460,25,24,1
秋川,2725,2241,484,2649,2177,472,76,64,12
奥多摩,7,7,0,7,7,0,0,0,0
