区名,人口集中地区人口(Ｈ22国調)（人）,改良済道路延長(Ｈ25.4.1)（km）,交通事故発生件数・平成24年（件）,交通事故発生件数・平成25年（件）,交通事故発生件数・合計（件）,交付金額・9月期（千円）,交付金額・3月期（千円）,交付金額・計（千円）
総計,12917160 ,15293 ,47429 ,42040 ,89469 ,720317 ,761978 ,1482295 
市町村計,3971465 ,6462 ,15240 ,13570 ,28810 ,247107 ,261397 ,508504 
区計,8945695 ,8831 ,32189 ,28470 ,60659 ,473210 ,500581 ,973791 
千代田区,47115 ,130 ,973 ,889 ,1862 ,9690 ,10250 ,19940 
中央区,122762 ,147 ,1065 ,1024 ,2089 ,11860 ,12546 ,24406 
港区,205131 ,202 ,1860 ,1692 ,3552 ,19550 ,20681 ,40231 
新宿区,326309 ,295 ,1627 ,1434 ,3061 ,20359 ,21537 ,41896 
文京区,206626 ,75 ,756 ,626 ,1382 ,9333 ,9873 ,19206 
台東区,175928 ,187 ,1003 ,806 ,1809 ,11945 ,12636 ,24581 
墨田区,247606 ,252 ,1025 ,865 ,1890 ,14037 ,14849 ,28886 
江東区,460819 ,307 ,1495 ,1331 ,2826 ,21430 ,22670 ,44100 
品川区,365302 ,158 ,1172 ,998 ,2170 ,15699 ,16607 ,32306 
目黒区,268330 ,267 ,919 ,847 ,1766 ,14003 ,14813 ,28816 
大田区,693373 ,710 ,2099 ,1762 ,3861 ,33593 ,35536 ,69129 
世田谷区,877138 ,856 ,2905 ,2450 ,5355 ,43895 ,46434 ,90329 
渋谷区,204492 ,204 ,1434 ,1408 ,2842 ,16705 ,17671 ,34376 
中野区,314750 ,176 ,684 ,625 ,1309 ,11738 ,12417 ,24155 
杉並区,549569 ,418 ,1887 ,1774 ,3661 ,27340 ,28921 ,56261 
豊島区,284678 ,192 ,787 ,695 ,1482 ,12204 ,12909 ,25113 
北区,335544 ,231 ,735 ,647 ,1382 ,12970 ,13720 ,26690 
荒川区,203296 ,198 ,512 ,424 ,936 ,8939 ,9457 ,18396 
板橋区,535824 ,612 ,1710 ,1445 ,3155 ,27396 ,28981 ,56377 
練馬区,716124 ,877 ,1896 ,1606 ,3502 ,34432 ,36423 ,70855 
足立区,683426 ,851 ,2270 ,2223 ,4493 ,37662 ,39840 ,77502 
葛飾区,442586 ,555 ,1536 ,1331 ,2867 ,24263 ,25667 ,49930 
江戸川区,678967 ,931 ,1839 ,1568 ,3407 ,34167 ,36143 ,70310 
