区分,12月交付分（千円）　Ａ,3月交付分（千円）　Ｂ,合計（千円）（Ａ＋Ｂ）　Ｃ
市町村計,1939037,4773799,6712836
市計,1221375,3059233,4280608
町村計,717662,1714566,2432228
八王子市,258017,69390,327407
立川市,6362,38845,45207
武蔵野市,38971,17044,56015
三鷹市,5722,52101,57823
青梅市,15746,168694,184440
府中市,5638,49437,55075
昭島市,57827,66100,123927
調布市,2593,62034,64627
町田市,66890,18484,85374
小金井市,3399,44433,47832
小平市,101037,27799,128836
日野市,82811,100234,183045
東村山市,81139,50783,131922
国分寺市,3854,45978,49832
国立市,39451,71452,110903
福生市,43666,319710,363376
狛江市,9072,254029,263101
東大和市,106636,86047,192683
清瀬市,20669,128170,148839
東久留米市,4835,135266,140101
武蔵村山市,29058,151932,180990
多摩市,760,71253,72013
稲城市,77326,188421,265747
羽村市,9211,56042,65253
あきる野市,65782,500794,566576
西東京市,84903,284761,369664
瑞穂町,10350,41081,51431
日の出町,10112,37944,48056
檜原村,10447,190074,200521
奥多摩町,105230,88490,193720
大島町,118231,241961,360192
利島村,3552,60840,64392
新島村,98448,117068,215516
神津島村,78300,96506,174806
三宅村,52547,255293,307840
御蔵島村,4225,102334,106559
八丈町,161998,184783,346781
青ヶ島村,8900,128115,137015
小笠原村,55322,170077,225399
