区分,9月交付分（千円）　Ａ,3月交付分（千円）　Ｂ,合計（千円）（Ａ＋Ｂ）　Ｃ
市町村計,2422 ,151 ,2573 
市計,2416 ,149 ,2565 
町村計,6 ,2 ,8 
八王子市,485 ,7 ,492 
立川市,151 ,3 ,154 
武蔵野市,143 ,0 ,143 
三鷹市,37 ,0 ,37 
青梅市,106 ,2 ,108 
府中市,0 ,0 ,0 
昭島市,0 ,1 ,1 
調布市,32 ,3 ,35 
町田市,260 ,76 ,336 
小金井市,135 ,1 ,136 
小平市,466 ,2 ,468 
日野市,105 ,43 ,148 
東村山市,65 ,2 ,67 
国分寺市,55 ,0 ,55 
国立市,0 ,1 ,1 
福生市,9 ,0 ,9 
狛江市,0 ,1 ,1 
東大和市,161 ,2 ,163 
清瀬市,0 ,1 ,1 
東久留米市,0 ,1 ,1 
武蔵村山市,29 ,1 ,30 
多摩市,115 ,0 ,115 
稲城市,62 ,1 ,63 
羽村市,0 ,1 ,1 
あきる野市,0 ,0 ,0 
西東京市,0 ,0 ,0 
瑞穂町,0 ,1 ,1 
日の出町,0 ,0 ,0 
檜原村,0 ,0 ,0 
奥多摩町,0 ,0 ,0 
大島町,0 ,1 ,1 
利島村,0 ,0 ,0 
新島村,0 ,0 ,0 
神津島村,0 ,0 ,0 
三宅村,0 ,0 ,0 
御蔵島村,0 ,0 ,0 
八丈町,6 ,0 ,6 
青ヶ島村,0 ,0 ,0 
小笠原村,0 ,0 ,0 
