区市町村名,内訳　助成交付金（千円）,内訳　調整交付金（千円）,合計（千円）
区市町村計,3649390,369163,4018553
区計,27615,2173,29788
市町村計,3621775,366990,3988765
八王子市,1287,332,1619
立川市,459736,1008,460744
府中市,3664,517,4181
昭島市,13107,0,13107
福生市,1409833,199380,1609213
清瀬市,28253,0,28253
武蔵村山市,435666,33455,469121
多摩市,21369,4181,25550
稲城市,229987,6077,236064
羽村市,196125,51774,247899
瑞穂町,728522,22554,751076
新島村,13726,0,13726
小笠原村,80500,47712,128212
