市町村名,交付金（円）　国有資産,交付金（円）　都有財産,交付金（円）　公有財産（都を除く）,計（円）
市町村計,497116000,8701687700,8830500,9207634200
市計,495304000,8262211300,8830500,8766345800
町村計,1812000,439476400,0,441288400
八王子市,15843600,843435700,281600,859560900
立川市,59767700,379544600,0,439312300
武蔵野市,19690900,605214500,5432000,630337400
三鷹市,42091100,296859900,0,338951000
青梅市,1251500,32598000,0,33849500
府中市,21522800,360813300,0,382336100
昭島市,27975600,272692900,0,300668500
調布市,43588000,926759200,0,970347200
町田市,19567600,566715100,1049400,587332100
小金井市,112534400,52890000,0,165424400
小平市,14690500,470696600,931600,486318700
日野市,2930800,176174400,0,179105200
東村山市,27852000,741792700,0,769644700
国分寺市,6655100,146384600,0,153039700
国立市,6143000,182401300,148400,188692700
福生市,9748500,57289400,0,67037900
狛江市,460400,69858200,987500,71306100
東大和市,185000,543752200,0,543937200
清瀬市,6733100,252507800,0,259240900
東久留米市,25676300,181416900,0,207093200
武蔵村山市,19229400,323407800,0,342637200
多摩市,1538400,209545900,0,211084300
稲城市,2694500,82164300,0,84858800
羽村市,469400,84796600,0,85266000
あきる野市,1512500,153900,0,1666400
西東京市,4951900,402345500,0,407297400
瑞穂町,107700,74181200,0,74288900
日の出町,0,2900,0,2900
檜原村,0,0,0,0
奥多摩町,0,145471200,0,145471200
大島町,0,67835500,0,67835500
利島村,0,2092000,0,2092000
新島村,0,13110200,0,13110200
神津島村,1000,23698400,0,23699400
三宅村,18500,21310200,0,21328700
御蔵島村,0,497400,0,497400
八丈町,4600,62664600,0,62669200
青ヶ島村,3900,593800,0,597700
小笠原村,1676300,28019000,0,29695300
