年度,区部／地区数,区部／指定面積(ha),市部／地区数,市部／指定面積(ha),東京都全体／地区数,東京都全体／指定面積(ha)
4,2434,564,9852,3419,12286,3983
5,2595,593,10101,3480,12696,4073
6,2580,591,10095,3469,12675,4060
7,2572,581,10076,3458,12648,4039
8,2574,575,10257,3478,12831,4053
9,2528,558,10263,3455,12791,4013
10,2513,546,10224,3425,12737,3971
11,2496,541,10149,3385,12645,3926
12,2519,541,10101,3344,12620,3885
13,2503,538,10033,3302,12536,3840
14,2487,532,10007,3281,12494,3813
15,2455,522,10012,3263,12467,3785
16,2425,515,10003,3228,12428,3743
