年,女性（人）,男性（人）,計（人）
平成９（１９９７）年,625,1389,2014
平成１０（１９９８）年,834,1906,2740
平成１１（１９９９）年,836,1991,2827
平成１２（２０００）年,847,1933,2780
平成１３（２００１）年,780,1787,2567
平成１４（２００２）年,745,1818,2563
平成１５（２００３）年,810,1933,2743
平成１６（２００４）年,819,1860,2679
平成１７（２００５）年,805,1864,2669
平成１８（２００６）年,831,1679,2510
平成１９（２００７）年,931,1895,2826
平成２０（２００８）年,892,1884,2776
平成２１（２００９）年,877,1985,2862
平成２２（２０１０）年,900,1927,2827
平成２３（２０１１）年,1002,1917,2919
平成２４（２０１２）年,864,1711,2575
平成２５（２０１３）年,881,1739,2620
平成２６（２０１４）年,830,1613,2443
平成２７（２０１５）年,692,1598,2290
