開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
★都計,5313006,5512669,10825675,2866119,2918170,5784289,2446887,2594499,5041386,53.95,52.94,53.43,-,61.18,61.08,61.13
☆区部計,3634789,3786194,7420983,1944770,1993105,3937875,1690019,1793089,3483108,53.50,52.64,53.06,-,60.76,60.75,60.75
千代田区,22460,22985,45445,13410,13399,26809,9050,9586,18636,59.71,58.29,58.99,10,67.57,65.37,66.45
中央区,52926,59783,112709,29740,31993,61733,23186,27790,50976,56.19,53.52,54.77,29,63.49,62.25,62.83
港区,86100,101303,187403,45381,50131,95512,40719,51172,91891,52.71,49.49,50.97,57,59.65,57.16,58.31
新宿区,127676,129029,256705,66152,67422,133574,61524,61607,123131,51.81,52.25,52.03,49,59.39,60.92,60.16
文京区,79618,89516,169134,48525,52333,100858,31093,37183,68276,60.95,58.46,59.63,8,68.13,66.45,67.24
台東区,79199,74978,154177,42898,40894,83792,36301,34084,70385,54.16,54.54,54.35,33,61.38,62.72,62.03
墨田区,106569,106073,212642,55760,54654,110414,50809,51419,102228,52.32,51.52,51.92,51,59.92,59.89,59.91
江東区,195282,199390,394672,109101,109599,218700,86181,89791,175972,55.87,54.97,55.41,23,63.12,63.50,63.31
品川区,151138,159097,310235,81488,83837,165325,69650,75260,144910,53.92,52.70,53.29,41,61.58,61.74,61.66
目黒区,104596,121206,225802,57787,63570,121357,46809,57636,104445,55.25,52.45,53.74,38,62.42,60.32,61.29
大田区計,291480,292695,584175,156132,154490,310622,135348,138205,273553,53.57,52.78,53.17,-,60.69,61.00,60.85
大田３区,72088,80052,152140,42438,45117,87555,29650,34935,64585,58.87,56.36,57.55,15,65.86,64.57,65.18
大田４区,219392,212643,432035,113694,109373,223067,105698,103270,208968,51.82,51.44,51.63,53,59.00,59.67,59.33
世田谷区計,339398,385173,724571,192786,208468,401254,146612,176705,323317,56.80,54.12,55.38,-,64.45,62.70,63.52
世田谷５区,117620,137026,254646,67811,73944,141755,49809,63082,112891,57.65,53.96,55.67,21,65.83,63.02,64.32
世田谷６区,221778,248147,469925,124975,134524,259499,96803,113623,210426,56.35,54.21,55.22,25,63.79,62.54,63.13
渋谷区,86038,95990,182028,45723,49750,95473,40315,46240,86555,53.14,51.83,52.45,46,60.46,59.72,60.07
中野区,134847,133524,268371,70177,70185,140362,64670,63339,128009,52.04,52.56,52.30,48,59.57,61.05,60.31
杉並区,220275,243052,463327,120938,129612,250550,99337,113440,212777,54.90,53.33,54.08,37,63.65,63.17,63.39
豊島区,112550,110860,223410,58676,58367,117043,53874,52493,106367,52.13,52.65,52.39,47,58.86,60.14,59.50
北区,137771,140794,278565,78653,79935,158588,59118,60859,119977,57.09,56.77,56.93,17,62.67,63.60,63.14
荒川区,81003,81813,162816,43124,42981,86105,37879,38832,76711,53.24,52.54,52.88,45,59.08,58.63,58.85
板橋区,220183,225692,445875,117030,119725,236755,103153,105967,209120,53.15,53.05,53.10,44,59.41,59.72,59.57
練馬区計,283048,299380,582428,153168,157631,310799,129880,141749,271629,54.11,52.65,53.36,-,61.99,61.61,61.80
練馬９区,218751,232491,451242,118101,122716,240817,100650,109775,210425,53.99,52.78,53.37,39,61.98,61.64,61.80
練馬１０区,64297,66889,131186,35067,34915,69982,29230,31974,61204,54.54,52.20,53.35,40,62.04,61.50,61.77
足立区計,271431,269237,540668,134254,133738,267992,137177,135499,272676,49.46,49.67,49.57,-,56.08,56.15,56.12
足立１２区,59824,59252,119076,29708,30247,59955,30116,29005,59121,49.66,51.05,50.35,59,55.55,56.72,56.13
足立１３区,211607,209985,421592,104546,103491,208037,107061,106494,213555,49.41,49.28,49.35,63,56.23,55.99,56.12
葛飾区,181471,182158,363629,92025,92389,184414,89446,89769,179215,50.71,50.72,50.71,58,57.63,58.10,57.86
江戸川区計,269730,262466,532196,131842,128002,259844,137888,134464,272352,48.88,48.77,48.82,-,56.61,57.48,57.04
江戸川１６区,230921,223686,454607,112245,108627,220872,118676,115059,233735,48.61,48.56,48.59,64,56.42,57.37,56.89
江戸川１７区,38809,38780,77589,19597,19375,38972,19212,19405,38617,50.50,49.96,50.23,60,57.74,58.11,57.93
☆市部計,1642731,1691307,3334038,902181,906364,1808545,740550,784943,1525493,54.92,53.59,54.24,-,62.12,61.81,61.96
八王子市,227395,228139,455534,124148,122712,246860,103247,105427,208674,54.60,53.79,54.19,35,60.94,60.85,60.90
立川市,72352,73200,145552,38108,37206,75314,34244,35994,70238,52.67,50.83,51.74,52,60.03,58.86,59.44
武蔵野市,56054,62386,118440,33560,36073,69633,22494,26313,48807,59.87,57.82,58.79,11,66.65,65.99,66.30
三鷹市,72340,76280,148620,40871,41796,82667,31469,34484,65953,56.50,54.79,55.62,22,63.47,62.50,62.97
青梅市,56105,56304,112409,29328,28509,57837,26777,27795,54572,52.27,50.63,51.45,56,59.10,58.37,58.73
府中市,103422,101179,204601,56363,54894,111257,47059,46285,93344,54.50,54.25,54.38,32,61.67,62.39,62.03
昭島市,45530,45802,91332,23821,23338,47159,21709,22464,44173,52.32,50.95,51.63,53,57.68,57.02,57.35
調布市,89531,93992,183523,49123,50138,99261,40408,43854,84262,54.87,53.34,54.09,36,62.97,62.88,62.93
町田市,167542,176269,343811,93436,94995,188431,74106,81274,155380,55.77,53.89,54.81,28,63.18,62.66,62.92
小金井市,47367,48918,96285,26929,27106,54035,20438,21812,42250,56.85,55.41,56.12,19,63.67,63.37,63.52
小平市,73117,76377,149494,40623,41240,81863,32494,35137,67631,55.56,54.00,54.76,30,62.45,62.29,62.37
日野市,73373,72816,146189,40344,38980,79324,33029,33836,66865,54.98,53.53,54.26,34,63.99,63.55,63.77
東村山市,60080,63227,123307,32440,33271,65711,27640,29956,57596,53.99,52.62,53.29,41,62.25,61.89,62.07
国分寺市,48102,49910,98012,28139,28432,56571,19963,21478,41441,58.50,56.97,57.72,14,64.85,64.13,64.48
国立市,29701,31186,60887,17248,17698,34946,12453,13488,25941,58.07,56.75,57.39,16,65.75,65.46,65.61
福生市,23546,23471,47017,11863,11499,23362,11683,11972,23655,50.38,48.99,49.69,62,58.16,57.07,57.62
狛江市,31737,33965,65702,17790,18467,36257,13947,15498,29445,56.05,54.37,55.18,26,62.24,61.66,61.94
東大和市,34168,35184,69352,17926,18102,36028,16242,17082,33324,52.46,51.45,51.95,50,60.59,60.68,60.63
清瀬市,28871,31471,60342,16086,17023,33109,12785,14448,27233,55.72,54.09,54.87,27,63.14,62.43,62.77
東久留米市,46210,48588,94798,24919,25562,50481,21291,23026,44317,53.93,52.61,53.25,43,62.08,62.16,62.12
武蔵村山市,28390,28236,56626,13402,13369,26771,14988,14867,29855,47.21,47.35,47.28,66,55.66,57.05,56.35
多摩市,59584,62220,121804,34109,34767,68876,25475,27453,52928,57.25,55.88,56.55,18,64.41,64.32,64.37
稲城市,34199,33699,67898,18965,18183,37148,15234,15516,30750,55.45,53.96,54.71,31,63.72,63.39,63.55
羽村市,22982,22127,45109,11586,10924,22510,11396,11203,22599,50.41,49.37,49.90,61,57.98,58.40,58.19
あきる野市,32731,33205,65936,17168,16762,33930,15563,16443,32006,52.45,50.48,51.46,55,59.07,57.10,58.08
西東京市,78302,83156,161458,43886,45318,89204,34416,37838,72254,56.05,54.50,55.25,24,62.91,62.23,62.56
☆西多摩郡計,24031,24044,48075,12523,12285,24808,11508,11759,23267,52.11,51.09,51.60,-,58.80,58.17,58.49
瑞穂町,13766,13396,27162,6526,6383,12909,7240,7013,14253,47.41,47.65,47.53,65,54.51,55.25,54.87
日の出町,6755,7059,13814,3847,3845,7692,2908,3214,6122,56.95,54.47,55.68,20,63.69,60.49,62.06
檜原村,1070,1060,2130,691,622,1313,379,438,817,64.58,58.68,61.64,4,67.82,64.52,66.18
奥多摩町,2440,2529,4969,1459,1435,2894,981,1094,2075,59.80,56.74,58.24,12,64.91,63.97,64.43
☆島部計,11455,11124,22579,6645,6416,13061,4810,4708,9518,58.01,57.68,57.85,-,66.56,65.55,66.06
大島支庁,5493,5650,11143,3036,3095,6131,2457,2555,5012,55.27,54.78,55.02,-,67.50,64.81,66.13
大島町,3372,3457,6829,2005,2049,4054,1367,1408,2775,59.46,59.27,59.36,9,66.33,64.60,65.45
利島村,134,121,255,101,82,183,33,39,72,75.37,67.77,71.76,2,68.35,61.29,65.02
新島村,1186,1299,2485,751,762,1513,435,537,972,63.32,58.66,60.89,5,69.96,65.76,67.77
神津島村,801,773,1574,179,202,381,622,571,1193,22.35,26.13,24.21,67,68.63,64.68,66.67
三宅支庁,1418,1203,2621,852,713,1565,566,490,1056,60.08,59.27,59.71,-,63.40,65.21,64.24
三宅村,1291,1091,2382,755,623,1378,536,468,1004,58.48,57.10,57.85,13,61.92,63.45,62.62
御蔵島村,127,112,239,97,90,187,30,22,52,76.38,80.36,78.24,1,78.46,81.67,80.00
八丈支庁,3406,3397,6803,2054,2088,4142,1352,1309,2661,60.31,61.47,60.88,-,66.74,67.09,66.92
八丈町,3321,3339,6660,1994,2046,4040,1327,1293,2620,60.04,61.28,60.66,7,66.27,66.87,66.57
青ヶ島村,85,58,143,60,42,102,25,16,41,70.59,72.41,71.33,3,85.88,80.00,83.45
小笠原支庁,1138,874,2012,703,520,1223,435,354,789,61.78,59.50,60.79,-,65.50,64.78,65.18
小笠原村,1138,874,2012,703,520,1223,435,354,789,61.78,59.50,60.79,6,65.50,64.78,65.18
