区分,,合計,三宅島,御蔵島
総数,,194,162,32
[改正前]食品衛生法第52条に規定する営業,,151,130,21
,飲食店営業,99,87,12
,喫茶店営業,1,1,0
,菓子製造業,18,14,4
,食肉販売業,10,9,1
,魚介類販売業,13,11,2
,清涼飲料水製造業,1,0,1
,氷雪製造業,1,0,1
,酒類製造業,1,1,0
,麺類製造業,1,1,0
,そうざい製造業,5,5,0
,かん詰又はびん詰食品製造業,1,1,0
[改正後]食品衛生法第55条に規定する営業,,16,11,5
,飲食店営業,14,10,4
,食肉販売業,0,0,0
,魚介類販売業,0,0,0
,菓子製造業,0,0,0
,清涼飲料水製造業,0,0,0
,水産製品製造業,1,1,0
,氷雪製造業,1,0,1
,酒類製造業,0,0,0
,麺類製造業,0,0,0
,そうざい製造業,0,0,0
,密封包装食品製造業,0,0,0
[改正後]食品衛生法57条に規定する営業等,,27,21,6
,旧許可業種であった営業,9,9,0
,販売業,12,9,3
,製造・加工業,2,2,0
,上記以外のもの,4,1,3
